fraud_type,state,financial_year,persons_estimate_000,victimisation_rate_pct
Online impersonation,Tasmania,2022-23,11,2.4
Online impersonation,Tasmania,2023-24,9.5,2
Online impersonation,Tasmania,2024-25,6.5,1.4
Online impersonation,Northern Territory,2014-15,na,na
Online impersonation,Northern Territory,2020-21,na,na
Online impersonation,Northern Territory,2021-22,3.6,2.5
Online impersonation,Northern Territory,2022-23,3.6,2.4
Online impersonation,Northern Territory,2023-24,3.2,1.7
Online impersonation,Northern Territory,2024-25,3.9,2.4
Online impersonation,Australian Capital Territory,2014-15,na,na
Online impersonation,Australian Capital Territory,2020-21,na,na
Online impersonation,Australian Capital Territory,2021-22,5,1.4
Online impersonation,Australian Capital Territory,2022-23,8.2,2.3
Online impersonation,Australian Capital Territory,2023-24,6.6,1.8
Online impersonation,Australian Capital Territory,2024-25,9.5,2.5
Online impersonation,Australia,2014-15,na,na
Online impersonation,Australia,2020-21,na,na
Online impersonation,Australia,2021-22,509.5,2.5
Online impersonation,Australia,2022-23,434.3,2.1
Online impersonation,Australia,2023-24,433,2
Online impersonation,Australia,2024-25,500,2.3
