Financial Quarter And Year Name - Reported,Postcode - Incident,Offence Level 1 Description,Offence Level 2 Description,Offence Level 3 Description,Offence Count
Q1-2025/2026,5012,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,7
Q1-2025/2026,5012,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,3
Q1-2025/2026,5012,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,26
Q1-2025/2026,5012,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,Abduction and kidnapping,1
Q1-2025/2026,5013,OFFENCES AGAINST PROPERTY,FRAUD AND RELATED OFFENCES,Other fraud and related offences,1
Q1-2025/2026,5013,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Arson,1
Q1-2025/2026,5013,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,11
Q1-2025/2026,5013,OFFENCES AGAINST PROPERTY,THEFT,Receive or handle proceeds of crime,1
Q1-2025/2026,5013,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,2
Q1-2025/2026,5013,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,2
Q1-2025/2026,5013,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,30
Q1-2025/2026,5013,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",2
Q1-2025/2026,5013,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,Other acts that harm or endanger persons,2
Q1-2025/2026,5014,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,5
Q1-2025/2026,5014,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
Q1-2025/2026,5014,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
Q1-2025/2026,5014,OFFENCES AGAINST THE PERSON,ASSAULT,Assault of a police officer,1
Q1-2025/2026,5014,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,28
Q1-2025/2026,5014,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
Q1-2025/2026,5015,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,2
Q1-2025/2026,5015,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,22
Q1-2025/2026,5015,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",2
Q1-2025/2026,5015,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,Other acts that harm or endanger persons,1
Q1-2025/2026,5016,OFFENCES AGAINST PROPERTY,FRAUD AND RELATED OFFENCES,Other fraud and related offences,1
Q1-2025/2026,5016,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,3
Q1-2025/2026,5016,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
Q1-2025/2026,5016,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
Q1-2025/2026,5016,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,8
Q1-2025/2026,5017,OFFENCES AGAINST PROPERTY,FRAUD AND RELATED OFFENCES,Obtain benefit by deception,1
Q1-2025/2026,5017,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,12
Q1-2025/2026,5017,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,3
Q1-2025/2026,5017,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
Q1-2025/2026,5017,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,1
Q1-2025/2026,5017,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,25
Q1-2025/2026,5018,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,3
Q1-2025/2026,5018,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,12
Q1-2025/2026,5019,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,9
Q1-2025/2026,5019,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
Q1-2025/2026,5019,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
Q1-2025/2026,5019,OFFENCES AGAINST THE PERSON,ASSAULT,Assault of a police officer,2
Q1-2025/2026,5019,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,1
Q1-2025/2026,5019,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,28
Q1-2025/2026,5019,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,Abduction and kidnapping,2
Q1-2025/2026,5019,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",3
Q1-2025/2026,5020,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,2
Q1-2025/2026,5020,OFFENCES AGAINST PROPERTY,THEFT,Receive or handle proceeds of crime,1
Q1-2025/2026,5020,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,1
Q1-2025/2026,5020,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,2
Q1-2025/2026,5020,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
Q1-2025/2026,5021,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,3
Q1-2025/2026,5021,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
Q1-2025/2026,5022,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Arson,1
Q1-2025/2026,5022,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,19
Q1-2025/2026,5022,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",2
Q1-2025/2026,5022,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,Other acts that harm or endanger persons,1
Q1-2025/2026,5023,OFFENCES AGAINST PROPERTY,FRAUD AND RELATED OFFENCES,Other fraud and related offences,1
Q1-2025/2026,5023,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,9
Q1-2025/2026,5023,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
Q1-2025/2026,5023,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
Q1-2025/2026,5023,OFFENCES AGAINST PROPERTY,THEFT,Receive or handle proceeds of crime,1
Q1-2025/2026,5023,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,3
Q1-2025/2026,5023,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,29
Q1-2025/2026,5023,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
