sector,agency,year,value
State Government,South Australian Civil and Administrative Tribunal,2024-25,1
State Government,South Australian Civil and Administrative Tribunal,2023-24,0
State Government,South Australian Civil and Administrative Tribunal,2022-23,1
State Government,South Australian Civil and Administrative Tribunal,2021-22,0
State Government,South Australian Civil and Administrative Tribunal,2020-21,0
State Government,South Australian Civil and Administrative Tribunal,2019-20,0
State Government,South Australian Civil and Administrative Tribunal,2018-19,4
State Government,South Australian Civil and Administrative Tribunal,2016-17,4
State Government,South Australian Civil and Administrative Tribunal,2015-16,7
State Government,South Australian Civil and Administrative Tribunal,2014-15,1
State Government,South Australian Country Fire Service,2023-24,45
State Government,South Australian Country Fire Service,2022-23,33
State Government,South Australian Country Fire Service,2021-22,0
State Government,South Australian Country Fire Service,2020-21,10
State Government,South Australian Country Fire Service,2019-20,57
State Government,South Australian Country Fire Service,2018-19,29
State Government,South Australian Country Fire Service,2016-17,32
State Government,South Australian Country Fire Service,2015-16,35
State Government,South Australian Country Fire Service,2014-15,53
State Government,South Australian Country Fire Service,2013-14,55
State Government,South Australian Country Fire Service,2012-13,26
State Government,South Australian Country Fire Service,2011-12,17
State Government,South Australian Employment Tribunal,2021-22,0
State Government,South Australian Employment Tribunal,2020-21,0
State Government,South Australian Employment Tribunal,2019-20,0
State Government,South Australian Employment Tribunal,2018-19,0
State Government,South Australian Employment Tribunal,2016-17,1
State Government,South Australian Film Corporation,2024-25,1
State Government,South Australian Film Corporation,2023-24,0
State Government,South Australian Film Corporation,2022-23,0
State Government,South Australian Film Corporation,2021-22,0
State Government,South Australian Film Corporation,2020-21,0
State Government,South Australian Film Corporation,2019-20,0
State Government,South Australian Film Corporation,2018-19,2
State Government,South Australian Film Corporation,2016-17,9
State Government,South Australian Film Corporation,2015-16,1
State Government,South Australian Film Corporation,2014-15,0
State Government,South Australian Film Corporation,2013-14,0
State Government,South Australian Film Corporation,2012-13,4
State Government,South Australian Film Corporation,2011-12,8
State Government,South Australian Heritage Council,2021-22,1
State Government,South Australian MotorSport Board,2024-25,2
State Government,South Australian MotorSport Board,2023-24,1
State Government,South Australian MotorSport Board,2022-23,6
State Government,South Australian Museum,2024-25,2
State Government,South Australian Museum,2023-24,4
State Government,South Australian Museum,2022-23,2
State Government,South Australian Museum,2021-22,1
State Government,South Australian Museum,2020-21,1
State Government,South Australian Museum,2019-20,0
State Government,South Australian Museum,2018-19,0
State Government,South Australian Museum,2016-17,3
State Government,South Australian Museum,2015-16,0
State Government,South Australian Museum,2014-15,2
State Government,South Australian Museum,2013-14,0
State Government,South Australian Museum,2012-13,0
State Government,South Australian Museum,2011-12,0
State Government,South Australian Productivity Commission,2023-24,0
State Government,South Australian Small Business Commissioner,2024-25,1
State Government,South Australian Small Business Commissioner,2023-24,0
State Government,South Australian Space Industry Centre,2023-24,0
State Government,South Australian Tourism Commission,2024-25,1
State Government,South Australian Tourism Commission,2023-24,8
State Government,South Australian Tourism Commission,2022-23,24
State Government,South Australian Tourism Commission,2021-22,10
State Government,South Australian Tourism Commission,2020-21,22
State Government,South Australian Tourism Commission,2019-20,16
State Government,South Australian Tourism Commission,2018-19,12
State Government,South Australian Tourism Commission,2016-17,78
State Government,South Australian Tourism Commission,2015-16,24
State Government,South Australian Tourism Commission,2014-15,25
State Government,South Australian Tourism Commission,2013-14,28
State Government,South Australian Tourism Commission,2012-13,41
State Government,South Australian Tourism Commission,2011-12,41
State Government,South East Natural Resources Management Board,2020-21,0
State Government,South East Natural Resources Management Board,2019-20,0
State Government,South East Natural Resources Management Board,2018-19,0
State Government,South East Natural Resources Management Board,2016-17,0
State Government,South East Natural Resources Management Board,2015-16,0
State Government,South East Natural Resources Management Board,2014-15,0
State Government,South East Natural Resources Management Board,2013-14,0
State Government,South East Natural Resources Management Board,2012-13,1
State Government,South East Natural Resources Management Board,2011-12,1
State Government,South Eastern Water Conservation and Drainage Brd,2021-22,1
State Government,South Eastern Water Conservation and Drainage Brd,2020-21,0
State Government,South Eastern Water Conservation and Drainage Brd,2019-20,0
State Government,South Eastern Water Conservation and Drainage Brd,2018-19,0
State Government,Southern Adelaide Local Health Network,2024-25,1282
State Government,Southern Adelaide Local Health Network,2023-24,1031
State Government,Southern Adelaide Local Health Network,2022-23,1034
State Government,Southern Adelaide Local Health Network,2021-22,834
State Government,Southern Adelaide Local Health Network,2020-21,914
State Government,Southern Adelaide Local Health Network,2019-20,986
State Government,Southern Adelaide Local Health Network,2018-19,1026
State Government,Southern Adelaide Local Health Network,2016-17,929
State Government,Southern Adelaide Local Health Network,2015-16,996
State Government,Southern Adelaide Local Health Network,2014-15,1015
State Government,Southern Adelaide Local Health Network,2013-14,1072
State Government,Southern Adelaide Local Health Network,2012-13,878
State Government,Southern Adelaide Local Health Network,2011-12,1055
State Government,State Library of South Australia,2024-25,4
State Government,State Library of South Australia,2023-24,7
State Government,State Library of South Australia,2022-23,5
State Government,State Library of South Australia,2021-22,0
State Government,State Library of South Australia,2020-21,0
State Government,State Library of South Australia,2019-20,0
State Government,State Library of South Australia,2018-19,0
State Government,State Library of South Australia,2016-17,0
State Government,State Library of South Australia,2015-16,1
State Government,State Library of South Australia,2014-15,1
State Government,State Library of South Australia,2013-14,0
State Government,State Library of South Australia,2012-13,0
State Government,State Library of South Australia,2011-12,1
State Government,State Theatre Company,2022-23,0
State Government,State Theatre Company,2021-22,0
State Government,State Theatre Company,2020-21,0
State Government,State Theatre Company,2019-20,0
State Government,State Theatre Company,2018-19,0
State Government,State Theatre Company,2016-17,0
State Government,State Theatre Company,2015-16,0
State Government,State Theatre Company,2014-15,0
State Government,State Theatre Company,2013-14,0
State Government,State Theatre Company,2012-13,0
State Government,State Theatre Company,2011-12,0
State Government,Stormwater Management Authority,2021-22,0
State Government,Stormwater Management Authority,2020-21,0
State Government,Stormwater Management Authority,2019-20,0
State Government,Stormwater Management Authority,2018-19,0
State Government,Stormwater Management Authority,2016-17,0
State Government,Stormwater Management Authority,2015-16,0
State Government,Stormwater Management Authority,2014-15,0
State Government,Stormwater Management Authority,2013-14,0
State Government,Stormwater Management Authority,2012-13,0
State Government,Stormwater Management Authority,2011-12,3
State Government,State Superannuation Office (Super SA),2024-25,24
State Government,State Superannuation Office (Super SA),2023-24,3
State Government,State Superannuation Office (Super SA),2022-23,2
State Government,State Superannuation Office (Super SA),2021-22,3
State Government,State Superannuation Office (Super SA),2020-21,1
State Government,State Superannuation Office (Super SA),2019-20,1
State Government,State Superannuation Office (Super SA),2018-19,0
State Government,State Superannuation Office (Super SA),2016-17,4
State Government,State Superannuation Office (Super SA),2015-16,0
State Government,State Superannuation Office (Super SA),2014-15,4
State Government,State Superannuation Office (Super SA),2013-14,2
State Government,State Superannuation Office (Super SA),2012-13,1
State Government,State Superannuation Office (Super SA),2011-12,2
State Government,TAFE SA,2024-25,24
State Government,TAFE SA,2023-24,24
State Government,TAFE SA,2022-23,17
State Government,TAFE SA,2021-22,0
State Government,TAFE SA,2020-21,0
State Government,TAFE SA,2019-20,0
State Government,TAFE SA,2018-19,0
State Government,TAFE SA,2016-17,8
State Government,TAFE SA,2015-16,51
State Government,TAFE SA,2014-15,144
State Government,TAFE SA,2013-14,8
State Government,TAFE SA,2012-13,5
State Government,Teachers Registration Board of SA,2024-25,5
State Government,Teachers Registration Board of SA,2023-24,3
State Government,Teachers Registration Board of SA,2022-23,4
State Government,Teachers Registration Board of SA,2021-22,3
State Government,Teachers Registration Board of SA,2020-21,4
State Government,Teachers Registration Board of SA,2019-20,4
State Government,Teachers Registration Board of SA,2018-19,1
State Government,Teachers Registration Board of SA,2016-17,1
State Government,Teachers Registration Board of SA,2015-16,9
State Government,Teachers Registration Board of SA,2014-15,10
State Government,Teachers Registration Board of SA,2013-14,7
State Government,Teachers Registration Board of SA,2012-13,11
State Government,Teachers Registration Board of SA,2011-12,1
State Government,The Law Society of SA,2023-24,1
State Government,Veterans SA,2023-24,0
State Government,Veterinary Surgeons Board of SA,2024-25,3
State Government,Veterinary Surgeons Board of SA,2023-24,0
State Government,Veterinary Surgeons Board of SA,2022-23,10
State Government,Veterinary Surgeons Board of SA,2021-22,0
State Government,Veterinary Surgeons Board of SA,2020-21,0
State Government,Veterinary Surgeons Board of SA,2019-20,0
State Government,Veterinary Surgeons Board of SA,2018-19,0
State Government,Veterinary Surgeons Board of SA,2016-17,0
State Government,Veterinary Surgeons Board of SA,2015-16,0
State Government,Veterinary Surgeons Board of SA,2014-15,0
State Government,Veterinary Surgeons Board of SA,2013-14,0
State Government,Veterinary Surgeons Board of SA,2012-13,0
State Government,Veterinary Surgeons Board of SA,2011-12,0
State Government,Wellbeing SA,2023-24,0
State Government,West Beach Trust,2023-24,0
State Government,West Beach Trust,2022-23,0
State Government,West Beach Trust,2021-22,0
State Government,West Beach Trust,2020-21,0
State Government,West Beach Trust,2019-20,0
State Government,West Beach Trust,2018-19,0
State Government,West Beach Trust,2016-17,0
State Government,West Beach Trust,2015-16,1
State Government,West Beach Trust,2014-15,0
State Government,West Beach Trust,2013-14,0
State Government,West Beach Trust,2012-13,2
State Government,West Beach Trust,2011-12,0
State Government,Women's and Children's Health Network,2024-25,521
State Government,Women's and Children's Health Network,2023-24,590
State Government,Women's and Children's Health Network,2022-23,519
State Government,Women's and Children's Health Network,2021-22,285
State Government,Women's and Children's Health Network,2020-21,350
State Government,Women's and Children's Health Network,2019-20,393
State Government,Women's and Children's Health Network,2018-19,339
State Government,Women's and Children's Health Network,2016-17,419
State Government,Women's and Children's Health Network,2015-16,342
State Government,Women's and Children's Health Network,2014-15,318
State Government,Women's and Children's Health Network,2013-14,393
State Government,Women's and Children's Health Network,2012-13,342
State Government,Women's and Children's Health Network,2011-12,395
State Government,WorkCover Corporation,2014-15,391
State Government,WorkCover Corporation,2013-14,305
State Government,WorkCover Corporation,2012-13,226
State Government,WorkCover Corporation,2011-12,271
State Government,Workcover Ombudsman,2021-22,0
State Government,Workcover Ombudsman,2020-21,0
State Government,Workcover Ombudsman,2019-20,0
State Government,Workcover Ombudsman,2018-19,0
State Government,Workcover Ombudsman,2016-17,0
State Government,Workcover Ombudsman,2015-16,0
State Government,Workcover Ombudsman,2014-15,0
State Government,Workcover Ombudsman,2013-14,0
State Government,Workcover Ombudsman,2012-13,0
State Government,Workcover Ombudsman,2011-12,1
State Government,Workers Compensation Tribunal,2021-22,0
State Government,Workers Compensation Tribunal,2020-21,0
State Government,Workers Compensation Tribunal,2019-20,0
State Government,Workers Compensation Tribunal,2018-19,0
State Government,Workers Compensation Tribunal,2016-17,0
State Government,Workers Compensation Tribunal,2015-16,0
State Government,Workers Compensation Tribunal,2014-15,0
State Government,Workers Compensation Tribunal,2013-14,0
State Government,Workers Compensation Tribunal,2012-13,0
State Government,Workers Compensation Tribunal,2011-12,0
State Government,Yorke and Northern Local Health Network,2024-25,139
State Government,Yorke and Northern Local Health Network,2023-24,138
State Government,Yorke and Northern Local Health Network,2022-23,181
State Government,Yorke and Northern Local Health Network,2021-22,136
State Government,Yorke and Northern Local Health Network,2020-21,104
State Government,Yorke and Northern Local Health Network,2019-20,4
Local Government,Adelaide City Council,2024-25,24
Local Government,Adelaide City Council,2023-24,38
Local Government,Adelaide City Council,2022-23,51
Local Government,Adelaide City Council,2021-22,24
Local Government,Adelaide City Council,2020-21,28
Local Government,Adelaide City Council,2019-20,37
Local Government,Adelaide City Council,2018-19,29
Local Government,Adelaide City Council,2017-18,27
Local Government,Adelaide City Council,2016-17,57
Local Government,Adelaide City Council,2015-16,48
Local Government,Adelaide City Council,2014-15,66
Local Government,Adelaide City Council,2013-14,33
Local Government,Adelaide City Council,2012-13,44
Local Government,Adelaide City Council,2011-12,40
Local Government,Adelaide Hills Council,2024-25,21
Local Government,Adelaide Hills Council,2023-24,27
Local Government,Adelaide Hills Council,2022-23,12
Local Government,Adelaide Hills Council,2021-22,0
Local Government,Adelaide Hills Council,2020-21,30
Local Government,Adelaide Hills Council,2019-20,17
Local Government,Adelaide Hills Council,2018-19,22
Local Government,Adelaide Hills Council,2017-18,15
Local Government,Adelaide Hills Council,2016-17,20
Local Government,Adelaide Hills Council,2015-16,11
Local Government,Adelaide Hills Council,2014-15,21
Local Government,Adelaide Hills Council,2013-14,6
Local Government,Adelaide Hills Council,2012-13,8
Local Government,Adelaide Hills Council,2011-12,11
Local Government,Adelaide Plains Council,2024-25,2
Local Government,Adelaide Plains Council,2023-24,6
Local Government,Adelaide Plains Council,2022-23,5
Local Government,Adelaide Plains Council,2021-22,8
Local Government,Adelaide Plains Council,2020-21,3
Local Government,Adelaide Plains Council,2019-20,1
Local Government,Adelaide Plains Council,2018-19,2
Local Government,Adelaide Plains Council,2017-18,5
Local Government,Adelaide Plains Council,2016-17,3
Local Government,Adelaide Plains Council,2015-16,7
Local Government,Adelaide Plains Council,2014-15,3
Local Government,Adelaide Plains Council,2013-14,0
Local Government,Adelaide Plains Council,2012-13,0
Local Government,Adelaide Plains Council,2011-12,1
Local Government,Alexandrina Council,2024-25,13
Local Government,Alexandrina Council,2023-24,24
Local Government,Alexandrina Council,2022-23,15
Local Government,Alexandrina Council,2021-22,8
Local Government,Alexandrina Council,2020-21,11
Local Government,Alexandrina Council,2019-20,4
Local Government,Alexandrina Council,2018-19,4
Local Government,Alexandrina Council,2017-18,7
Local Government,Alexandrina Council,2016-17,10
Local Government,Alexandrina Council,2015-16,1
Local Government,Alexandrina Council,2014-15,9
Local Government,Alexandrina Council,2013-14,12
Local Government,Alexandrina Council,2012-13,7
Local Government,Alexandrina Council,2011-12,4
Local Government,Anangu Pitjantjatjara Yankunytjatjara,2023-24,16
Local Government,Anangu Pitjantjatjara Yankunytjatjara,2022-23,0
Local Government,Anangu Pitjantjatjara Yankunytjatjara,2021-22,0
Local Government,Anangu Pitjantjatjara Yankunytjatjara,2020-21,23
Local Government,Anangu Pitjantjatjara Yankunytjatjara,2019-20,0
Local Government,Anangu Pitjantjatjara Yankunytjatjara,2018-19,0
Local Government,Anangu Pitjantjatjara Yankunytjatjara,2017-18,0
Local Government,Anangu Pitjantjatjara Yankunytjatjara,2016-17,0
Local Government,Anangu Pitjantjatjara Yankunytjatjara,2015-16,0
Local Government,Anangu Pitjantjatjara Yankunytjatjara,2014-15,0
Local Government,Anangu Pitjantjatjara Yankunytjatjara,2013-14,0
Local Government,Anangu Pitjantjatjara Yankunytjatjara,2012-13,0
Local Government,Anangu Pitjantjatjara Yankunytjatjara,2011-12,0
Local Government,Barunga West Council,2024-25,3
Local Government,Barunga West Council,2023-24,2
Local Government,Barunga West Council,2022-23,1
Local Government,Barunga West Council,2021-22,2
Local Government,Barunga West Council,2020-21,3
Local Government,Barunga West Council,2019-20,2
Local Government,Barunga West Council,2018-19,0
Local Government,Barunga West Council,2017-18,2
Local Government,Barunga West Council,2016-17,1
Local Government,Barunga West Council,2015-16,0
Local Government,Barunga West Council,2014-15,1
Local Government,Barunga West Council,2013-14,1
Local Government,Barunga West Council,2012-13,0
Local Government,Barunga West Council,2011-12,0
Local Government,Berri Barmera Council,2024-25,6
Local Government,Berri Barmera Council,2023-24,5
Local Government,Berri Barmera Council,2022-23,0
Local Government,Berri Barmera Council,2021-22,0
Local Government,Berri Barmera Council,2020-21,2
Local Government,Berri Barmera Council,2019-20,4
Local Government,Berri Barmera Council,2018-19,1
Local Government,Berri Barmera Council,2017-18,0
Local Government,Berri Barmera Council,2016-17,2
Local Government,Berri Barmera Council,2015-16,0
Local Government,Berri Barmera Council,2014-15,1
Local Government,Berri Barmera Council,2013-14,1
Local Government,Berri Barmera Council,2012-13,3
Local Government,Berri Barmera Council,2011-12,1
Local Government,Campbelltown City Council,2024-25,12
Local Government,Campbelltown City Council,2023-24,6
Local Government,Campbelltown City Council,2022-23,16
Local Government,Campbelltown City Council,2021-22,5
Local Government,Campbelltown City Council,2020-21,7
Local Government,Campbelltown City Council,2019-20,9
Local Government,Campbelltown City Council,2018-19,7
Local Government,Campbelltown City Council,2017-18,7
Local Government,Campbelltown City Council,2016-17,8
Local Government,Campbelltown City Council,2015-16,8
Local Government,Campbelltown City Council,2014-15,8
Local Government,Campbelltown City Council,2013-14,5
Local Government,Campbelltown City Council,2012-13,7
Local Government,Campbelltown City Council,2011-12,15
Local Government,City of Burnside,2024-25,23
Local Government,City of Burnside,2023-24,20
Local Government,City of Burnside,2022-23,15
Local Government,City of Burnside,2021-22,11
Local Government,City of Burnside,2020-21,12
Local Government,City of Burnside,2019-20,11
Local Government,City of Burnside,2018-19,14
Local Government,City of Burnside,2017-18,21
Local Government,City of Burnside,2016-17,11
Local Government,City of Burnside,2015-16,11
Local Government,City of Burnside,2014-15,15
Local Government,City of Burnside,2013-14,2
Local Government,City of Burnside,2012-13,12
Local Government,City of Burnside,2011-12,6
Local Government,City of Charles Sturt,2024-25,35
Local Government,City of Charles Sturt,2023-24,50
Local Government,City of Charles Sturt,2022-23,33
Local Government,City of Charles Sturt,2021-22,26
Local Government,City of Charles Sturt,2020-21,39
Local Government,City of Charles Sturt,2019-20,23
Local Government,City of Charles Sturt,2018-19,31
Local Government,City of Charles Sturt,2017-18,57
Local Government,City of Charles Sturt,2016-17,50
Local Government,City of Charles Sturt,2015-16,35
Local Government,City of Charles Sturt,2014-15,38
Local Government,City of Charles Sturt,2013-14,38
Local Government,City of Charles Sturt,2012-13,40
Local Government,City of Charles Sturt,2011-12,44
Local Government,City of Holdfast Bay,2024-25,32
Local Government,City of Holdfast Bay,2023-24,12
Local Government,City of Holdfast Bay,2022-23,15
Local Government,City of Holdfast Bay,2021-22,11
Local Government,City of Holdfast Bay,2020-21,18
Local Government,City of Holdfast Bay,2019-20,11
Local Government,City of Holdfast Bay,2018-19,7
Local Government,City of Holdfast Bay,2017-18,10
Local Government,City of Holdfast Bay,2016-17,19
Local Government,City of Holdfast Bay,2015-16,12
Local Government,City of Holdfast Bay,2014-15,12
Local Government,City of Holdfast Bay,2013-14,6
Local Government,City of Holdfast Bay,2012-13,12
Local Government,City of Holdfast Bay,2011-12,6
Local Government,City of Marion,2024-25,18
Local Government,City of Marion,2023-24,17
Local Government,City of Marion,2022-23,13
Local Government,City of Marion,2021-22,11
Local Government,City of Marion,2020-21,12
Local Government,City of Marion,2019-20,13
Local Government,City of Marion,2018-19,11
Local Government,City of Marion,2017-18,16
Local Government,City of Marion,2016-17,52
Local Government,City of Marion,2015-16,20
Local Government,City of Marion,2014-15,30
Local Government,City of Marion,2013-14,11
Local Government,City of Marion,2012-13,13
Local Government,City of Marion,2011-12,11
Local Government,City of Mitcham,2024-25,18
Local Government,City of Mitcham,2023-24,27
Local Government,City of Mitcham,2022-23,25
Local Government,City of Mitcham,2021-22,15
Local Government,City of Mitcham,2020-21,16
Local Government,City of Mitcham,2019-20,14
Local Government,City of Mitcham,2018-19,12
Local Government,City of Mitcham,2017-18,14
Local Government,City of Mitcham,2016-17,16
Local Government,City of Mitcham,2015-16,20
Local Government,City of Mitcham,2014-15,21
Local Government,City of Mitcham,2013-14,13
Local Government,City of Mitcham,2012-13,16
Local Government,City of Mitcham,2011-12,15
Local Government,City of Mount Gambier,2024-25,3
Local Government,City of Mount Gambier,2023-24,9
Local Government,City of Mount Gambier,2022-23,0
Local Government,City of Mount Gambier,2021-22,4
Local Government,City of Mount Gambier,2020-21,3
Local Government,City of Mount Gambier,2019-20,7
Local Government,City of Mount Gambier,2018-19,4
Local Government,City of Mount Gambier,2017-18,2
Local Government,City of Mount Gambier,2016-17,3
Local Government,City of Mount Gambier,2015-16,0
Local Government,City of Mount Gambier,2014-15,2
Local Government,City of Mount Gambier,2013-14,4
Local Government,City of Mount Gambier,2012-13,2
Local Government,City of Mount Gambier,2011-12,0
Local Government,"City of Norwood, Payneham & St Peters",2024-25,11
Local Government,"City of Norwood, Payneham & St Peters",2023-24,0
Local Government,"City of Norwood, Payneham & St Peters",2022-23,0
Local Government,"City of Norwood, Payneham & St Peters",2021-22,0
Local Government,"City of Norwood, Payneham & St Peters",2020-21,0
Local Government,"City of Norwood, Payneham & St Peters",2019-20,2
Local Government,"City of Norwood, Payneham & St Peters",2018-19,5
Local Government,"City of Norwood, Payneham & St Peters",2017-18,0
Local Government,"City of Norwood, Payneham & St Peters",2016-17,1
Local Government,"City of Norwood, Payneham & St Peters",2015-16,0
Local Government,"City of Norwood, Payneham & St Peters",2014-15,0
Local Government,"City of Norwood, Payneham & St Peters",2013-14,0
Local Government,"City of Norwood, Payneham & St Peters",2012-13,3
Local Government,"City of Norwood, Payneham & St Peters",2011-12,4
Local Government,City of Onkaparinga,2024-25,60
Local Government,City of Onkaparinga,2023-24,45
Local Government,City of Onkaparinga,2022-23,44
Local Government,City of Onkaparinga,2021-22,48
Local Government,City of Onkaparinga,2020-21,38
Local Government,City of Onkaparinga,2019-20,28
Local Government,City of Onkaparinga,2018-19,25
Local Government,City of Onkaparinga,2017-18,37
Local Government,City of Onkaparinga,2016-17,47
Local Government,City of Onkaparinga,2015-16,37
Local Government,City of Onkaparinga,2014-15,37
Local Government,City of Onkaparinga,2013-14,30
Local Government,City of Onkaparinga,2012-13,22
Local Government,City of Onkaparinga,2011-12,26
Local Government,City of Playford,2024-25,23
Local Government,City of Playford,2023-24,17
Local Government,City of Playford,2022-23,12
Local Government,City of Playford,2021-22,21
Local Government,City of Playford,2020-21,20
Local Government,City of Playford,2019-20,21
Local Government,City of Playford,2018-19,26
Local Government,City of Playford,2017-18,16
Local Government,City of Playford,2016-17,15
Local Government,City of Playford,2015-16,12
Local Government,City of Playford,2014-15,16
Local Government,City of Playford,2013-14,16
Local Government,City of Playford,2012-13,12
Local Government,City of Playford,2011-12,11
Local Government,City of Port Adelaide Enfield,2024-25,39
Local Government,City of Port Adelaide Enfield,2023-24,25
Local Government,City of Port Adelaide Enfield,2022-23,37
Local Government,City of Port Adelaide Enfield,2021-22,27
Local Government,City of Port Adelaide Enfield,2020-21,13
Local Government,City of Port Adelaide Enfield,2019-20,14
Local Government,City of Port Adelaide Enfield,2018-19,25
Local Government,City of Port Adelaide Enfield,2017-18,19
Local Government,City of Port Adelaide Enfield,2016-17,22
Local Government,City of Port Adelaide Enfield,2015-16,10
Local Government,City of Port Adelaide Enfield,2014-15,28
Local Government,City of Port Adelaide Enfield,2013-14,29
Local Government,City of Port Adelaide Enfield,2012-13,19
Local Government,City of Port Adelaide Enfield,2011-12,30
Local Government,City of Port Lincoln,2023-24,6
Local Government,City of Port Lincoln,2022-23,4
Local Government,City of Port Lincoln,2021-22,1
Local Government,City of Port Lincoln,2020-21,5
Local Government,City of Port Lincoln,2019-20,1
Local Government,City of Port Lincoln,2018-19,1
Local Government,City of Port Lincoln,2017-18,0
Local Government,City of Port Lincoln,2016-17,2
Local Government,City of Port Lincoln,2015-16,1
Local Government,City of Port Lincoln,2014-15,4
Local Government,City of Port Lincoln,2013-14,3
Local Government,City of Port Lincoln,2012-13,2
Local Government,City of Port Lincoln,2011-12,0
Local Government,City of Prospect,2024-25,4
Local Government,City of Prospect,2023-24,4
Local Government,City of Prospect,2022-23,5
Local Government,City of Prospect,2021-22,0
Local Government,City of Prospect,2020-21,8
Local Government,City of Prospect,2019-20,8
Local Government,City of Prospect,2018-19,9
Local Government,City of Prospect,2017-18,3
Local Government,City of Prospect,2016-17,12
Local Government,City of Prospect,2015-16,6
Local Government,City of Prospect,2014-15,14
Local Government,City of Prospect,2013-14,7
Local Government,City of Prospect,2012-13,7
Local Government,City of Prospect,2011-12,0
Local Government,City of Salisbury,2024-25,14
Local Government,City of Salisbury,2023-24,16
Local Government,City of Salisbury,2022-23,14
Local Government,City of Salisbury,2021-22,9
Local Government,City of Salisbury,2020-21,16
Local Government,City of Salisbury,2019-20,16
Local Government,City of Salisbury,2018-19,19
Local Government,City of Salisbury,2017-18,18
Local Government,City of Salisbury,2016-17,20
Local Government,City of Salisbury,2015-16,13
Local Government,City of Salisbury,2014-15,33
Local Government,City of Salisbury,2013-14,19
Local Government,City of Salisbury,2012-13,13
Local Government,City of Salisbury,2011-12,13
Local Government,City of Tea Tree Gully,2024-25,36
Local Government,City of Tea Tree Gully,2023-24,41
Local Government,City of Tea Tree Gully,2022-23,32
Local Government,City of Tea Tree Gully,2021-22,41
Local Government,City of Tea Tree Gully,2020-21,53
Local Government,City of Tea Tree Gully,2019-20,70
Local Government,City of Tea Tree Gully,2018-19,33
Local Government,City of Tea Tree Gully,2017-18,32
Local Government,City of Tea Tree Gully,2016-17,27
Local Government,City of Tea Tree Gully,2015-16,50
Local Government,City of Tea Tree Gully,2014-15,19
Local Government,City of Tea Tree Gully,2013-14,9
Local Government,City of Tea Tree Gully,2012-13,11
Local Government,City of Tea Tree Gully,2011-12,5
Local Government,City of Unley,2024-25,5
Local Government,City of Unley,2023-24,9
Local Government,City of Unley,2022-23,2
Local Government,City of Unley,2021-22,6
Local Government,City of Unley,2020-21,12
Local Government,City of Unley,2019-20,13
Local Government,City of Unley,2018-19,43
Local Government,City of Unley,2017-18,44
Local Government,City of Unley,2016-17,47
Local Government,City of Unley,2015-16,43
Local Government,City of Unley,2014-15,58
Local Government,City of Unley,2013-14,52
Local Government,City of Unley,2012-13,78
Local Government,City of Unley,2011-12,80
Local Government,City of Victor Harbor,2024-25,1
Local Government,City of Victor Harbor,2023-24,7
Local Government,City of Victor Harbor,2022-23,9
Local Government,City of Victor Harbor,2021-22,3
Local Government,City of Victor Harbor,2020-21,10
Local Government,City of Victor Harbor,2019-20,1
Local Government,City of Victor Harbor,2018-19,7
Local Government,City of Victor Harbor,2017-18,3
Local Government,City of Victor Harbor,2016-17,3
Local Government,City of Victor Harbor,2015-16,2
Local Government,City of Victor Harbor,2014-15,13
Local Government,City of Victor Harbor,2013-14,2
Local Government,City of Victor Harbor,2012-13,3
Local Government,City of Victor Harbor,2011-12,5
Local Government,City of West Torrens,2024-25,20
Local Government,City of West Torrens,2023-24,19
Local Government,City of West Torrens,2022-23,28
Local Government,City of West Torrens,2021-22,14
Local Government,City of West Torrens,2020-21,9
Local Government,City of West Torrens,2019-20,10
Local Government,City of West Torrens,2018-19,15
Local Government,City of West Torrens,2017-18,16
Local Government,City of West Torrens,2016-17,20
Local Government,City of West Torrens,2015-16,18
Local Government,City of West Torrens,2014-15,13
Local Government,City of West Torrens,2013-14,14
Local Government,City of West Torrens,2012-13,9
Local Government,City of West Torrens,2011-12,16
Local Government,City of Whyalla,2024-25,2
Local Government,City of Whyalla,2023-24,9
Local Government,City of Whyalla,2022-23,1
Local Government,City of Whyalla,2021-22,1
Local Government,City of Whyalla,2020-21,5
Local Government,City of Whyalla,2019-20,1
Local Government,City of Whyalla,2018-19,1
Local Government,City of Whyalla,2017-18,5
Local Government,City of Whyalla,2016-17,2
Local Government,City of Whyalla,2015-16,2
Local Government,City of Whyalla,2014-15,4
Local Government,City of Whyalla,2013-14,6
Local Government,City of Whyalla,2012-13,3
Local Government,City of Whyalla,2011-12,5
Local Government,Clare & Gilbert Valleys Council,2024-25,2
Local Government,Clare & Gilbert Valleys Council,2023-24,1
Local Government,Clare & Gilbert Valleys Council,2022-23,0
Local Government,Clare & Gilbert Valleys Council,2021-22,2
Local Government,Clare & Gilbert Valleys Council,2020-21,1
Local Government,Clare & Gilbert Valleys Council,2019-20,1
Local Government,Clare & Gilbert Valleys Council,2018-19,3
Local Government,Clare & Gilbert Valleys Council,2017-18,2
Local Government,Clare & Gilbert Valleys Council,2016-17,5
Local Government,Clare & Gilbert Valleys Council,2015-16,4
Local Government,Clare & Gilbert Valleys Council,2014-15,3
Local Government,Clare & Gilbert Valleys Council,2013-14,3
Local Government,Clare & Gilbert Valleys Council,2012-13,5
Local Government,Clare & Gilbert Valleys Council,2011-12,1
Local Government,Coorong District Council,2024-25,1
Local Government,Coorong District Council,2023-24,0
Local Government,Coorong District Council,2022-23,0
