table,table_title,year,measure,description1,description2,description4,description5,description6,data_source,unit,jurisdiction,value
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Cases >12 months,Derived from Australian state and territory court authorities and departments (unpublished),%,SA,39.5
7A.21,"Backlog indicator, civil",2024-25,Backlog,Backlog; civil; at 30 June,,,,Cases >24 months,Derived from Australian state and territory court authorities and departments (unpublished),%,SA,19.4
7A.21,"Backlog indicator, civil",2023-24,Backlog,Backlog; civil; at 30 June,,,,Pending case load,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,2968
7A.21,"Backlog indicator, civil",2023-24,Backlog,Backlog; civil; at 30 June,,,,Cases >12 months,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,1098
7A.21,"Backlog indicator, civil",2023-24,Backlog,Backlog; civil; at 30 June,,,,Cases >24 months,Australian state and territory court authorities and departments (unpublished),no.,SA,398
7A.21,"Backlog indicator, civil",2023-24,Backlog,Backlog; civil; at 30 June,,,,Cases >12 months,Derived from Australian state and territory court authorities and departments (unpublished),%,SA,37.0
7A.21,"Backlog indicator, civil",2023-24,Backlog,Backlog; civil; at 30 June,,,,Cases >24 months,Derived from Australian state and territory court authorities and departments (unpublished),%,SA,13.4
7A.21,"Backlog indicator, civil",2022-23,Backlog,Backlog; civil; at 30 June,,,,Pending case load,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,2781
7A.21,"Backlog indicator, civil",2022-23,Backlog,Backlog; civil; at 30 June,,,,Cases >12 months,Derived from Australian state and territory court authorities and departments (unpublished),no.,SA,895
7A.21,"Backlog indicator, civil",2022-23,Backlog,Backlog; civil; at 30 June,,,,Cases >24 months,Australian state and territory court authorities and departments (unpublished),no.,SA,336
