date,location,unemployment_rate_trend_pct,unemployment_rate_seasonally_adjusted_pct,unemployment_rate_original_pct
1982-01,Tasmania,8.3436884,7.9573498,9.0171281
1982-01,Victoria,5.7389386,5.537144,5.8726186
1982-01,Western Australia,6.8271451,7.0427152,7.7702164
1982-02,Australia,6.1938841,6.3083069,7.0629818
1982-02,Australian Capital Territory,6.1479147,,6.9743416
1982-02,New South Wales,5.7983496,6.1000733,6.7544216
1982-02,Northern Territory,5.4192806,,7.5328042
1982-02,Queensland,5.9196082,6.1033861,7.0204217
1982-02,South Australia,7.7779095,7.7836351,8.2693783
1982-02,Tasmania,8.608674,8.857197,9.5260717
1982-02,Victoria,5.8463306,5.9942893,6.6618361
1982-02,Western Australia,6.9032373,6.7507213,7.5500113
1982-03,Australia,6.2922498,6.3230459,6.663652
1982-03,Australian Capital Territory,6.3538982,,8.7077499
1982-03,New South Wales,5.9180232,5.9570836,6.3005114
1982-03,Northern Territory,5.5855001,,7.570234
1982-03,Queensland,5.9251145,5.7292189,6.1852798
1982-03,South Australia,7.7111288,7.5423583,7.6392707
1982-03,Tasmania,8.8648625,8.8845648,9.2260522
1982-03,Victoria,5.9796797,6.1581535,6.4453877
1982-03,Western Australia,6.9772263,6.9805069,7.3465921
1982-04,Australia,6.4012305,6.333367,6.4036254
1982-04,Australian Capital Territory,6.5990994,,7.4187768
1982-04,New South Wales,6.0633416,6.0234616,6.1045681
1982-04,Northern Territory,5.7488067,,6.9052699
1982-04,Queensland,5.95599,5.8319411,6.098115
1982-04,South Australia,7.6928437,7.6183153,7.3997738
1982-04,Tasmania,9.1022425,9.5930835,9.1447746
1982-04,Victoria,6.1187284,5.986065,6.0799147
1982-04,Western Australia,7.0680992,7.0322106,7.0015123
1982-05,Australia,6.5345877,6.5928158,6.5813567
1982-05,Australian Capital Territory,6.8555387,,7.4656104
1982-05,New South Wales,6.2570754,6.234542,6.2476367
1982-05,Northern Territory,5.912413,,7.9090719
1982-05,Queensland,6.0417677,6.2115068,6.2431952
1982-05,South Australia,7.7363879,7.8594173,7.7753476
1982-05,Tasmania,9.3199375,9.4398294,9.2761756
1982-05,Victoria,6.2494705,6.3762161,6.4164419
1982-05,Western Australia,7.1981257,7.022537,6.6747593
1982-06,Australia,6.714855,6.7668647,6.5778391
1982-06,Australian Capital Territory,7.1024387,,6.354528
1982-06,New South Wales,6.5282213,6.6058848,6.4193799
1982-06,Northern Territory,6.0634092,,4.0030326
1982-06,Queensland,6.2040317,6.3062075,6.1231468
1982-06,South Australia,7.8283476,7.8615626,7.6744264
1982-06,Tasmania,9.5182646,9.4000313,9.0010078
1982-06,Victoria,6.3836517,6.3966666,6.2767325
1982-06,Western Australia,7.3825327,7.5969261,7.3623241
1982-07,Australia,6.966982,6.879029,6.5905958
1982-07,Australian Capital Territory,7.3273637,,6.5264987
1982-07,New South Wales,6.9055369,6.8360394,6.5515185
