lga_code,lga_name,sex,year,population,is_total_row
44340,Mitcham (C),Males,2016,32242,False
44340,Mitcham (C),Males,2021,32558,False
44340,Mitcham (C),Males,2026,33146,False
44340,Mitcham (C),Males,2031,33710,False
44340,Mitcham (C),Males,2036,34520,False
44550,Mount Barker (DC),Males,2016,16575,False
44550,Mount Barker (DC),Males,2021,18097,False
44550,Mount Barker (DC),Males,2026,19690,False
44550,Mount Barker (DC),Males,2031,21333,False
44550,Mount Barker (DC),Males,2036,22961,False
44620,Mount Gambier (C),Males,2016,13139,False
44620,Mount Gambier (C),Males,2021,13706,False
44620,Mount Gambier (C),Males,2026,14205,False
44620,Mount Gambier (C),Males,2031,14580,False
44620,Mount Gambier (C),Males,2036,14876,False
44830,Mount Remarkable (DC),Males,2016,1457,False
44830,Mount Remarkable (DC),Males,2021,1463,False
44830,Mount Remarkable (DC),Males,2026,1475,False
44830,Mount Remarkable (DC),Males,2031,1477,False
44830,Mount Remarkable (DC),Males,2036,1473,False
45040,Murray Bridge (RC),Males,2016,10827,False
45040,Murray Bridge (RC),Males,2021,11354,False
45040,Murray Bridge (RC),Males,2026,11936,False
45040,Murray Bridge (RC),Males,2031,12424,False
45040,Murray Bridge (RC),Males,2036,12828,False
45090,Naracoorte and Lucindale (DC),Males,2016,4452,False
45090,Naracoorte and Lucindale (DC),Males,2021,4525,False
45090,Naracoorte and Lucindale (DC),Males,2026,4593,False
