table,table_title,section,row_group,row_label,column,value
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Victoria,,02 Assault,6 to under 12 months - (no.),5
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Victoria,,02 Assault,1 year & over - (no.),8
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Victoria,,02 Assault,No further penalty due to time spent in custody - (no.),..
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Victoria,,02 Assault,Total - (no.),20
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Victoria,,02 Assault,Mean - (months),6.8
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Victoria,,02 Assault,Median - (months),5.2
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Victoria,,03 Sexual offences,Under 3 months - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Victoria,,03 Sexual offences,3 to under 6 months - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Victoria,,03 Sexual offences,6 to under 12 months - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Victoria,,03 Sexual offences,1 year & over - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Victoria,,03 Sexual offences,No further penalty due to time spent in custody - (no.),..
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Victoria,,03 Sexual offences,Total - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Victoria,,03 Sexual offences,Mean - (months),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Victoria,,03 Sexual offences,Median - (months),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Victoria,,04 Harm or endanger persons,Under 3 months - (no.),3
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Victoria,,04 Harm or endanger persons,3 to under 6 months - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Victoria,,04 Harm or endanger persons,6 to under 12 months - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Victoria,,04 Harm or endanger persons,1 year & over - (no.),0
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Victoria,,04 Harm or endanger persons,No further penalty due to time spent in custody - (no.),..
Table 82,"Defendants sentenced to custody in a correctional institution – Children's Courts, Selected principal offence by sentence length, States and territories, 2024–25",Victoria,,04 Harm or endanger persons,Total - (no.),8
