table,table_title,financial_year,row_group,row_label,column,value
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Withdrawn by prosecution,02 Assault,3113
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Withdrawn by prosecution,03 Sexual offences,306
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Withdrawn by prosecution,04 Harm or endanger persons,127
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Withdrawn by prosecution,"05 Robbery, blackmail, and extortion",90
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Withdrawn by prosecution,06 Burglary,287
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Withdrawn by prosecution,07 Theft,621
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Withdrawn by prosecution,08 Fraud and related offences,112
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Withdrawn by prosecution,09 Drug offences,377
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Withdrawn by prosecution,10 Weapons and explosives offences,210
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Withdrawn by prosecution,11 Property damage,273
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Withdrawn by prosecution,"12 Public order, health, and safety offences",167
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Withdrawn by prosecution,13 Traffic and vehicle offences,885
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Withdrawn by prosecution,14 Offences against justice procedures and orders,364
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Withdrawn by prosecution,15 Offences against government,32
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Withdrawn by prosecution,16 Environmental offences,9
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Withdrawn by prosecution,17 Miscellaneous offences,13
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Withdrawn by prosecution,Total,7012
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Total finalised,01 Homicide,73
Table 41,"Defendants finalised and with a guilty outcome, Summary outcomes by all principal offence, All Courts – South Australia, 2023–24 to 2024–25",2024–25,Method of finalisation,Total finalised,02 Assault,6070
