table,table_title,section,row_group,row_label,column,value
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,"12 Public order, health, and safety offences",2 to under 5 years - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,"12 Public order, health, and safety offences",5 to under 10 years - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,"12 Public order, health, and safety offences",10 years & over - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,"12 Public order, health, and safety offences",No further penalty due to time spent in custody - (no.),378
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,"12 Public order, health, and safety offences",Total - (no.),408
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,"12 Public order, health, and safety offences",Mean - (months),1.8
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,"12 Public order, health, and safety offences",Median - (months),1
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,13 Traffic and vehicle offences,Under 3 months - (no.),177
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,13 Traffic and vehicle offences,3 to under 6 months - (no.),65
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,13 Traffic and vehicle offences,6 to under 12 months - (no.),22
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,13 Traffic and vehicle offences,1 to under 2 years - (no.),4
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,13 Traffic and vehicle offences,2 to under 5 years - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,13 Traffic and vehicle offences,5 to under 10 years - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,13 Traffic and vehicle offences,10 years & over - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,13 Traffic and vehicle offences,No further penalty due to time spent in custody - (no.),98
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,13 Traffic and vehicle offences,Total - (no.),369
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,13 Traffic and vehicle offences,Mean - (months),3
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,13 Traffic and vehicle offences,Median - (months),2.1
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,14 Offences against justice procedures and orders,Under 3 months - (no.),173
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,14 Offences against justice procedures and orders,3 to under 6 months - (no.),49
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,14 Offences against justice procedures and orders,6 to under 12 months - (no.),21
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,14 Offences against justice procedures and orders,1 to under 2 years - (no.),4
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,14 Offences against justice procedures and orders,2 to under 5 years - (no.),3
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,14 Offences against justice procedures and orders,5 to under 10 years - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,14 Offences against justice procedures and orders,10 years & over - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,14 Offences against justice procedures and orders,No further penalty due to time spent in custody - (no.),524
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,14 Offences against justice procedures and orders,Total - (no.),771
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,14 Offences against justice procedures and orders,Mean - (months),3.2
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,14 Offences against justice procedures and orders,Median - (months),1.5
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,15 Offences against government,Under 3 months - (no.),3
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,15 Offences against government,3 to under 6 months - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,15 Offences against government,6 to under 12 months - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,15 Offences against government,1 to under 2 years - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,15 Offences against government,2 to under 5 years - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,15 Offences against government,5 to under 10 years - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,15 Offences against government,10 years & over - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,15 Offences against government,No further penalty due to time spent in custody - (no.),3
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,15 Offences against government,Total - (no.),7
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,15 Offences against government,Mean - (months),2.5
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,15 Offences against government,Median - (months),2.1
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,16 Environmental offences,Under 3 months - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,16 Environmental offences,3 to under 6 months - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,16 Environmental offences,6 to under 12 months - (no.),0
Table 79,"Defendants sentenced to custody in a correctional institution – All Courts, Principal offence by sentence length, States and territories, 2024–25",South Australia,,16 Environmental offences,1 to under 2 years - (no.),0
