table,table_title,section,row_group,row_label,column,value
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,094 Unlawful possession or use of drugs,Total adjudicated,942
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,094 Unlawful possession or use of drugs,Transfer to other court levels,8
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,094 Unlawful possession or use of drugs,Withdrawn by prosecution,86
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,094 Unlawful possession or use of drugs,Total,1042
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,099 Other drug offences,Acquitted,0
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,099 Other drug offences,Guilty outcome,8
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,099 Other drug offences,Total adjudicated,8
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,099 Other drug offences,Transfer to other court levels,0
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,099 Other drug offences,Withdrawn by prosecution,0
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,099 Other drug offences,Total,8
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,10 Weapons and explosives offences,Acquitted,22
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,10 Weapons and explosives offences,Guilty outcome,1397
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,10 Weapons and explosives offences,Total adjudicated,1416
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,10 Weapons and explosives offences,Transfer to other court levels,69
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,10 Weapons and explosives offences,Withdrawn by prosecution,210
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,10 Weapons and explosives offences,Total,1709
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,11 Property damage,Acquitted,21
Table 40,"Defendants finalised, Principal offence by method of finalisation – South Australia, 2024–25",,,11 Property damage,Guilty outcome,794
