state,venue_or_event_type,measure,value
SA,Art galleries,margin_of_error_pct_points,1.8
WA,Art galleries,margin_of_error_pct_points,1.9
Tas.,Art galleries,margin_of_error_pct_points,2.1
NT,Art galleries,margin_of_error_pct_points,3.3
ACT,Art galleries,margin_of_error_pct_points,3.9
Australia,Art galleries,margin_of_error_pct_points,0.7
NSW,Museums,margin_of_error_pct_points,0.9
Vic.,Museums,margin_of_error_pct_points,1.2
Qld,Museums,margin_of_error_pct_points,1.4
SA,Museums,margin_of_error_pct_points,1.6
WA,Museums,margin_of_error_pct_points,1.9
Tas.,Museums,margin_of_error_pct_points,2.2
NT,Museums,margin_of_error_pct_points,3.6
ACT,Museums,margin_of_error_pct_points,3.3
Australia,Museums,margin_of_error_pct_points,0.5
NSW,Cinemas,margin_of_error_pct_points,1.3
Vic.,Cinemas,margin_of_error_pct_points,1.5
Qld,Cinemas,margin_of_error_pct_points,2.1
SA,Cinemas,margin_of_error_pct_points,1.7
WA,Cinemas,margin_of_error_pct_points,2.5
Tas.,Cinemas,margin_of_error_pct_points,2.1
NT,Cinemas,margin_of_error_pct_points,4.5
ACT,Cinemas,margin_of_error_pct_points,4.7
Australia,Cinemas,margin_of_error_pct_points,0.7
NSW,Live music concerts or performances,margin_of_error_pct_points,1.2
Vic.,Live music concerts or performances,margin_of_error_pct_points,1.5
Qld,Live music concerts or performances,margin_of_error_pct_points,1.6
SA,Live music concerts or performances,margin_of_error_pct_points,1.9
WA,Live music concerts or performances,margin_of_error_pct_points,2
Tas.,Live music concerts or performances,margin_of_error_pct_points,1.8
NT,Live music concerts or performances,margin_of_error_pct_points,4.5
ACT,Live music concerts or performances,margin_of_error_pct_points,3.7
Australia,Live music concerts or performances,margin_of_error_pct_points,0.7
NSW,Musicals or operas,margin_of_error_pct_points,0.8
Vic.,Musicals or operas,margin_of_error_pct_points,0.6
Qld,Musicals or operas,margin_of_error_pct_points,1
SA,Musicals or operas,margin_of_error_pct_points,1.1
