surname,given_names,ballot_paper_surname,ballot_paper_given_names,council,position_contested,ward_name,position_on_ballot,standing_for_reelection,political_party_membership,elected_status
Dunn,Peter,DUNN,Peter,Marion,Ward Councillor,Coastal ward,5,No,,Not elected
Lerwill,Fleur,LERWILL,Fleur,Marion,Ward Councillor,Coastal ward,2,No,,Not elected
Luscombe,Sarah Kate,LUSCOMBE,Sarah,Marion,Ward Councillor,Coastal ward,1,No,Australian Greens SA,Elected
Parkin,Jonathan Lee,PARKIN,Jonathan,Marion,Ward Councillor,Coastal ward,6,No,Liberal Democratic Party,Not elected
Golding,Leslie Alan,GOLDING,Les,Marion,Ward Councillor,Mullawirra ward,3,No,,Not elected
Singh,Amarpreet,SINGH ,Amar,Marion,Ward Councillor,Mullawirra ward,1,No,,Elected
Veliskou,Jason,VELISKOU,Jason,Marion,Ward Councillor,Mullawirra ward,2,Yes,,Elected
Duncan,Maggie May,DUNCAN,Maggie May,Marion,Ward Councillor,Southern Hills ward,4,Yes,,Not elected
Mates,Jana Ruth,MATES,Jana Ruth,Marion,Ward Councillor,Southern Hills ward,3,No,Liberal Party of Australia (SA Division),Elected
Naismith,Luke,NAISMITH,Luke,Marion,Ward Councillor,Southern Hills ward,2,No,,Elected
Shilling,Matthew David,SHILLING,Matthew,Marion,Ward Councillor,Southern Hills ward,1,Yes,Liberal Party of Australia (SA Division),Not elected
Appleby,Jerome David,APPLEBY,Jerome David,Marion,Ward Councillor,Warracowie ward,6,No,Liberal Party of Australia (SA Division),Not elected
Broad,Bradley Scott,BROAD,Bradley,Marion,Ward Councillor,Warracowie ward,1,No,,Not elected
Metevelis,Chris,METEVELIS,Chris,Marion,Ward Councillor,Warracowie ward,5,No,,Not elected
Prior,Nathan John,PRIOR,Nathan John,Marion,Ward Councillor,Warracowie ward,2,Yes,,Elected
Raje,Sanjay Madhukar,RAJE,Sanjay Madhukar,Marion,Ward Councillor,Warracowie ward,7,No,Liberal Party of Australia (SA Division),Not elected
Sethi,Jagjit,SETHI,Jagjit,Marion,Ward Councillor,Warracowie ward,4,No,Australian Labor Party (South Australian Branch),Not elected
Taylor,Matthew Wade,TAYLOR,Matt,Marion,Ward Councillor,Warracowie ward,3,No,,Elected
Thipthorp,Chris,THIPTHORP,Chris,Marion,Ward Councillor,Warracowie ward,8,No,,Not elected
Barbara,Anne,BARBARA,Anne,Marion,Ward Councillor,Warriparinga ward,5,No,,Not elected
Lama,Renuka,LAMA,Renuka,Marion,Ward Councillor,Warriparinga ward,2,No,,Elected
Portway,Peter,PORTWAY,Peter,Marion,Ward Councillor,Warriparinga ward,1,No,,Not elected
Rasmussen,Erik Leif,RASMUSSEN,Erik,Marion,Ward Councillor,Warriparinga ward,3,No,Australian Labor Party (South Australian Branch),Not elected
Telfer,Raelene June,TELFER,Raelene,Marion,Ward Councillor,Warriparinga ward,4,Yes,,Elected
Hoffmann,Jayne,HOFFMANN,Jayne,Marion,Ward Councillor,Woodlands ward,3,No,Australian Labor Party (South Australian Branch),Elected
Kumar,Johar,KUMAR,Johar,Marion,Ward Councillor,Woodlands ward,1,No,Australian Labor Party (South Australian Branch),Not elected
Lithgow,Kirsty Lyn,LITHGOW,Kirsty Lyn,Marion,Ward Councillor,Woodlands ward,6,No,,Not elected
Masika,Joseph,MASIKA ,Joseph,Marion,Ward Councillor,Woodlands ward,5,Yes,,Elected
Walcynski,Emma-Kate,MORRISON,Emma,Marion,Ward Councillor,Woodlands ward,4,No,,Not elected
Perry,Nicholas Leigh,PERRY,Nick,Marion,Ward Councillor,Woodlands ward,8,No,,Not elected
Phillips,Warren John,PHILLIPS,Warren John,Marion,Ward Councillor,Woodlands ward,9,No,,Not elected
Stasinowsky,Andrew,STASINOWSKY,Andrew James,Marion,Ward Councillor,Woodlands ward,7,No,,Not elected
Thompson,Julian Alexander,THOMPSON,Julian,Marion,Ward Councillor,Woodlands ward,2,No,,Not elected
Bailey,Simone,BAILEY,Simone ,Mid Murray,Mayor,,1,Yes,,Elected
Burgess,David James,BURGESS,Dave,Mid Murray,Mayor,,3,Yes,,Not elected
Myers,Kevin Paul,MYERS,Kevin Paul,Mid Murray,Mayor,,2,Yes,,Not elected
Davis,Jennifer May,DAVIS,Jen,Mid Murray,Ward Councillor,Eyre ward,1,No,,Elected
Forrester,Leonard Thomas John,FORRESTER,Leonard Thomas John,Mid Murray,Ward Councillor,Eyre ward,4,Yes,,Elected
Gamertsfelder,Jakob,GAMERTSFELDER,Jakob,Mid Murray,Ward Councillor,Eyre ward,2,No,,Not elected
Tredrea,Wayne Keith,TREDREA,Wayne,Mid Murray,Ward Councillor,Eyre ward,3,No,,Not elected
Barber,Geoffrey,BARBER,Geoff,Mid Murray,Ward Councillor,Murray ward,2,No,,Elected
Barnes,Jayne,BARNES,Jayne,Mid Murray,Ward Councillor,Murray ward,3,No,,Not elected
Moss,James (Jim),MOSS,Jim,Mid Murray,Ward Councillor,Murray ward,5,No,,Not elected
Schiansky,Christine,SCHIANSKY,Kitty,Mid Murray,Ward Councillor,Murray ward,6,No,,Not elected
Schultz,Roslyn Nita,SCHULTZ,Roslyn,Mid Murray,Ward Councillor,Murray ward,4,No,,Elected
Sims,Kristine,SIMS,Kristine,Mid Murray,Ward Councillor,Murray ward,1,No,,Not elected
Gladigau,Kelly,GLADIGAU,Kelly,Mid Murray,Ward Councillor,Shearer ward,,No,,Elected unopposed
Hammond,Victoria,HAMMOND,Victoria,Mid Murray,Ward Councillor,Shearer ward,,No,,Elected unopposed
Macgregor,Kirstine Fiona,MACGREGOR,Kirsty ,Mid Murray,Ward Councillor,Shearer ward,,Yes,,Elected unopposed
Toczek Mcpeake,Amanda,TOCZEK MCPEAKE,Mandy,Mid Murray,Ward Councillor,Shearer ward,,No,,Elected unopposed
Holmes-Ross,Heather,HOLMES-ROSS,Heather,Mitcham,Mayor,,3,Yes,,Elected
Mcghee,Ramon,McGHEE,Ray,Mitcham,Mayor,,1,No,,Not elected
Spear,Glenn William,SPEAR,Glenn ,Mitcham,Mayor,,2,No,,Not elected
Avery,Ellen,AVERY,Ellen,Mitcham,Ward Councillor,Babbage ward,1,No,Liberal Party of Australia (SA Division),Not elected
Greenshields,Aidan David,GREENSHIELDS,Aidan,Mitcham,Ward Councillor,Babbage ward,4,No,Australian Labor Party (South Australian Branch),Elected
Todd,Yvonne,TODD,Yvonne,Mitcham,Ward Councillor,Babbage ward,3,Yes,,Elected
Vidyam Vijaya Ranga Rao,Seshadri,VIDYAM,Sesh,Mitcham,Ward Councillor,Babbage ward,2,No,,Not elected
Christopoulos,Adriana,CHRISTOPOULOS,Adriana,Mitcham,Ward Councillor,Boorman ward,3,Yes,Liberal Party of Australia (SA Division),Not elected
Kosmider,Robyn Julie,KOSMIDER,Robyn,Mitcham,Ward Councillor,Boorman ward,1,No,,Not elected
Tilley,Andrew Playford,TILLEY,Andrew Playford,Mitcham,Ward Councillor,Boorman ward,4,Yes,,Elected
Wells,Joanna Margaret,WELLS,Joanna,Mitcham,Ward Councillor,Boorman ward,2,No,,Elected
Dienes,David Jesse,DIENES,David Jesse,Mitcham,Ward Councillor,Craigburn ward,3,No,Liberal Party of Australia (SA Division),Not elected
Hockley,Karen Louise Antic,HOCKLEY,Karen,Mitcham,Ward Councillor,Craigburn ward,1,Yes,,Elected
Kruse,Darren,KRUSE,Darren,Mitcham,Ward Councillor,Craigburn ward,2,Yes,,Elected
Rouse,Scott Andrew,ROUSE,Scott,Mitcham,Ward Councillor,Craigburn ward,4,No,,Not elected
Dhaliwal,Simarjeet Kaur,DHALIWAL,Sim,Mitcham,Ward Councillor,Gault ward,4,No,Australian Greens SA,Not elected
George,Pia Louise,GEORGE,Pia,Mitcham,Ward Councillor,Gault ward,2,No,Liberal Party of Australia (SA Division),Elected
Hallahan,James,HALLAHAN,James ,Mitcham,Ward Councillor,Gault ward,6,No,Australian Labor Party (South Australian Branch),Not elected
Hutchinson,Luke,HUTCHINSON,Luke,Mitcham,Ward Councillor,Gault ward,5,No,,Not elected
Moss,Rodney Dean,MOSS,Rod,Mitcham,Ward Councillor,Gault ward,3,Yes,,Elected
Westbrook,Ashley,WESTBROOK,Ashley,Mitcham,Ward Councillor,Gault ward,1,No,,Not elected
Bange,Jane Cornelia,BANGE,Jane,Mitcham,Ward Councillor,Overton ward,6,Yes,Australian Greens SA,Elected
Bhagat,Kamal,BHAGAT,Kamal,Mitcham,Ward Councillor,Overton ward,5,No,,Elected
Buob,Jonathan,BUOB,Jonathan,Mitcham,Ward Councillor,Overton ward,4,No,,Not elected
Denlay,John,DENLAY,John,Mitcham,Ward Councillor,Overton ward,1,No,,Not elected
Munro,David Douglas,MUNRO,Dave,Mitcham,Ward Councillor,Overton ward,3,Yes,,Not elected
Stojani,Danielle Elizabeth,STOJANI,Danielle,Mitcham,Ward Councillor,Overton ward,2,No,,Not elected
Mccarthy,Corin Sean,McCARTHY,Corin ,Mitcham,Ward Councillor,The Park ward,1,Yes,,Elected
Morrison,Tom,MORRISON,Tom,Mitcham,Ward Councillor,The Park ward,3,No,,Elected
Stocker,Kellie Julia,STOCKER,Kellie,Mitcham,Ward Councillor,The Park ward,2,No,,Not elected
Ferguson,Ann Shirley,FERGUSON,Ann Shirley,Mount Barker,Mayor,,2,Yes,,Not elected
Leach,David Alan,LEACH,David ,Mount Barker,Mayor,,1,Yes,,Elected
Grosser,Ian,GROSSER,Ian David,Mount Barker,Ward Councillor,Central ward,4,Yes,Australian Greens SA,Elected
Harding,Sally,HARDING,Sally,Mount Barker,Ward Councillor,Central ward,5,No,Liberal Party of Australia (SA Division),Elected
Jones,Samantha Jean,JONES,Samantha Jean,Mount Barker,Ward Councillor,Central ward,2,Yes,,Elected
Orr,Bradley,ORR,Bradley,Mount Barker,Ward Councillor,Central ward,1,Yes,Liberal Party of Australia (SA Division),Elected
Size,Janette,SIZE,Janette,Mount Barker,Ward Councillor,Central ward,3,No,,Not elected
Hamilton,Susan Willa,HAMILTON,Susan Willa,Mount Barker,Ward Councillor,North ward,3,No,,Not elected
Seager,Harry Russell,SEAGER,Harry ,Mount Barker,Ward Councillor,North ward,1,Yes,,Elected
Szilassy,Jessica Louise,SZILASSY,Jessica,Mount Barker,Ward Councillor,North ward,4,No,,Elected
Westwood,Simon,WESTWOOD,Simon,Mount Barker,Ward Councillor,North ward,2,Yes,,Elected
Coombe,Richard,COOMBE,Richard ,Mount Barker,Ward Councillor,South ward,2,No,,Elected
Hankin,William Anthony,HANKIN,Bill,Mount Barker,Ward Councillor,South ward,5,No,,Not elected
Hardingham,Narelle,HARDINGHAM,Narelle,Mount Barker,Ward Councillor,South ward,3,Yes,,Elected
Hewett,Rebecca Jane,HEWETT,Rebecca,Mount Barker,Ward Councillor,South ward,4,No,Liberal Party of Australia (SA Division),Elected
Voogt,Rowan Roy,VOOGT,Rowan Roy,Mount Barker,Ward Councillor,South ward,1,No,Australian Labor Party (South Australian Branch),Not elected
Amoroso,Kate,AMOROSO,Kate,Mount Gambier,Area Councillor,,7,Yes,,Elected
Bruins,Max,BRUINS,Max,Mount Gambier,Area Councillor,,1,Yes,,Elected
Drinkell,Owen Edward,DRINKELL,Owen,Mount Gambier,Area Councillor,,15,No,,Not elected
Edwards,Justin,EDWARDS,Justin,Mount Gambier,Area Councillor,,11,No,,Not elected
Herrmann,Alysha Erin Anne,HERRMANN,Alysha,Mount Gambier,Area Councillor,,8,No,,Not elected
Hood,Benjamin Robin,HOOD,Ben,Mount Gambier,Area Councillor,,3,Yes,Liberal Party of Australia (SA Division),Elected
Jenner,Paul,JENNER,Paul ,Mount Gambier,Area Councillor,,10,Yes,,Elected
Jones,Llewellyn David,JONES,Llew,Mount Gambier,Area Councillor,,17,No,Liberal Party of Australia (SA Division),Not elected
Lovett,Mark,LOVETT,Mark,Mount Gambier,Area Councillor,,2,No,,Elected
Lynagh,Josh Paul,LYNAGH,Josh,Mount Gambier,Area Councillor,,13,No,,Elected
Mezinec,Sonya Maria,MEZINEC,Sonya,Mount Gambier,Area Councillor,,4,Yes,Australian Labor Party (South Australian Branch),Elected
Morale,Bruce Sebastian,MORALE,Bruce Sebastian,Mount Gambier,Area Councillor,,14,No,,Not elected
Morello,Frank,MORELLO,Frank,Mount Gambier,Area Councillor,,12,Yes,,Elected
Paleokastritis,Steven,PALEOKASTRITIS,Steve,Mount Gambier,Area Councillor,,5,No,,Not elected
Raedel,Kevin,RAEDEL,Kevin,Mount Gambier,Area Councillor,,18,No,,Not elected
Turner,Scott,TURNER,Scott James,Mount Gambier,Area Councillor,,6,No,,Not elected
Virgo,Jason Wayne,VIRGO,Jason,Mount Gambier,Area Councillor,,9,No,,Not elected
Von Stanke,Ian,VON STANKE,Ian David,Mount Gambier,Area Councillor,,16,No,,Not elected
Martin,Lynette Mary,MARTIN,Lynette ,Mount Gambier,Mayor,,,Yes,,Elected unopposed
Heaslip,Phillip Michael,HEASLIP,Phillip Michael,Mount Remarkable,Ward Councillor,Telowie ward,,Yes,Liberal Party of Australia (SA Division),Elected unopposed
Mccarthy,Stephen Richard,McCARTHY,Stephen,Mount Remarkable,Ward Councillor,Telowie ward,,Yes,,Elected unopposed
Tate,Sheriden,TATE,Sheriden,Mount Remarkable,Ward Councillor,Telowie ward,,No,,Elected unopposed
Keller,Ian   (Danny),KELLER,Ian (Danny),Mount Remarkable,Ward Councillor,Willochra ward,,Yes,,Elected unopposed
Nottle,Colin,NOTTLE,Colin Edward,Mount Remarkable,Ward Councillor,Willochra ward,,Yes,,Elected unopposed
Till,Lesley Christine,TILL,Lesley ,Mount Remarkable,Ward Councillor,Willochra ward,,No,Australian Labor Party (South Australian Branch),Elected unopposed
Baltensperger,Andrew,BALTENSPERGER,Andrew,Murray Bridge,Area Councillor,,9,Yes,,Elected
Courtney,Lisa,COURTNEY,Lisa Ann,Murray Bridge,Area Councillor,,2,No,,Elected
Demichele,John,DE MICHELE,John,Murray Bridge,Area Councillor,,12,Yes,,Elected
Eckermann,Karen Jane,ECKERMANN,Karen Jane,Murray Bridge,Area Councillor,,7,Yes,Animal Justice Party,Elected
Haig,Tom,HAIG,Tom,Murray Bridge,Area Councillor,,1,No,,Elected
Keen,Airlie,KEEN,Airlie,Murray Bridge,Area Councillor,,14,Yes,,Elected
Mcinerney,Mellissa Anne,McINERNEY,Mellissa Anne,Murray Bridge,Area Councillor,,8,No,,Not elected
O'Brien,Mat,O'BRIEN,Mat,Murray Bridge,Area Councillor,,13,Yes,Australian Labor Party (South Australian Branch),Elected
O'Toole,Josephine,O'TOOLE,Josephine,Murray Bridge,Area Councillor,,6,No,,Not elected
Perrett,Monica,PERRETT,Monica,Murray Bridge,Area Councillor,,10,No,,Not elected
Richardson,Liam,RICHARDSON,Liam,Murray Bridge,Area Councillor,,4,No,,Not elected
Schubert,Clem Schubert,SCHUBERT,Clem,Murray Bridge,Area Councillor,,11,Yes,,Elected
Singh,Jagtar,SINGH,Jagtar,Murray Bridge,Area Councillor,,15,No,,Not elected
Toogood,Fred,TOOGOOD,Fred,Murray Bridge,Area Councillor,,5,Yes,,Elected
Uwihoreye,Jean-Marie,UWIHOREYE,Jean-marie,Murray Bridge,Area Councillor,,3,No,,Not elected
Matthews,Dawn Patricia,MATTHEWS,Dawn Patricia,Murray Bridge,Mayor,,1,No,,Not elected
Thorley,Wayne,THORLEY,Wayne Brian,Murray Bridge,Mayor,,2,Yes,Liberal Party of Australia (SA Division),Elected
Banning,Kenneth Douglas,BANNING,Ken,Naracoorte Lucindale,Area Councillor,,2,No,,Not elected
Crossling,Monique Ann,CROSSLING,Monique ,Naracoorte Lucindale,Area Councillor,,9,Yes,,Elected
Dennis,Thomas Alexander,DENNIS,Tom,Naracoorte Lucindale,Area Councillor,,1,Yes,Liberal Party of Australia (SA Division),Elected
Downward,Andrew,DOWNWARD,Andrew,Naracoorte Lucindale,Area Councillor,,3,No,,Elected
Earl,Julien Grace,EARL,Julie,Naracoorte Lucindale,Area Councillor,,5,Yes,Liberal Party of Australia (SA Division),Not elected
Goodman,Abigail,GOODMAN,Abigail,Naracoorte Lucindale,Area Councillor,,10,No,,Elected
Grundy,Cameron Norman,GRUNDY,Cameron,Naracoorte Lucindale,Area Councillor,,16,Yes,,Elected
Ireland,Peter Bruce,IRELAND,Peter Bruce,Naracoorte Lucindale,Area Councillor,,7,No,,Elected
James,Derek Wilf,JAMES,Derek Wilf,Naracoorte Lucindale,Area Councillor,,6,Yes,Liberal Party of Australia (SA Division),Not elected
Mcguire,Craig William,MCGUIRE,Craig William,Naracoorte Lucindale,Area Councillor,,15,Yes,,Elected
Moore,Danielle Jane,MOORE,Danielle,Naracoorte Lucindale,Area Councillor,,12,No,,Not elected
Rayner,Trevor Gordon,RAYNER,Trevor,Naracoorte Lucindale,Area Councillor,,13,Yes,,Elected
Robinson,Kenneth,ROBINSON,Toby,Naracoorte Lucindale,Area Councillor,,8,No,,Not elected
Ross,Damien Troy,ROSS,Damien,Naracoorte Lucindale,Area Councillor,,4,Yes,,Elected
Shepherd,Peter,SHEPHERD,Peter (Huck),Naracoorte Lucindale,Area Councillor,,11,No,,Not elected
Turner,Darren John,TURNER,Darren,Naracoorte Lucindale,Area Councillor,,14,No,Liberal Party of Australia (SA Division),Elected
Ross,Patrick,ROSS,Patrick,Naracoorte Lucindale,Mayor,,1,No,,Elected
Vickery,Erika Johanna,VICKERY,Erika,Naracoorte Lucindale,Mayor,,2,Yes,,Not elected
Hockey,Fiona May,HOCKEY,Fiona May,Northern Areas,Ward Councillor,Belalie ward,3,No,,Elected
Langes,Johannes Hendrikus,LANGES,Hank,Northern Areas,Ward Councillor,Belalie ward,1,No,,Elected
Malone,Thomas James,MALONE,Thomas,Northern Areas,Ward Councillor,Belalie ward,2,No,Liberal Party of Australia (SA Division),Elected
Moore,Glanville Clifford,MOORE,Glan,Northern Areas,Ward Councillor,Belalie ward,5,Yes,,Elected
Reynolds,Justine Frances,REYNOLDS,Justine,Northern Areas,Ward Councillor,Belalie ward,4,No,,Not elected
Browne,Benedict   (Ben),BROWNE,Ben,Northern Areas,Ward Councillor,Broughton ward,,Yes,Australian Labor Party (South Australian Branch),Elected unopposed
Barberien,John,BARBERIEN,John,Northern Areas,Ward Councillor,Rocky River ward,1,No,,Elected
Higgins,Denise Joan,HIGGINS,Denise ,Northern Areas,Ward Councillor,Rocky River ward,2,Yes,,Elected
Nussey,Jordan,NUSSEY,Jordan,Northern Areas,Ward Councillor,Rocky River ward,5,No,,Not elected
Scarman,Sue,SCARMAN,Sue,Northern Areas,Ward Councillor,Rocky River ward,3,Yes,,Elected
Webb,Katherine Mary,WEBB,Kathy,Northern Areas,Ward Councillor,Rocky River ward,4,Yes,,Not elected
Pomerenke,Ian Robert,POMERENKE,Ian Robert,Northern Areas,Ward Councillor,Yackamoorundie ward,,Yes,,Elected unopposed
Bria,Roberto Aldo,BRIA,Robert,Norwood Payneham & St Peters,Mayor,,3,Yes,,Elected
Graham,Susan,LITCHFIELD,Susan,Norwood Payneham & St Peters,Mayor,,2,No,,Not elected
Marsh,Tracy Susan,MARSH,Tracy,Norwood Payneham & St Peters,Mayor,,1,No,Liberal Party of Australia (SA Division),Not elected
Callisto,Giovanni John,CALLISTO,John,Norwood Payneham & St Peters,Ward Councillor,Kensington/East Norwood ward,3,Yes,,Elected
Mex,Christel Lorraine,MEX,Christel Lorraine,Norwood Payneham & St Peters,Ward Councillor,Kensington/East Norwood ward,2,Yes,,Elected
Seals,Robert Spinelli,SEALS,Robert Spinelli,Norwood Payneham & St Peters,Ward Councillor,Kensington/East Norwood ward,1,No,Australian Labor Party (South Australian Branch),Not elected
Franchitto,Max,FRANCHITTO,Max,Norwood Payneham & St Peters,Ward Councillor,Maylands/Trinity ward,1,No,,Not elected
Granozio,Connie,GRANOZIO,Connie,Norwood Payneham & St Peters,Ward Councillor,Maylands/Trinity ward,3,Yes,,Elected
Mcfarlane,Victoria,McFARLANE,Victoria Minvielle,Norwood Payneham & St Peters,Ward Councillor,Maylands/Trinity ward,4,No,Liberal Party of Australia (SA Division),Elected
Sims,Scott,SIMS,Scott,Norwood Payneham & St Peters,Ward Councillor,Maylands/Trinity ward,2,Yes,Australian Labor Party (South Australian Branch),Elected
Ames,Trent William,AMES,Trent William,Norwood Payneham & St Peters,Ward Councillor,Payneham ward,1,No,Australian Labor Party (South Australian Branch),Not elected
Duke,Kevin John,DUKE,Kevin John,Norwood Payneham & St Peters,Ward Councillor,Payneham ward,4,Yes,,Elected
Robertson,Raymond George,ROBERTSON,Raymond George,Norwood Payneham & St Peters,Ward Councillor,Payneham ward,2,No,Liberal Party of Australia (SA Division),Not elected
Robinson,Joshua,ROBINSON,Josh,Norwood Payneham & St Peters,Ward Councillor,Payneham ward,5,No,,Elected
Sayyar Dashti,Shahin,SAYYAR DASHTI,Shahin,Norwood Payneham & St Peters,Ward Councillor,Payneham ward,3,No,Liberal Party of Australia (SA Division),Not elected
Clutterham,Claire Louise,CLUTTERHAM,Claire Louise,Norwood Payneham & St Peters,Ward Councillor,St Peters ward,4,No,Australian Labor Party (South Australian Branch),Elected
Diprose,Samuel William,DIPROSE,Sam,Norwood Payneham & St Peters,Ward Councillor,St Peters ward,6,No,,Not elected
Lee,Diane,LEE,Diane,Norwood Payneham & St Peters,Ward Councillor,St Peters ward,3,No,Liberal Democratic Party,Not elected
Moorhouse,Kester,MOORHOUSE,Kester,Norwood Payneham & St Peters,Ward Councillor,St Peters ward,5,Yes,,Elected
Phillis,Caroline Marie,PHILLIS,Carrie,Norwood Payneham & St Peters,Ward Councillor,St Peters ward,1,No,,Not elected
Tarca,Andrew,TARCA,Andrew,Norwood Payneham & St Peters,Ward Councillor,St Peters ward,2,No,,Not elected
Holfeld,Hugh Daniel,HOLFELD,Hugh Daniel,Norwood Payneham & St Peters,Ward Councillor,Torrens ward,2,No,,Elected
Knoblauch,Garry John,KNOBLAUCH,Garry John,Norwood Payneham & St Peters,Ward Councillor,Torrens ward,3,Yes,,Elected
Minney,Brian John,MINNEY,John,Norwood Payneham & St Peters,Ward Councillor,Torrens ward,1,Yes,,Not elected
Piggott,Grant,PIGGOTT,Grant,Norwood Payneham & St Peters,Ward Councillor,West Norwood/Kent Town ward,,No,,Elected unopposed
Whitington,Susan Margaret,WHITINGTON,Sue,Norwood Payneham & St Peters,Ward Councillor,West Norwood/Kent Town ward,,Yes,,Elected unopposed
De Jonge,Robert,DE JONGE,Rob,Onkaparinga,Mayor,,2,No,,Not elected
Francis,Janette Gail,FRANCIS,Janette Gail,Onkaparinga,Mayor,,5,No,,Not elected
Golding,Dan,GOLDING,Dan,Onkaparinga,Mayor,,7,No,,Not elected
Hann,Steven,HANN,Steven,Onkaparinga,Mayor,,3,No,,Not elected
Howell,Jeanette,HOWELL,Jeanette,Onkaparinga,Mayor,,1,No,,Not elected
Mcmahon,Simon,McMAHON,Simon,Onkaparinga,Mayor,,8,Yes,Liberal Party of Australia (SA Division),Not elected
Nielsen,Mark Rudy,NIELSEN,Mark,Onkaparinga,Mayor,,4,No,,Not elected
Were,Moira Therese,WERE,Moira,Onkaparinga,Mayor,,6,No,Australian Labor Party (South Australian Branch),Elected
Carter,Shane Raymond,CARTER,Shane,Onkaparinga,Ward Councillor,Knox ward,8,No,Liberal Party of Australia (SA Division),Not elected
Chalmers,Jacqueline,CHALMERS,Jacqueline,Onkaparinga,Ward Councillor,Knox ward,2,No,,Not elected
De Graaf,Alayna,DE GRAAF,Alayna,Onkaparinga,Ward Councillor,Knox ward,3,Yes,,Not elected
Greaves,Heidi Lee,GREAVES,Heidi,Onkaparinga,Ward Councillor,Knox ward,1,Yes,,Elected
James,Joyal,JAMES,Joyal,Onkaparinga,Ward Councillor,Knox ward,5,No,,Not elected
Schirmer,Katrina Ann,SCHIRMER,Katrina,Onkaparinga,Ward Councillor,Knox ward,7,No,,Not elected
Stafford,Colt Lancelot Forrest,STAFFORD,Colt,Onkaparinga,Ward Councillor,Knox ward,4,No,,Elected
Whan,David Malcolm,WHAN,David ,Onkaparinga,Ward Councillor,Knox ward,6,No,,Not elected
Barrott-Walsh,Callum,BARROTT-WALSH,Callum,Onkaparinga,Ward Councillor,Mid Coast ward,5,No,Australian Labor Party (South Australian Branch),Not elected
Bravington,Elijah James,BRAVINGTON,Elijah James,Onkaparinga,Ward Councillor,Mid Coast ward,7,No,,Not elected
Dibdin,Mark,DIBDIN,Mark,Onkaparinga,Ward Councillor,Mid Coast ward,1,No,Australian Labor Party (South Australian Branch),Not elected
Jackson,Russell,JACKSON,Russell,Onkaparinga,Ward Councillor,Mid Coast ward,3,No,,Not elected
Munro,Luke William,MUNRO,Luke ,Onkaparinga,Ward Councillor,Mid Coast ward,10,No,Liberal Party of Australia (SA Division),Not elected
Perrymeant,Amanda Megan,PERRYMEANT,Mandy,Onkaparinga,Ward Councillor,Mid Coast ward,2,No,,Not elected
Platten,Daniel Adam James,PLATTEN,Dan,Onkaparinga,Ward Councillor,Mid Coast ward,6,No,,Elected
Tonkin,Suzanne,TONKIN,Suzanne,Onkaparinga,Ward Councillor,Mid Coast ward,9,Yes,,Not elected
Walpole,Fergus,WALPOLE,Fergus,Onkaparinga,Ward Councillor,Mid Coast ward,8,No,,Not elected
Wilkes,Gretel,WILKES,Gretel,Onkaparinga,Ward Councillor,Mid Coast ward,4,No,,Elected
Brown,Sandra,BROWN,Sandra K,Onkaparinga,Ward Councillor,Pimpala ward,4,Yes,,Not elected
Fisher,Michael John,FISHER,Michael John,Onkaparinga,Ward Councillor,Pimpala ward,1,No,,Elected
Hocking,Debra,HOCKING,Debra,Onkaparinga,Ward Councillor,Pimpala ward,7,No,,Not elected
Howden,Belinda,HOWDEN,Belinda,Onkaparinga,Ward Councillor,Pimpala ward,3,No,,Not elected
O'Brien,Michael John,O'BRIEN,Michael,Onkaparinga,Ward Councillor,Pimpala ward,5,Yes,,Not elected
Powyer - Taylor,Daniel John Lae,POWYER-TAYLOR,Daniel John Lae,Onkaparinga,Ward Councillor,Pimpala ward,2,No,,Not elected
Rilett,Kevin,RILETT,Kevin,Onkaparinga,Ward Councillor,Pimpala ward,6,No,,Elected
Cook,Steven,COOK,Steven,Onkaparinga,Ward Councillor,South Coast ward,5,No,Pauline Hanson’s One Nation,Not elected
Hennigan,Daniel,HENNIGAN,Daniel James,Onkaparinga,Ward Councillor,South Coast ward,3,No,,Not elected
Lauren,Jew,JEW,Lauren,Onkaparinga,Ward Councillor,South Coast ward,9,No,,Elected
Kashyap,Victor,KASHYAP,Victor,Onkaparinga,Ward Councillor,South Coast ward,2,No,,Not elected
Lewis,Robin,LEWIS,Robin,Onkaparinga,Ward Councillor,South Coast ward,10,No,,Not elected
Reiter,Joshua Adam,REITER,Josh,Onkaparinga,Ward Councillor,South Coast ward,1,No,,Not elected
Rex,Beth Lorraine,REX,Beth,Onkaparinga,Ward Councillor,South Coast ward,8,No,,Not elected
Spence,Stephen,SPENCE,Stephen,Onkaparinga,Ward Councillor,South Coast ward,7,No,,Not elected
Weatherly,Sean Justin,WEATHERLY,Sean,Onkaparinga,Ward Councillor,South Coast ward,4,No,Australian Greens SA,Not elected
Yeomans,Paul Anthony,YEOMANS,Paul ,Onkaparinga,Ward Councillor,South Coast ward,6,No,,Elected
Baker,Colin Howden,BAKER,Colin,Onkaparinga,Ward Councillor,Southern Vales ward,6,No,,Not elected
Bell,Marisa,BELL,Marisa,Onkaparinga,Ward Councillor,Southern Vales ward,3,No,Australian Labor Party (South Australian Branch),Elected
Fossey,Matthew Peter,FOSSEY,Matthew,Onkaparinga,Ward Councillor,Southern Vales ward,5,No,,Not elected
Humphries,John Joseph,HUMPHRIES,John,Onkaparinga,Ward Councillor,Southern Vales ward,1,No,,Not elected
