source_table,breakdown,financial_year,category_1,category_2,column_category,count
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,United Kingdom,Total,,246
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,United Kingdom,Total,,301
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,Germany,Own drug use,,9
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,Germany,Own drug use,,5
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,Germany,Own drug use,,5
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,Germany,Own drug use,,3
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,Germany,Own drug use,,5
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,Germany,Own drug use,,7
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,Germany,Own drug use,,12
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,Germany,Own drug use,,19
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,Germany,Own drug use,,18
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,Germany,Own drug use,,22
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,Germany,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,Germany,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,Germany,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,Germany,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,Germany,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,Germany,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,Germany,Other's drug use,,5
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,Germany,Other's drug use,,3
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,Germany,Other's drug use,,2
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,Germany,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,Germany,Total,,9
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,Germany,Total,,5
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,Germany,Total,,5
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,Germany,Total,,3
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,Germany,Total,,5
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,Germany,Total,,7
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,Germany,Total,,17
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,Germany,Total,,22
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,Germany,Total,,20
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,Germany,Total,,22
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,Ireland,Own drug use,,15
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,Ireland,Own drug use,,9
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,Ireland,Own drug use,,8
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,Ireland,Own drug use,,10
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,Ireland,Own drug use,,10
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,Ireland,Own drug use,,14
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,Ireland,Own drug use,,22
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,Ireland,Own drug use,,21
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,Ireland,Own drug use,,44
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,Ireland,Own drug use,,25
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,Ireland,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,Ireland,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,Ireland,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,Ireland,Other's drug use,,1
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,Ireland,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,Ireland,Other's drug use,,1
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,Ireland,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,Ireland,Other's drug use,,4
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,Ireland,Other's drug use,,7
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,Ireland,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,Ireland,Total,,15
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,Ireland,Total,,9
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,Ireland,Total,,8
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,Ireland,Total,,11
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,Ireland,Total,,10
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,Ireland,Total,,15
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,Ireland,Total,,22
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,Ireland,Total,,25
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,Ireland,Total,,51
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,Ireland,Total,,25
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,USA,Own drug use,,16
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,USA,Own drug use,,18
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,USA,Own drug use,,25
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,USA,Own drug use,,16
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,USA,Own drug use,,18
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,USA,Own drug use,,16
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,USA,Own drug use,,11
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,USA,Own drug use,,17
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,USA,Own drug use,,23
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,USA,Own drug use,,11
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,USA,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,USA,Other's drug use,,1
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,USA,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,USA,Other's drug use,,1
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,USA,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2019–20,USA,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2018–19,USA,Other's drug use,,2
ST SA.3,"Closed treatment episodes, by country of birth and client type",2017–18,USA,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2016–17,USA,Other's drug use,,3
ST SA.3,"Closed treatment episodes, by country of birth and client type",2015–16,USA,Other's drug use,,0
ST SA.3,"Closed treatment episodes, by country of birth and client type",2024–25,USA,Total,,16
ST SA.3,"Closed treatment episodes, by country of birth and client type",2023–24,USA,Total,,19
ST SA.3,"Closed treatment episodes, by country of birth and client type",2022–23,USA,Total,,25
ST SA.3,"Closed treatment episodes, by country of birth and client type",2021–22,USA,Total,,17
ST SA.3,"Closed treatment episodes, by country of birth and client type",2020–21,USA,Total,,18
