reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
2005-Q2,Employees Involved,Negotiation without intervention of a third party,,000,A2540936K,3
2005-Q2,Employees Involved,State legislation,,000,A2540942F,1.9
2005-Q2,Employees Involved,Federal legislation,,000,A2540939T,1.4
2005-Q2,Employees Involved,Pre-determined return to work,,000,A2540951J,13
2005-Q2,Employees Involved,Resumption without negotiation,,000,A2540933C,14.4
2005-Q2,Employees Involved,Mediation,,000,A2540927J,2
2005-Q2,Employees Involved,Total Reasons,,000,A2540945L,35.8
2005-Q2,Working days Lost,Negotiation without intervention of a third party,,000,A2540937L,10.3
2005-Q2,Working days Lost,State legislation,,000,A2540943J,2.4
2005-Q2,Working days Lost,Federal legislation,,000,A2540940A,1.7
2005-Q2,Working days Lost,Pre-determined return to work,,000,A2540952K,20.6
2005-Q2,Working days Lost,Resumption without negotiation,,000,A2540934F,7.9
2005-Q2,Working days Lost,Mediation,,000,A2540928K,3.1
2005-Q2,Working days Lost,Total Reasons,,000,A2540946R,46
2005-Q3,Number of Disputes,Negotiation without intervention of a third party,,Number,A2540935J,35
2005-Q3,Number of Disputes,State legislation,,Number,A2540941C,10
2005-Q3,Number of Disputes,Federal legislation,,Number,A2540938R,16
2005-Q3,Number of Disputes,Pre-determined return to work,,Number,A2540950F,25
2005-Q3,Number of Disputes,Resumption without negotiation,,Number,A2540932A,40
2005-Q3,Number of Disputes,Mediation,,Number,A2540926F,9
2005-Q3,Number of Disputes,Other reasons,,Number,A2540929L,3
2005-Q3,Number of Disputes,Total Reasons,,Number,A2540944K,138
2005-Q3,Employees Involved,Negotiation without intervention of a third party,,000,A2540936K,5
2005-Q3,Employees Involved,State legislation,,000,A2540942F,1.3
2005-Q3,Employees Involved,Federal legislation,,000,A2540939T,3.3
2005-Q3,Employees Involved,Pre-determined return to work,,000,A2540951J,3
2005-Q3,Employees Involved,Resumption without negotiation,,000,A2540933C,75.6
2005-Q3,Employees Involved,Mediation,,000,A2540927J,0.7
2005-Q3,Employees Involved,Other reasons,,000,A2540930W,0.2
2005-Q3,Employees Involved,Total Reasons,,000,A2540945L,89.1
2005-Q3,Working days Lost,Negotiation without intervention of a third party,,000,A2540937L,5.9
2005-Q3,Working days Lost,State legislation,,000,A2540943J,2.7
2005-Q3,Working days Lost,Federal legislation,,000,A2540940A,7.3
2005-Q3,Working days Lost,Pre-determined return to work,,000,A2540952K,3.4
2005-Q3,Working days Lost,Resumption without negotiation,,000,A2540934F,39.8
2005-Q3,Working days Lost,Mediation,,000,A2540928K,1.5
2005-Q3,Working days Lost,Other reasons,,000,A2540931X,0.2
2005-Q3,Working days Lost,Total Reasons,,000,A2540946R,60.7
2005-Q4,Number of Disputes,Negotiation without intervention of a third party,,Number,A2540935J,18
2005-Q4,Number of Disputes,State legislation,,Number,A2540941C,9
2005-Q4,Number of Disputes,Federal legislation,,Number,A2540938R,15
2005-Q4,Number of Disputes,Pre-determined return to work,,Number,A2540950F,18
2005-Q4,Number of Disputes,Resumption without negotiation,,Number,A2540932A,25
2005-Q4,Number of Disputes,Total Reasons,,Number,A2540944K,94
2005-Q4,Employees Involved,Negotiation without intervention of a third party,,000,A2540936K,3.2
2005-Q4,Employees Involved,State legislation,,000,A2540942F,0.9
2005-Q4,Employees Involved,Federal legislation,,000,A2540939T,2
2005-Q4,Employees Involved,Pre-determined return to work,,000,A2540951J,5.2
2005-Q4,Employees Involved,Resumption without negotiation,,000,A2540933C,90.7
2005-Q4,Employees Involved,Mediation,,000,A2540927J,1.7
2005-Q4,Employees Involved,Other reasons,,000,A2540930W,0.2
2005-Q4,Employees Involved,Total Reasons,,000,A2540945L,103.8
2005-Q4,Working days Lost,Negotiation without intervention of a third party,,000,A2540937L,4.3
2005-Q4,Working days Lost,State legislation,,000,A2540943J,1.2
2005-Q4,Working days Lost,Federal legislation,,000,A2540940A,10.1
2005-Q4,Working days Lost,Pre-determined return to work,,000,A2540952K,5
2005-Q4,Working days Lost,Resumption without negotiation,,000,A2540934F,58.5
2005-Q4,Working days Lost,Mediation,,000,A2540928K,3.7
2005-Q4,Working days Lost,Other reasons,,000,A2540931X,0.1
2005-Q4,Working days Lost,Total Reasons,,000,A2540946R,82.8
2006-Q1,Number of Disputes,Negotiation without intervention of a third party,,Number,A2540935J,22
2006-Q1,Number of Disputes,State legislation,,Number,A2540941C,13
2006-Q1,Number of Disputes,Federal legislation,,Number,A2540938R,15
2006-Q1,Number of Disputes,Pre-determined return to work,,Number,A2540950F,12
2006-Q1,Number of Disputes,Resumption without negotiation,,Number,A2540932A,30
2006-Q1,Number of Disputes,Mediation,,Number,A2540926F,8
2006-Q1,Number of Disputes,Total Reasons,,Number,A2540944K,100
2006-Q1,Employees Involved,Negotiation without intervention of a third party,,000,A2540936K,2.1
2006-Q1,Employees Involved,State legislation,,000,A2540942F,1.4
2006-Q1,Employees Involved,Federal legislation,,000,A2540939T,2.1
2006-Q1,Employees Involved,Pre-determined return to work,,000,A2540951J,2.3
2006-Q1,Employees Involved,Resumption without negotiation,,000,A2540933C,10.2
2006-Q1,Employees Involved,Mediation,,000,A2540927J,0.8
2006-Q1,Employees Involved,Total Reasons,,000,A2540945L,19
2006-Q1,Working days Lost,Negotiation without intervention of a third party,,000,A2540937L,6.6
2006-Q1,Working days Lost,State legislation,,000,A2540943J,1.1
2006-Q1,Working days Lost,Federal legislation,,000,A2540940A,3
2006-Q1,Working days Lost,Pre-determined return to work,,000,A2540952K,2.4
2006-Q1,Working days Lost,Resumption without negotiation,,000,A2540934F,21.5
2006-Q1,Working days Lost,Mediation,,000,A2540928K,0.8
2006-Q1,Working days Lost,Total Reasons,,000,A2540946R,35.4
2006-Q2,Number of Disputes,Negotiation without intervention of a third party,,Number,A2540935J,3
2006-Q2,Number of Disputes,Federal legislation,,Number,A2540938R,5
2006-Q2,Number of Disputes,Resumption without negotiation,,Number,A2540932A,8
2006-Q2,Number of Disputes,Total Reasons,,Number,A2540944K,20
2006-Q2,Employees Involved,Negotiation without intervention of a third party,,000,A2540936K,0.2
2006-Q2,Employees Involved,Federal legislation,,000,A2540939T,0.5
2006-Q2,Employees Involved,Pre-determined return to work,,000,A2540951J,0.1
2006-Q2,Employees Involved,Resumption without negotiation,,000,A2540933C,34.4
2006-Q2,Employees Involved,Mediation,,000,A2540927J,5.3
2006-Q2,Employees Involved,Total Reasons,,000,A2540945L,40.5
2006-Q2,Working days Lost,Negotiation without intervention of a third party,,000,A2540937L,0.2
2006-Q2,Working days Lost,Federal legislation,,000,A2540940A,0.6
2006-Q2,Working days Lost,Pre-determined return to work,,000,A2540952K,0.1
2006-Q2,Working days Lost,Resumption without negotiation,,000,A2540934F,24.3
2006-Q2,Working days Lost,Mediation,,000,A2540928K,5.8
2006-Q2,Working days Lost,Total Reasons,,000,A2540946R,30.9
2006-Q3,Number of Disputes,Negotiation without intervention of a third party,,Number,A2540935J,5
2006-Q3,Number of Disputes,Federal legislation,,Number,A2540938R,5
2006-Q3,Number of Disputes,Pre-determined return to work,,Number,A2540950F,12
2006-Q3,Number of Disputes,Mediation,,Number,A2540926F,7
2006-Q3,Number of Disputes,Total Reasons,,Number,A2540944K,34
2006-Q3,Employees Involved,Negotiation without intervention of a third party,,000,A2540936K,1
2006-Q3,Employees Involved,Federal legislation,,000,A2540939T,1.2
2006-Q3,Employees Involved,Pre-determined return to work,,000,A2540951J,2.9
2006-Q3,Employees Involved,Resumption without negotiation,,000,A2540933C,0.5
2006-Q3,Employees Involved,Mediation,,000,A2540927J,1.1
2006-Q3,Employees Involved,Total Reasons,,000,A2540945L,6.6
2006-Q3,Working days Lost,Negotiation without intervention of a third party,,000,A2540937L,3.8
2006-Q3,Working days Lost,Federal legislation,,000,A2540940A,2.4
2006-Q3,Working days Lost,Pre-determined return to work,,000,A2540952K,6.2
2006-Q3,Working days Lost,Resumption without negotiation,,000,A2540934F,0.4
2006-Q3,Working days Lost,Mediation,,000,A2540928K,5.3
2006-Q3,Working days Lost,Total Reasons,,000,A2540946R,18.1
2006-Q4,Number of Disputes,Negotiation without intervention of a third party,,Number,A2540935J,11
2006-Q4,Number of Disputes,State legislation,,Number,A2540941C,5
2006-Q4,Number of Disputes,Federal legislation,,Number,A2540938R,4
2006-Q4,Number of Disputes,Pre-determined return to work,,Number,A2540950F,11
2006-Q4,Number of Disputes,Resumption without negotiation,,Number,A2540932A,10
2006-Q4,Number of Disputes,Mediation,,Number,A2540926F,8
2006-Q4,Number of Disputes,Total Reasons,,Number,A2540944K,49
2006-Q4,Employees Involved,Negotiation without intervention of a third party,,000,A2540936K,0.6
2006-Q4,Employees Involved,State legislation,,000,A2540942F,0.3
2006-Q4,Employees Involved,Federal legislation,,000,A2540939T,0.3
2006-Q4,Employees Involved,Pre-determined return to work,,000,A2540951J,2.5
2006-Q4,Employees Involved,Resumption without negotiation,,000,A2540933C,57.3
2006-Q4,Employees Involved,Mediation,,000,A2540927J,1
2006-Q4,Employees Involved,Total Reasons,,000,A2540945L,61.9
2006-Q4,Working days Lost,Negotiation without intervention of a third party,,000,A2540937L,2.1
2006-Q4,Working days Lost,State legislation,,000,A2540943J,0.4
2006-Q4,Working days Lost,Federal legislation,,000,A2540940A,0.8
2006-Q4,Working days Lost,Pre-determined return to work,,000,A2540952K,2.6
2006-Q4,Working days Lost,Resumption without negotiation,,000,A2540934F,45.8
2006-Q4,Working days Lost,Mediation,,000,A2540928K,4.3
2006-Q4,Working days Lost,Total Reasons,,000,A2540946R,56
2007-Q1,Number of Disputes,Negotiation without intervention of a third party,,Number,A2540935J,4
2007-Q1,Number of Disputes,State legislation,,Number,A2540941C,3
2007-Q1,Number of Disputes,Federal legislation,,Number,A2540938R,3
2007-Q1,Number of Disputes,Pre-determined return to work,,Number,A2540950F,10
2007-Q1,Number of Disputes,Resumption without negotiation,,Number,A2540932A,5
2007-Q1,Number of Disputes,Total Reasons,,Number,A2540944K,28
2007-Q1,Employees Involved,Negotiation without intervention of a third party,,000,A2540936K,0.2
2007-Q1,Employees Involved,State legislation,,000,A2540942F,0.2
2007-Q1,Employees Involved,Federal legislation,,000,A2540939T,0.4
2007-Q1,Employees Involved,Pre-determined return to work,,000,A2540951J,1.5
2007-Q1,Employees Involved,Resumption without negotiation,,000,A2540933C,0.1
2007-Q1,Employees Involved,Total Reasons,,000,A2540945L,2.6
2007-Q1,Working days Lost,Negotiation without intervention of a third party,,000,A2540937L,0.3
2007-Q1,Working days Lost,State legislation,,000,A2540943J,0.2
2007-Q1,Working days Lost,Federal legislation,,000,A2540940A,0.3
2007-Q1,Working days Lost,Pre-determined return to work,,000,A2540952K,0.8
2007-Q1,Working days Lost,Resumption without negotiation,,000,A2540934F,0.2
2007-Q1,Working days Lost,Other reasons,,000,A2540931X,3.8
2007-Q1,Working days Lost,Total Reasons,,000,A2540946R,5.6
2007-Q2,Number of Disputes,Negotiation without intervention of a third party,,Number,A2540935J,4
2007-Q2,Number of Disputes,Federal legislation,,Number,A2540938R,4
2007-Q2,Number of Disputes,Pre-determined return to work,,Number,A2540950F,11
2007-Q2,Number of Disputes,Resumption without negotiation,,Number,A2540932A,6
2007-Q2,Number of Disputes,Total Reasons,,Number,A2540944K,28
2007-Q2,Employees Involved,Negotiation without intervention of a third party,,000,A2540936K,0.2
2007-Q2,Employees Involved,Federal legislation,,000,A2540939T,0.9
2007-Q2,Employees Involved,Pre-determined return to work,,000,A2540951J,1.6
2007-Q2,Employees Involved,Resumption without negotiation,,000,A2540933C,0.8
2007-Q2,Employees Involved,Mediation,,000,A2540927J,0.3
2007-Q2,Employees Involved,Total Reasons,,000,A2540945L,3.7
2007-Q2,Working days Lost,Negotiation without intervention of a third party,,000,A2540937L,1
2007-Q2,Working days Lost,State legislation,,000,A2540943J,0.1
2007-Q2,Working days Lost,Federal legislation,,000,A2540940A,1
2007-Q2,Working days Lost,Pre-determined return to work,,000,A2540952K,6.8
