table,table_title,reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
01,"National quarterly disputes, employees involved and working days lost",1989-Q2,Working days Lost,12 months ended,Dispute total,000,A2540831R,1284.8
01,"National quarterly disputes, employees involved and working days lost",1989-Q3,Number of Disputes,Quarter,Dispute new,Number,A2540832T,341
01,"National quarterly disputes, employees involved and working days lost",1989-Q3,Number of Disputes,Quarter,Dispute total,Number,A2540826W,363
01,"National quarterly disputes, employees involved and working days lost",1989-Q3,Employees Involved,Quarter,Dispute new,000,A2540833V,319.8
01,"National quarterly disputes, employees involved and working days lost",1989-Q3,Employees Involved,Quarter,Dispute total,000,A2540827X,334.9
01,"National quarterly disputes, employees involved and working days lost",1989-Q3,Working days Lost,Quarter,Dispute total,000,A2540828A,475
01,"National quarterly disputes, employees involved and working days lost",1989-Q3,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1450
01,"National quarterly disputes, employees involved and working days lost",1989-Q3,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1462
01,"National quarterly disputes, employees involved and working days lost",1989-Q3,Employees Involved,12 months ended,Dispute new,000,A2540836A,655.9
01,"National quarterly disputes, employees involved and working days lost",1989-Q3,Employees Involved,12 months ended,Dispute total,000,A2540830L,660.5
01,"National quarterly disputes, employees involved and working days lost",1989-Q3,Working days Lost,12 months ended,Dispute total,000,A2540831R,1219.5
01,"National quarterly disputes, employees involved and working days lost",1989-Q4,Number of Disputes,Quarter,Dispute new,Number,A2540832T,301
01,"National quarterly disputes, employees involved and working days lost",1989-Q4,Number of Disputes,Quarter,Dispute total,Number,A2540826W,309
01,"National quarterly disputes, employees involved and working days lost",1989-Q4,Employees Involved,Quarter,Dispute new,000,A2540833V,154.1
01,"National quarterly disputes, employees involved and working days lost",1989-Q4,Employees Involved,Quarter,Dispute total,000,A2540827X,157
01,"National quarterly disputes, employees involved and working days lost",1989-Q4,Working days Lost,Quarter,Dispute total,000,A2540828A,243.6
01,"National quarterly disputes, employees involved and working days lost",1989-Q4,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1391
01,"National quarterly disputes, employees involved and working days lost",1989-Q4,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1402
01,"National quarterly disputes, employees involved and working days lost",1989-Q4,Employees Involved,12 months ended,Dispute new,000,A2540836A,706.4
01,"National quarterly disputes, employees involved and working days lost",1989-Q4,Employees Involved,12 months ended,Dispute total,000,A2540830L,709.8
01,"National quarterly disputes, employees involved and working days lost",1989-Q4,Working days Lost,12 months ended,Dispute total,000,A2540831R,1202.4
01,"National quarterly disputes, employees involved and working days lost",1990-Q1,Number of Disputes,Quarter,Dispute new,Number,A2540832T,290
01,"National quarterly disputes, employees involved and working days lost",1990-Q1,Number of Disputes,Quarter,Dispute total,Number,A2540826W,294
01,"National quarterly disputes, employees involved and working days lost",1990-Q1,Employees Involved,Quarter,Dispute new,000,A2540833V,80.6
01,"National quarterly disputes, employees involved and working days lost",1990-Q1,Employees Involved,Quarter,Dispute total,000,A2540827X,84.6
01,"National quarterly disputes, employees involved and working days lost",1990-Q1,Working days Lost,Quarter,Dispute total,000,A2540828A,162
01,"National quarterly disputes, employees involved and working days lost",1990-Q1,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1307
01,"National quarterly disputes, employees involved and working days lost",1990-Q1,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1319
01,"National quarterly disputes, employees involved and working days lost",1990-Q1,Employees Involved,12 months ended,Dispute new,000,A2540836A,700.3
01,"National quarterly disputes, employees involved and working days lost",1990-Q1,Employees Involved,12 months ended,Dispute total,000,A2540830L,703.7
01,"National quarterly disputes, employees involved and working days lost",1990-Q1,Working days Lost,12 months ended,Dispute total,000,A2540831R,1194.2
01,"National quarterly disputes, employees involved and working days lost",1990-Q2,Number of Disputes,Quarter,Dispute new,Number,A2540832T,290
01,"National quarterly disputes, employees involved and working days lost",1990-Q2,Number of Disputes,Quarter,Dispute total,Number,A2540826W,295
01,"National quarterly disputes, employees involved and working days lost",1990-Q2,Employees Involved,Quarter,Dispute new,000,A2540833V,207.6
01,"National quarterly disputes, employees involved and working days lost",1990-Q2,Employees Involved,Quarter,Dispute total,000,A2540827X,208.3
01,"National quarterly disputes, employees involved and working days lost",1990-Q2,Working days Lost,Quarter,Dispute total,000,A2540828A,301.1
01,"National quarterly disputes, employees involved and working days lost",1990-Q2,Number of Disputes,12 months ended,Dispute new,Number,A2540835X,1222
01,"National quarterly disputes, employees involved and working days lost",1990-Q2,Number of Disputes,12 months ended,Dispute total,Number,A2540829C,1245
01,"National quarterly disputes, employees involved and working days lost",1990-Q2,Employees Involved,12 months ended,Dispute new,000,A2540836A,762.1
01,"National quarterly disputes, employees involved and working days lost",1990-Q2,Employees Involved,12 months ended,Dispute total,000,A2540830L,777.2
