reference_quarter,measure,breakdown_1,breakdown_2,unit,series_id,value
2007-Q4,Number of Disputes,Up to and including 1 day,,Number,A2540953L,21
2007-Q4,Number of Disputes,Over 1 day and up to including 2 days,,Number,A2540965W,8
2007-Q4,Number of Disputes,Over 2 and less than 5 days,,Number,A2540956V,2
2007-Q4,Number of Disputes,5 and less than 10 days,,Number,A2540968C,1
2007-Q4,Number of Disputes,10 days and over,,Number,A2540959A,1
2007-Q4,Number of Disputes,Total (Av working days lost per employee),,Number,A2540962R,33
2007-Q4,Employees Involved,Up to and including 1 day,,000,A2540954R,21.2
2007-Q4,Employees Involved,Over 1 day and up to including 2 days,,000,A2540966X,1
2007-Q4,Employees Involved,Over 2 and less than 5 days,,000,A2540957W,0.2
2007-Q4,Employees Involved,5 and less than 10 days,,000,A2540969F,0.1
2007-Q4,Employees Involved,Total (Av working days lost per employee),,000,A2540963T,22.5
2007-Q4,Working days Lost,Up to and including 1 day,,000,A2540955T,19.5
2007-Q4,Working days Lost,Over 1 day and up to including 2 days,,000,A2540967A,1.8
2007-Q4,Working days Lost,Over 2 and less than 5 days,,000,A2540958X,0.4
2007-Q4,Working days Lost,5 and less than 10 days,,000,A2540970R,0.6
2007-Q4,Working days Lost,10 days and over,,000,A2540961L,1.4
2007-Q4,Working days Lost,Total (Av working days lost per employee),,000,A2540964V,23.7
2008-Q1,Number of Disputes,Up to and including 1 day,,Number,A2540953L,25
2008-Q1,Number of Disputes,Over 1 day and up to including 2 days,,Number,A2540965W,4
2008-Q1,Number of Disputes,Over 2 and less than 5 days,,Number,A2540956V,2
2008-Q1,Number of Disputes,Total (Av working days lost per employee),,Number,A2540962R,31
2008-Q1,Employees Involved,Up to and including 1 day,,000,A2540954R,20.5
2008-Q1,Employees Involved,Over 1 day and up to including 2 days,,000,A2540966X,1.3
2008-Q1,Employees Involved,Over 2 and less than 5 days,,000,A2540957W,0.3
2008-Q1,Employees Involved,Total (Av working days lost per employee),,000,A2540963T,22.2
2008-Q1,Working days Lost,Up to and including 1 day,,000,A2540955T,14.9
2008-Q1,Working days Lost,Over 1 day and up to including 2 days,,000,A2540967A,2.4
2008-Q1,Working days Lost,Over 2 and less than 5 days,,000,A2540958X,1.3
2008-Q1,Working days Lost,Total (Av working days lost per employee),,000,A2540964V,18.6
2008-Q2,Number of Disputes,Up to and including 1 day,,Number,A2540953L,35
2008-Q2,Number of Disputes,Over 1 day and up to including 2 days,,Number,A2540965W,10
2008-Q2,Number of Disputes,Over 2 and less than 5 days,,Number,A2540956V,5
2008-Q2,Number of Disputes,5 and less than 10 days,,Number,A2540968C,1
2008-Q2,Number of Disputes,10 days and over,,Number,A2540959A,1
2008-Q2,Number of Disputes,Total (Av working days lost per employee),,Number,A2540962R,52
2008-Q2,Employees Involved,Up to and including 1 day,,000,A2540954R,5.1
2008-Q2,Employees Involved,Over 1 day and up to including 2 days,,000,A2540966X,20.4
2008-Q2,Employees Involved,Over 2 and less than 5 days,,000,A2540957W,0.2
2008-Q2,Employees Involved,5 and less than 10 days,,000,A2540969F,0.2
2008-Q2,Employees Involved,10 days and over,,000,A2540960K,0.7
2008-Q2,Employees Involved,Total (Av working days lost per employee),,000,A2540963T,26.5
2008-Q2,Working days Lost,Up to and including 1 day,,000,A2540955T,3
2008-Q2,Working days Lost,Over 1 day and up to including 2 days,,000,A2540967A,30.1
2008-Q2,Working days Lost,Over 2 and less than 5 days,,000,A2540958X,0.7
2008-Q2,Working days Lost,5 and less than 10 days,,000,A2540970R,0.8
2008-Q2,Working days Lost,10 days and over,,000,A2540961L,8.8
