date,state_code,state_name,registration_type,sex,registrations
2007-08-01,NT,Northern Territory,Consent,Total,5929
2007-08-01,QLD,Queensland,Consent,Total,210764
2007-08-01,SA,South Australia,Consent,Total,92993
2007-08-01,TAS,Tasmania,Consent,Total,24996
2007-08-01,VIC,Victoria,Consent,Total,233122
2007-08-01,WA,Western Australia,Consent,Total,146701
2007-08-01,ACT,Australian Capital Territory,Intent,Female,15295
2007-08-01,NSW,New South Wales,Intent,Female,1027038
2007-08-01,NT,Northern Territory,Intent,Female,5124
2007-08-01,QLD,Queensland,Intent,Female,314380
2007-08-01,SA,South Australia,Intent,Female,273353
2007-08-01,TAS,Tasmania,Intent,Female,79317
2007-08-01,VIC,Victoria,Intent,Female,268178
2007-08-01,WA,Western Australia,Intent,Female,253010
2007-08-01,ACT,Australian Capital Territory,Intent,Male,11213
2007-08-01,NSW,New South Wales,Intent,Male,1057665
2007-08-01,NT,Northern Territory,Intent,Male,3674
2007-08-01,QLD,Queensland,Intent,Male,334142
2007-08-01,SA,South Australia,Intent,Male,275901
2007-08-01,TAS,Tasmania,Intent,Male,77983
2007-08-01,VIC,Victoria,Intent,Male,194671
2007-08-01,WA,Western Australia,Intent,Male,244272
2007-08-01,ACT,Australian Capital Territory,Intent,Total,26509
2007-08-01,NSW,New South Wales,Intent,Total,2084737
2007-08-01,NT,Northern Territory,Intent,Total,8800
2007-08-01,QLD,Queensland,Intent,Total,648524
2007-08-01,SA,South Australia,Intent,Total,549740
2007-08-01,TAS,Tasmania,Intent,Total,157300
2007-08-01,VIC,Victoria,Intent,Total,466834
2007-08-01,WA,Western Australia,Intent,Total,498651
2007-09-01,ACT,Australian Capital Territory,Consent,Female,10572
2007-09-01,NSW,New South Wales,Consent,Female,148160
2007-09-01,NT,Northern Territory,Consent,Female,4654
2007-09-01,QLD,Queensland,Consent,Female,122708
2007-09-01,SA,South Australia,Consent,Female,52397
2007-09-01,TAS,Tasmania,Consent,Female,14189
2007-09-01,VIC,Victoria,Consent,Female,143193
2007-09-01,WA,Western Australia,Consent,Female,86733
2007-09-01,ACT,Australian Capital Territory,Consent,Male,6922
2007-09-01,NSW,New South Wales,Consent,Male,105216
2007-09-01,NT,Northern Territory,Consent,Male,2754
2007-09-01,QLD,Queensland,Consent,Male,84369
2007-09-01,SA,South Australia,Consent,Male,38306
2007-09-01,TAS,Tasmania,Consent,Male,9369
2007-09-01,VIC,Victoria,Consent,Male,94992
2007-09-01,WA,Western Australia,Consent,Male,57474
2007-09-01,ACT,Australian Capital Territory,Consent,Total,17494.00
2007-09-01,NSW,New South Wales,Consent,Total,253376.00
2007-09-01,NT,Northern Territory,Consent,Total,7408.00
2007-09-01,QLD,Queensland,Consent,Total,207077.00
2007-09-01,SA,South Australia,Consent,Total,90703.00
2007-09-01,TAS,Tasmania,Consent,Total,23558.00
2007-09-01,VIC,Victoria,Consent,Total,238185.00
2007-09-01,WA,Western Australia,Consent,Total,144207.00
2007-09-01,ACT,Australian Capital Territory,Intent,Female,15428
2007-09-01,NSW,New South Wales,Intent,Female,1029561
2007-09-01,NT,Northern Territory,Intent,Female,5920
2007-09-01,QLD,Queensland,Intent,Female,311523
