table,table_title,reference_month,geography_level,geography,dwelling_type,series_type,unit,series_id,value
07,Total number of dwelling units approved - states and territories,1984-03,state,New South Wales,,Seasonally Adjusted,Number,A422172W,3493
07,Total number of dwelling units approved - states and territories,1984-03,state,Victoria,,Seasonally Adjusted,Number,A422272F,3218
07,Total number of dwelling units approved - states and territories,1984-03,state,Queensland,,Seasonally Adjusted,Number,A422372R,3550
07,Total number of dwelling units approved - states and territories,1984-03,state,South Australia,,Seasonally Adjusted,Number,A422472X,1446
07,Total number of dwelling units approved - states and territories,1984-03,state,Western Australia,,Seasonally Adjusted,Number,A422572J,1528
07,Total number of dwelling units approved - states and territories,1984-03,state,Tasmania,,Seasonally Adjusted,Number,A422672T,337
07,Total number of dwelling units approved - states and territories,1984-03,state,New South Wales,,Trend,Number,A422174A,3635
07,Total number of dwelling units approved - states and territories,1984-03,state,Victoria,,Trend,Number,A422274K,3172
07,Total number of dwelling units approved - states and territories,1984-03,state,Queensland,,Trend,Number,A422374V,3103
07,Total number of dwelling units approved - states and territories,1984-03,state,South Australia,,Trend,Number,A422474C,1296
07,Total number of dwelling units approved - states and territories,1984-03,state,Western Australia,,Trend,Number,A422574L,1491
07,Total number of dwelling units approved - states and territories,1984-03,state,Tasmania,,Trend,Number,A422675X,332
07,Total number of dwelling units approved - states and territories,1984-03,state,Northern Territory,,Trend,Number,A422775J,247
07,Total number of dwelling units approved - states and territories,1984-03,state,Australian Capital Territory,,Trend,Number,A422872K,246
07,Total number of dwelling units approved - states and territories,1984-04,state,New South Wales,,Original,Number,A422166A,3130
07,Total number of dwelling units approved - states and territories,1984-04,state,Victoria,,Original,Number,A422266K,2939
07,Total number of dwelling units approved - states and territories,1984-04,state,Queensland,,Original,Number,A422366V,2491
07,Total number of dwelling units approved - states and territories,1984-04,state,South Australia,,Original,Number,A422466C,1467
07,Total number of dwelling units approved - states and territories,1984-04,state,Western Australia,,Original,Number,A422566L,1346
07,Total number of dwelling units approved - states and territories,1984-04,state,Tasmania,,Original,Number,A422666W,345
07,Total number of dwelling units approved - states and territories,1984-04,state,Northern Territory,,Original,Number,A422766F,245
07,Total number of dwelling units approved - states and territories,1984-04,state,Australian Capital Territory,,Original,Number,A422863J,203
07,Total number of dwelling units approved - states and territories,1984-04,state,New South Wales,,Seasonally Adjusted,Number,A422172W,3424
07,Total number of dwelling units approved - states and territories,1984-04,state,Victoria,,Seasonally Adjusted,Number,A422272F,3339
07,Total number of dwelling units approved - states and territories,1984-04,state,Queensland,,Seasonally Adjusted,Number,A422372R,2864
07,Total number of dwelling units approved - states and territories,1984-04,state,South Australia,,Seasonally Adjusted,Number,A422472X,1470
07,Total number of dwelling units approved - states and territories,1984-04,state,Western Australia,,Seasonally Adjusted,Number,A422572J,1537
07,Total number of dwelling units approved - states and territories,1984-04,state,Tasmania,,Seasonally Adjusted,Number,A422672T,366
07,Total number of dwelling units approved - states and territories,1984-04,state,New South Wales,,Trend,Number,A422174A,3557
07,Total number of dwelling units approved - states and territories,1984-04,state,Victoria,,Trend,Number,A422274K,3326
07,Total number of dwelling units approved - states and territories,1984-04,state,Queensland,,Trend,Number,A422374V,3100
07,Total number of dwelling units approved - states and territories,1984-04,state,South Australia,,Trend,Number,A422474C,1323
07,Total number of dwelling units approved - states and territories,1984-04,state,Western Australia,,Trend,Number,A422574L,1580
07,Total number of dwelling units approved - states and territories,1984-04,state,Tasmania,,Trend,Number,A422675X,346
07,Total number of dwelling units approved - states and territories,1984-04,state,Northern Territory,,Trend,Number,A422775J,254
07,Total number of dwelling units approved - states and territories,1984-04,state,Australian Capital Territory,,Trend,Number,A422872K,263
07,Total number of dwelling units approved - states and territories,1984-05,state,New South Wales,,Original,Number,A422166A,4228
07,Total number of dwelling units approved - states and territories,1984-05,state,Victoria,,Original,Number,A422266K,4132
07,Total number of dwelling units approved - states and territories,1984-05,state,Queensland,,Original,Number,A422366V,3225
07,Total number of dwelling units approved - states and territories,1984-05,state,South Australia,,Original,Number,A422466C,1382
07,Total number of dwelling units approved - states and territories,1984-05,state,Western Australia,,Original,Number,A422566L,2079
07,Total number of dwelling units approved - states and territories,1984-05,state,Tasmania,,Original,Number,A422666W,330
07,Total number of dwelling units approved - states and territories,1984-05,state,Northern Territory,,Original,Number,A422766F,263
07,Total number of dwelling units approved - states and territories,1984-05,state,Australian Capital Territory,,Original,Number,A422863J,307
07,Total number of dwelling units approved - states and territories,1984-05,state,New South Wales,,Seasonally Adjusted,Number,A422172W,3864
07,Total number of dwelling units approved - states and territories,1984-05,state,Victoria,,Seasonally Adjusted,Number,A422272F,3552
07,Total number of dwelling units approved - states and territories,1984-05,state,Queensland,,Seasonally Adjusted,Number,A422372R,2996
07,Total number of dwelling units approved - states and territories,1984-05,state,South Australia,,Seasonally Adjusted,Number,A422472X,1277
07,Total number of dwelling units approved - states and territories,1984-05,state,Western Australia,,Seasonally Adjusted,Number,A422572J,1694
07,Total number of dwelling units approved - states and territories,1984-05,state,Tasmania,,Seasonally Adjusted,Number,A422672T,313
07,Total number of dwelling units approved - states and territories,1984-05,state,New South Wales,,Trend,Number,A422174A,3487
07,Total number of dwelling units approved - states and territories,1984-05,state,Victoria,,Trend,Number,A422274K,3470
07,Total number of dwelling units approved - states and territories,1984-05,state,Queensland,,Trend,Number,A422374V,3020
07,Total number of dwelling units approved - states and territories,1984-05,state,South Australia,,Trend,Number,A422474C,1307
07,Total number of dwelling units approved - states and territories,1984-05,state,Western Australia,,Trend,Number,A422574L,1664
07,Total number of dwelling units approved - states and territories,1984-05,state,Tasmania,,Trend,Number,A422675X,357
07,Total number of dwelling units approved - states and territories,1984-05,state,Northern Territory,,Trend,Number,A422775J,257
07,Total number of dwelling units approved - states and territories,1984-05,state,Australian Capital Territory,,Trend,Number,A422872K,268
07,Total number of dwelling units approved - states and territories,1984-06,state,New South Wales,,Original,Number,A422166A,3294
07,Total number of dwelling units approved - states and territories,1984-06,state,Victoria,,Original,Number,A422266K,3340
07,Total number of dwelling units approved - states and territories,1984-06,state,Queensland,,Original,Number,A422366V,2692
07,Total number of dwelling units approved - states and territories,1984-06,state,South Australia,,Original,Number,A422466C,1115
07,Total number of dwelling units approved - states and territories,1984-06,state,Western Australia,,Original,Number,A422566L,1797
07,Total number of dwelling units approved - states and territories,1984-06,state,Tasmania,,Original,Number,A422666W,454
07,Total number of dwelling units approved - states and territories,1984-06,state,Northern Territory,,Original,Number,A422766F,240
07,Total number of dwelling units approved - states and territories,1984-06,state,Australian Capital Territory,,Original,Number,A422863J,345
07,Total number of dwelling units approved - states and territories,1984-06,state,New South Wales,,Seasonally Adjusted,Number,A422172W,3232
07,Total number of dwelling units approved - states and territories,1984-06,state,Victoria,,Seasonally Adjusted,Number,A422272F,3419
07,Total number of dwelling units approved - states and territories,1984-06,state,Queensland,,Seasonally Adjusted,Number,A422372R,2675
07,Total number of dwelling units approved - states and territories,1984-06,state,South Australia,,Seasonally Adjusted,Number,A422472X,1192
07,Total number of dwelling units approved - states and territories,1984-06,state,Western Australia,,Seasonally Adjusted,Number,A422572J,1738
07,Total number of dwelling units approved - states and territories,1984-06,state,Tasmania,,Seasonally Adjusted,Number,A422672T,384
07,Total number of dwelling units approved - states and territories,1984-06,state,New South Wales,,Trend,Number,A422174A,3448
07,Total number of dwelling units approved - states and territories,1984-06,state,Victoria,,Trend,Number,A422274K,3578
07,Total number of dwelling units approved - states and territories,1984-06,state,Queensland,,Trend,Number,A422374V,2887
07,Total number of dwelling units approved - states and territories,1984-06,state,South Australia,,Trend,Number,A422474C,1258
07,Total number of dwelling units approved - states and territories,1984-06,state,Western Australia,,Trend,Number,A422574L,1724
07,Total number of dwelling units approved - states and territories,1984-06,state,Tasmania,,Trend,Number,A422675X,368
07,Total number of dwelling units approved - states and territories,1984-06,state,Northern Territory,,Trend,Number,A422775J,262
07,Total number of dwelling units approved - states and territories,1984-06,state,Australian Capital Territory,,Trend,Number,A422872K,259
07,Total number of dwelling units approved - states and territories,1984-07,state,New South Wales,,Original,Number,A422166A,3522
07,Total number of dwelling units approved - states and territories,1984-07,state,Victoria,,Original,Number,A422266K,3857
07,Total number of dwelling units approved - states and territories,1984-07,state,Queensland,,Original,Number,A422366V,2881
07,Total number of dwelling units approved - states and territories,1984-07,state,South Australia,,Original,Number,A422466C,1129
07,Total number of dwelling units approved - states and territories,1984-07,state,Western Australia,,Original,Number,A422566L,1899
07,Total number of dwelling units approved - states and territories,1984-07,state,Tasmania,,Original,Number,A422666W,349
07,Total number of dwelling units approved - states and territories,1984-07,state,Northern Territory,,Original,Number,A422766F,223
07,Total number of dwelling units approved - states and territories,1984-07,state,Australian Capital Territory,,Original,Number,A422863J,122
07,Total number of dwelling units approved - states and territories,1984-07,state,New South Wales,,Seasonally Adjusted,Number,A422172W,3413
07,Total number of dwelling units approved - states and territories,1984-07,state,Victoria,,Seasonally Adjusted,Number,A422272F,3763
07,Total number of dwelling units approved - states and territories,1984-07,state,Queensland,,Seasonally Adjusted,Number,A422372R,2700
07,Total number of dwelling units approved - states and territories,1984-07,state,South Australia,,Seasonally Adjusted,Number,A422472X,1175
07,Total number of dwelling units approved - states and territories,1984-07,state,Western Australia,,Seasonally Adjusted,Number,A422572J,1842
07,Total number of dwelling units approved - states and territories,1984-07,state,Tasmania,,Seasonally Adjusted,Number,A422672T,373
07,Total number of dwelling units approved - states and territories,1984-07,state,New South Wales,,Trend,Number,A422174A,3443
