table,table_title,reference_month,geography_level,geography,dwelling_type,series_type,unit,series_id,value
41,Value of non-residential building approved - states and territories,1971-04,state,Queensland,Total Non-residential,Original,$'000,A420819L,13189
41,Value of non-residential building approved - states and territories,1971-04,state,South Australia,Total Non-residential,Original,$'000,A420892J,5742
41,Value of non-residential building approved - states and territories,1971-04,state,Western Australia,Total Non-residential,Original,$'000,A420965K,11131
41,Value of non-residential building approved - states and territories,1971-04,state,Tasmania,Total Non-residential,Original,$'000,A421038R,3404
41,Value of non-residential building approved - states and territories,1971-04,state,Northern Territory,Total Non-residential,Original,$'000,A421108K,1007
41,Value of non-residential building approved - states and territories,1971-04,state,Australian Capital Territory,Total Non-residential,Original,$'000,A421178T,2050
41,Value of non-residential building approved - states and territories,1971-04,state,New South Wales,Total Non-residential,Seasonally Adjusted,$'000,A420673J,43454
41,Value of non-residential building approved - states and territories,1971-04,state,Victoria,Total Non-residential,Seasonally Adjusted,$'000,A420749T,25400
41,Value of non-residential building approved - states and territories,1971-04,state,Queensland,Total Non-residential,Seasonally Adjusted,$'000,A420822A,13189
41,Value of non-residential building approved - states and territories,1971-04,state,South Australia,Total Non-residential,Seasonally Adjusted,$'000,A420895R,6242
41,Value of non-residential building approved - states and territories,1971-04,state,Western Australia,Total Non-residential,Seasonally Adjusted,$'000,A420968T,10434
41,Value of non-residential building approved - states and territories,1971-04,state,New South Wales,Total Non-residential,Trend,$'000,A420674K,40051
41,Value of non-residential building approved - states and territories,1971-04,state,Victoria,Total Non-residential,Trend,$'000,A420750A,25952
41,Value of non-residential building approved - states and territories,1971-04,state,Queensland,Total Non-residential,Trend,$'000,A420823C,13284
41,Value of non-residential building approved - states and territories,1971-04,state,South Australia,Total Non-residential,Trend,$'000,A420896T,8350
41,Value of non-residential building approved - states and territories,1971-04,state,Western Australia,Total Non-residential,Trend,$'000,A420969V,11386
41,Value of non-residential building approved - states and territories,1971-05,state,New South Wales,Total Non-residential,Original,$'000,A420670A,56558
41,Value of non-residential building approved - states and territories,1971-05,state,Victoria,Total Non-residential,Original,$'000,A420746K,26042
41,Value of non-residential building approved - states and territories,1971-05,state,Queensland,Total Non-residential,Original,$'000,A420819L,11494
41,Value of non-residential building approved - states and territories,1971-05,state,South Australia,Total Non-residential,Original,$'000,A420892J,10042
41,Value of non-residential building approved - states and territories,1971-05,state,Western Australia,Total Non-residential,Original,$'000,A420965K,9919
41,Value of non-residential building approved - states and territories,1971-05,state,Tasmania,Total Non-residential,Original,$'000,A421038R,2073
41,Value of non-residential building approved - states and territories,1971-05,state,Northern Territory,Total Non-residential,Original,$'000,A421108K,2479
41,Value of non-residential building approved - states and territories,1971-05,state,Australian Capital Territory,Total Non-residential,Original,$'000,A421178T,4015
41,Value of non-residential building approved - states and territories,1971-05,state,New South Wales,Total Non-residential,Seasonally Adjusted,$'000,A420673J,56558
41,Value of non-residential building approved - states and territories,1971-05,state,Victoria,Total Non-residential,Seasonally Adjusted,$'000,A420749T,24419
41,Value of non-residential building approved - states and territories,1971-05,state,Queensland,Total Non-residential,Seasonally Adjusted,$'000,A420822A,11494
41,Value of non-residential building approved - states and territories,1971-05,state,South Australia,Total Non-residential,Seasonally Adjusted,$'000,A420895R,10900
41,Value of non-residential building approved - states and territories,1971-05,state,Western Australia,Total Non-residential,Seasonally Adjusted,$'000,A420968T,10118
41,Value of non-residential building approved - states and territories,1971-05,state,New South Wales,Total Non-residential,Trend,$'000,A420674K,42387
41,Value of non-residential building approved - states and territories,1971-05,state,Victoria,Total Non-residential,Trend,$'000,A420750A,26105
41,Value of non-residential building approved - states and territories,1971-05,state,Queensland,Total Non-residential,Trend,$'000,A420823C,12927
41,Value of non-residential building approved - states and territories,1971-05,state,South Australia,Total Non-residential,Trend,$'000,A420896T,8990
41,Value of non-residential building approved - states and territories,1971-05,state,Western Australia,Total Non-residential,Trend,$'000,A420969V,11459
41,Value of non-residential building approved - states and territories,1971-06,state,New South Wales,Total Non-residential,Original,$'000,A420670A,31429
41,Value of non-residential building approved - states and territories,1971-06,state,Victoria,Total Non-residential,Original,$'000,A420746K,21704
41,Value of non-residential building approved - states and territories,1971-06,state,Queensland,Total Non-residential,Original,$'000,A420819L,13663
41,Value of non-residential building approved - states and territories,1971-06,state,South Australia,Total Non-residential,Original,$'000,A420892J,6603
41,Value of non-residential building approved - states and territories,1971-06,state,Western Australia,Total Non-residential,Original,$'000,A420965K,11418
41,Value of non-residential building approved - states and territories,1971-06,state,Tasmania,Total Non-residential,Original,$'000,A421038R,2301
41,Value of non-residential building approved - states and territories,1971-06,state,Northern Territory,Total Non-residential,Original,$'000,A421108K,10699
41,Value of non-residential building approved - states and territories,1971-06,state,Australian Capital Territory,Total Non-residential,Original,$'000,A421178T,4163
41,Value of non-residential building approved - states and territories,1971-06,state,New South Wales,Total Non-residential,Seasonally Adjusted,$'000,A420673J,31429
41,Value of non-residential building approved - states and territories,1971-06,state,Victoria,Total Non-residential,Seasonally Adjusted,$'000,A420749T,23593
41,Value of non-residential building approved - states and territories,1971-06,state,Queensland,Total Non-residential,Seasonally Adjusted,$'000,A420822A,13663
41,Value of non-residential building approved - states and territories,1971-06,state,South Australia,Total Non-residential,Seasonally Adjusted,$'000,A420895R,5749
41,Value of non-residential building approved - states and territories,1971-06,state,Western Australia,Total Non-residential,Seasonally Adjusted,$'000,A420968T,12113
41,Value of non-residential building approved - states and territories,1971-06,state,New South Wales,Total Non-residential,Trend,$'000,A420674K,43025
41,Value of non-residential building approved - states and territories,1971-06,state,Victoria,Total Non-residential,Trend,$'000,A420750A,27770
41,Value of non-residential building approved - states and territories,1971-06,state,Queensland,Total Non-residential,Trend,$'000,A420823C,12496
41,Value of non-residential building approved - states and territories,1971-06,state,South Australia,Total Non-residential,Trend,$'000,A420896T,10040
41,Value of non-residential building approved - states and territories,1971-06,state,Western Australia,Total Non-residential,Trend,$'000,A420969V,12210
41,Value of non-residential building approved - states and territories,1971-07,state,New South Wales,Total Non-residential,Original,$'000,A420670A,37936
41,Value of non-residential building approved - states and territories,1971-07,state,Victoria,Total Non-residential,Original,$'000,A420746K,26031
41,Value of non-residential building approved - states and territories,1971-07,state,Queensland,Total Non-residential,Original,$'000,A420819L,11973
41,Value of non-residential building approved - states and territories,1971-07,state,South Australia,Total Non-residential,Original,$'000,A420892J,10214
41,Value of non-residential building approved - states and territories,1971-07,state,Western Australia,Total Non-residential,Original,$'000,A420965K,14696
41,Value of non-residential building approved - states and territories,1971-07,state,Tasmania,Total Non-residential,Original,$'000,A421038R,975
41,Value of non-residential building approved - states and territories,1971-07,state,Northern Territory,Total Non-residential,Original,$'000,A421108K,880
41,Value of non-residential building approved - states and territories,1971-07,state,Australian Capital Territory,Total Non-residential,Original,$'000,A421178T,1564
41,Value of non-residential building approved - states and territories,1971-07,state,New South Wales,Total Non-residential,Seasonally Adjusted,$'000,A420673J,37936
41,Value of non-residential building approved - states and territories,1971-07,state,Victoria,Total Non-residential,Seasonally Adjusted,$'000,A420749T,25944
41,Value of non-residential building approved - states and territories,1971-07,state,Queensland,Total Non-residential,Seasonally Adjusted,$'000,A420822A,11973
41,Value of non-residential building approved - states and territories,1971-07,state,South Australia,Total Non-residential,Seasonally Adjusted,$'000,A420895R,11103
41,Value of non-residential building approved - states and territories,1971-07,state,Western Australia,Total Non-residential,Seasonally Adjusted,$'000,A420968T,13776
41,Value of non-residential building approved - states and territories,1971-07,state,New South Wales,Total Non-residential,Trend,$'000,A420674K,43408
41,Value of non-residential building approved - states and territories,1971-07,state,Victoria,Total Non-residential,Trend,$'000,A420750A,30878
41,Value of non-residential building approved - states and territories,1971-07,state,Queensland,Total Non-residential,Trend,$'000,A420823C,12228
41,Value of non-residential building approved - states and territories,1971-07,state,South Australia,Total Non-residential,Trend,$'000,A420896T,11234
41,Value of non-residential building approved - states and territories,1971-07,state,Western Australia,Total Non-residential,Trend,$'000,A420969V,12747
41,Value of non-residential building approved - states and territories,1971-08,state,New South Wales,Total Non-residential,Original,$'000,A420670A,55376
41,Value of non-residential building approved - states and territories,1971-08,state,Victoria,Total Non-residential,Original,$'000,A420746K,39666
41,Value of non-residential building approved - states and territories,1971-08,state,Queensland,Total Non-residential,Original,$'000,A420819L,12669
41,Value of non-residential building approved - states and territories,1971-08,state,South Australia,Total Non-residential,Original,$'000,A420892J,13675
41,Value of non-residential building approved - states and territories,1971-08,state,Western Australia,Total Non-residential,Original,$'000,A420965K,12776
41,Value of non-residential building approved - states and territories,1971-08,state,Tasmania,Total Non-residential,Original,$'000,A421038R,5651
41,Value of non-residential building approved - states and territories,1971-08,state,Northern Territory,Total Non-residential,Original,$'000,A421108K,1418
41,Value of non-residential building approved - states and territories,1971-08,state,Australian Capital Territory,Total Non-residential,Original,$'000,A421178T,776
41,Value of non-residential building approved - states and territories,1971-08,state,New South Wales,Total Non-residential,Seasonally Adjusted,$'000,A420673J,55376
41,Value of non-residential building approved - states and territories,1971-08,state,Victoria,Total Non-residential,Seasonally Adjusted,$'000,A420749T,37194
41,Value of non-residential building approved - states and territories,1971-08,state,Queensland,Total Non-residential,Seasonally Adjusted,$'000,A420822A,12669
