disease_condition,week_ending,notification_count
Syphilis (<2 years),2026-06-06,5
Syphilis (<2 years),2026-06-13,6
Syphilis (<2 years),2026-06-20,3
Syphilis (<2 years),2026-06-27,2
Syphilis (<2 years),2026-07-04,0
Syphilis (>2 years or unspecified),2026-05-16,2
Syphilis (>2 years or unspecified),2026-05-23,1
Syphilis (>2 years or unspecified),2026-05-30,2
Syphilis (>2 years or unspecified),2026-06-06,0
Syphilis (>2 years or unspecified),2026-06-13,0
Syphilis (>2 years or unspecified),2026-06-20,1
Syphilis (>2 years or unspecified),2026-06-27,3
Syphilis (>2 years or unspecified),2026-07-04,1
Tetanus,2026-05-16,0
Tetanus,2026-05-23,0
Tetanus,2026-05-30,0
Tetanus,2026-06-06,0
Tetanus,2026-06-13,0
Tetanus,2026-06-20,0
Tetanus,2026-06-27,0
Tetanus,2026-07-04,0
Typhoid Fever (S Typhi),2026-05-16,0
Typhoid Fever (S Typhi),2026-05-23,0
Typhoid Fever (S Typhi),2026-05-30,0
Typhoid Fever (S Typhi),2026-06-06,0
Typhoid Fever (S Typhi),2026-06-13,0
Typhoid Fever (S Typhi),2026-06-20,0
Typhoid Fever (S Typhi),2026-06-27,0
Typhoid Fever (S Typhi),2026-07-04,0
Varicella virus,2026-05-16,63
Varicella virus,2026-05-23,77
Varicella virus,2026-05-30,61
Varicella virus,2026-06-06,70
Varicella virus,2026-06-13,51
Varicella virus,2026-06-20,66
Varicella virus,2026-06-27,70
Varicella virus,2026-07-04,64
Vibrio parahaemolyticus,2026-05-16,1
Vibrio parahaemolyticus,2026-05-23,1
Vibrio parahaemolyticus,2026-05-30,0
Vibrio parahaemolyticus,2026-06-06,1
Vibrio parahaemolyticus,2026-06-13,0
Vibrio parahaemolyticus,2026-06-20,0
Vibrio parahaemolyticus,2026-06-27,0
Vibrio parahaemolyticus,2026-07-04,0
Yersinia,2026-05-16,0
Yersinia,2026-05-23,0
Yersinia,2026-05-30,1
Yersinia,2026-06-06,0
Yersinia,2026-06-13,2
Yersinia,2026-06-20,5
Yersinia,2026-06-27,0
Yersinia,2026-07-04,3
