table_code,table_title,source_file,workbook_label,sheet,n_rows,dimension_columns,value_columns,notes
S73a,"Young people in detention on an average day(a) by sex and Indigenous status, states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S73,16,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S73b,"Young people in detention during the year by sex and Indigenous status, states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S73,16,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S74a,"Young people aged 10–17 in detention on an average day(a) by sex and Indigenous status, states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S74,16,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S74b,"Young people aged 10–17 in detention during the year by sex and Indigenous status, states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S74,16,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S75a,"Young people aged 10–17 in detention on an average day by sex and Indigenous status, states and territories, 2024–25 (rate)",s72-s125.xlsx,Characteristics of young people in detention,Table S75,9,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S75b,"Young people aged 10–17 in detention during the year by sex and Indigenous status, states and territories, 2024–25 (rate)",s72-s125.xlsx,Characteristics of young people in detention,Table S75,9,sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S76a,"Young people in detention on an average day(a) by age, sex and Indigenous status, Australia, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S76,16,sex; indigenous_status,10; 11; 12; 13; 14; 15; 16; 17; 10_17; 18plus; total,
S76b,"Young people in detention during the year by age, sex and Indigenous, Australia, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S76,16,sex; indigenous_status,10_12; 13; 14; 15; 16; 17; 10_17; 18plus; total,
S77a,"Young people aged 10–17 in detention by age on an average day by age, sex and Indigenous status, Australia, 2024–25 (rate)",s72-s125.xlsx,Characteristics of young people in detention,Table S77,9,sex; indigenous_status,10; 11; 12; 13; 14; 15; 16; 17,
S77b,"Young people aged 10–17 in detention during the year by age, sex and Indigenous status, Australia, 2024–25 (rate)",s72-s125.xlsx,Characteristics of young people in detention,Table S77,9,sex; indigenous_status,10_12; 13; 14; 15; 16; 17,
S78a,"Young people in detention on an average day(a) by Indigenous status and age, states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S78,16,indigenous_status; age_group,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S78b,"Young people in detention during the year by Indigenous status and age, states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S78,16,indigenous_status; age_group,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S78c,"Young people in detention on an average day(a) by Indigenous status and age, states and territories, 2024–25 (rate)",s72-s125.xlsx,Characteristics of young people in detention,Table S78,9,indigenous_status; age_group,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S78d,"Young people in detention during the year by Indigenous status and age, states and territories, 2024–25 (rate)",s72-s125.xlsx,Characteristics of young people in detention,Table S78,9,indigenous_status; age_group,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S79a,"Young people aged 10–17 in detention on an on an average day(a) by sex and age, Australia, 2020–21 to 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S79,20,sex; year,10; 11; 12; 13; 14; 15; 16; 17; 10_17,
S79b,"Young people aged 10–17 in detention during the year by sex and age, Australia, 2020–21 to 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S79,20,sex; year,10; 11; 12; 13; 14; 15; 16; 17; 10_17,
S80a,"Young people aged 10–17 in detention on an average day by age and sex, Australia, 2020–21 to 2024–25 (rate)",s72-s125.xlsx,Characteristics of young people in detention,Table S80,15,sex; year,10; 11; 12; 13; 14; 15; 16; 17; 10_17,
S80b,"Young people aged 10–17 in detention during the year by age and sex, Australia, 2020–21 to 2024–25 (rate)",s72-s125.xlsx,Characteristics of young people in detention,Table S80,15,sex; year,10; 11; 12; 13; 14; 15; 16; 17; 10_17,
S81a,"Young people aged 10–17 in detention on an average day(a) by Indigenous status, states and territories, 2015–16 to 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S81,40,year; indigenous_staus,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S81b,"Young people aged 10–17 in detention during the year by Indigenous status, states and territories, 2015-16 to 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S81,40,year; indigenous_staus,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S82a,"Young people in detention on an average day(a) by Indigenous status, states and territories, 2015-16 to 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S82,40,year; indigenous_staus,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S82b,"Young people in detention during the year by Indigenous status, states and territories, 2015-16 to 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S82,40,year; indigenous_staus,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S83a,"Young people aged 10–17 in detention on an average day by Indigenous status, states and territories, 2016–17 to 2024–25 (rate)",s72-s125.xlsx,Characteristics of young people in detention,Table S83,27,year; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S83b,"Young people aged 10–17 in detention during the year by Indigenous status, states and territories, 2016-17 to 2024–25 (rate)",s72-s125.xlsx,Characteristics of young people in detention,Table S83,27,year; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S84a,"Young people aged 10–17 in detention on an average day(a) by sex, states and territories, 2015-16 to 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S84,40,year; sex,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S84b,"Young people aged 10–17 in detention during the year by sex, states and territories, 2015-16 to 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S84,40,year; sex,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S85a,"Young people in detention on an average day(a) by sex, states and territories, 2015-16 to 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S85,40,year; sex,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S85b,"Young people in detention during the year by sex, states and territories, 2015-16 to 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S85,40,year; sex,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S86a,"Young people aged 10–17 in detention on an average day by sex, states and territories, 2015-16 to 2024–25 (rate)",s72-s125.xlsx,Characteristics of young people in detention,Table S86,30,year; sex,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S86b,"Young people aged 10–17 in detention during the year by sex, states and territories, 2015-16 to 2024–25 (rate)",s72-s125.xlsx,Characteristics of young people in detention,Table S86,30,year; sex,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S87,"Young people aged 10–17 in detention on an average day(a) by sex and Indigenous status, states and territories, 2020–21 to 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S87,80,year; sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S88,"Young people in detention on an average day(a), by sex and Indigenous status, states and territories, 2020–21 to 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S88,80,year; sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S89,"Young people aged 10–17 in detention on an average day by sex and Indigenous status, states and territories, 2020–21 to 2024–25 (rate)",s72-s125.xlsx,Characteristics of young people in detention,Table S89,45,year; sex; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S90,"Young people in detention during the year by first supervision, states and territories, 2020–21 to 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S90,15,year; superivsion_history,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S91,"Young people in detention during the year by first supervision and Indigenous status, Australia, 2020–21 to 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S91,15,year; supervision_history; first_nations; non_indigenous; not_stated,total,
S92,"Young people in detention during the year by sex, Indigenous status and age at first supervision, Australia, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S92,16,sex; indigenous_status,10_11; 12; 13; 14; 15; 16; 17; 18plus; australia,
S93,"Young people in detention during the year by Indigenous status and age at first supervision, states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S93,16,indigenous_status; age_group,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S94,"Young people in detention during the year by sex, Indigenous status and age at first detention, Australia, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S94,16,sex; indigenous_status,10_11; 12; 13; 14; 15; 16; 17; 18plus; total,
S95,"Young people in detention during the year by Indigenous status and age at first detention, states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S95,16,indigenous_status; age_group,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S96a,"Young people in detention on an average day(a) by sex, Indigenous status and remoteness of usual residence(b), Australia, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S96,21,sex; remoteness_area; first_nations; non_indigenous; not_stated,total,
S96b,"Young people in detention during the year by sex, Indigenous status and remoteness of usual residence(a), Australia, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S96,21,sex; remoteness_area; first_nations; non_indigenous; not_stated,all,
S97a,"Young people aged 10–17 in detention on an average day(a) by remoteness of usual residence(b), states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S97,6,remoteness_area,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Number of young people on an average day may not sum to total due to rounding. | (b) Address data for young people known to Youth Justice in Tasmania is affected by data qaulity issues. Usual residence data should be interpreted with caution. | — represents zero or rounded to zero | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the Remoteness areas correspondence file. | 2. Some remoteness areas are not found in all states and territories. | 3. Age on an average day is calculated based on the age a young person is each day that they are under supervision. If a young person changes age during a period of supervision, the average daily number under supervision will reflect this. Average daily data broken down by age will not be comparable with data in Youth justice in Australia releases before 2019–20. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S97b,"Young people aged 10–17 in detention during the year by remoteness of usual residence(a), states and territories, 2024-25",s72-s125.xlsx,Characteristics of young people in detention,Table S97,6,remoteness_area,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Address data for young people known to Youth Justice in Tasmania is affected by data quality issues. Usual residence data should be interpreted with caution. | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the Remoteness areas correspondence file. | 2. Some remoteness areas are not found in all states and territories. | 3. Age calculated as at start of financial year if first period of detention in the relevant year began before the start of the financial year, otherwise age calculated as at start of first period of detention in the relevant year. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S97c,"Young people aged 10–17 in detention on an average day by remoteness of usual residence(a), states and territories, 2024–25 (rate)",s72-s125.xlsx,Characteristics of young people in detention,Table S97,5,remoteness_area,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Address data for young people known to Youth Justice in Tasmania is affected by data qaulity issues. Usual residence data should be interpreted with caution. | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the Remoteness areas correspondence file. | 2. Some remoteness areas are not found in all states and territories. | 3. Age on an average day is calculated based on the age a young person is each day that they are under supervision. If a young person changes age during a period of supervision, the average daily number under supervision will reflect this. Average daily data broken down by age will not be comparable with data in Youth justice in Australia releases before 2019–20. | 4. Rates are number of young people per 10,000 relevant population. | 5. In November 2023, the Australian Capital Territory raised the minimum age of criminal responsibility from 10 to 12. The rates for the Australian Capital Territory from 2023-24 are for young people aged 12-17. | Source: Tables S97a and S148"
S97d,"Young people aged 10–17 in detention during the year by remoteness of usual residence(a), states and territories, 2024–25 (rate)",s72-s125.xlsx,Characteristics of young people in detention,Table S97,5,remoteness_area,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Address data for young people known to Youth Justice in Tasmania is affected by data qaulity issues. Usual residence data should be interpreted with caution. | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the Remoteness areas correspondence file. | 2. Some remoteness areas are not found in all states and territories. | 3. Age calculated as at start of financial year if first period of detention in the relevant year began before the start of the financial year, otherwise age calculated as at start of first period of detention in the relevant year. | 4. Rates are number of young people per 10,000 relevant population. | 5. Rates are not published where there were fewer than five young people. | 6. In November 2023, the Australian Capital Territory raised the minimum age of criminal responsibility from 10 to 12. The rates for the Australian Capital Territory from  2023-24 are for young people aged 12-17. | Source: Tables S97b and S148"
S98a,"Young people in detention on an average day(a) by sex, Indigenous status and socioeconomic position of usual residence(b), Australia 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S98,21,sex; socioeconomic_areas; first_nations; non_indigenous; not_stated,total,
S98b,"Young people in detention during the year by sex, Indigenous status and socioeconomic position of usual residence(a), Australia 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S98,21,sex; socioeconomic_areas; first_nations; non_indigenous; not_stated,total,
S99a,"Young people aged 10–17 in detention on an average day(a) by socioeconomic position of usual residence(b), states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S99,6,socioeconomic_areas,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Number of young people on an average day may not sum to total due to rounding. | (b) Address data for young people known to Youth Justice in Tasmania is affected by data qaulity issues. Usual residence data should be interpreted with caution. | — represents zero or rounded to zero | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the SEIFA file. | 2. Age on an average day is calculated based on the age a young person is each day that they are under supervision. If a young person changes age during a period of supervision, the average daily number under supervision will reflect this. Average daily data broken down by age will not be comparable with data in Youth justice in Australia releases before 2019–20. | 3. The ACT has highly diverse suburbs with advantaged households in close proximity to disadvantaged households. It has a high proportion of the most relatively disadvantaged persons residing in areas classified by SEIFA as being less disadvantaged. In this respect, the ACT is unique and comparisons with other jurisdictions should be made with caution. | 4. SEIFA quintiles are calculated based on postcodes across the whole of Australia, and therefore some socioeconomic areas are not found in all states and territories. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S99b,"Young people aged 10–17 in detention during the year by socioeconomic position of usual residence(a), states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S99,6,socioeconomic_areas,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Address data for young people known to Youth Justice in Tasmania is affected by data quality issues. Usual residence data should be interpreted with caution. | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the SEIFA file. | 2. Age calculated as at start of financial year if first period of detention in the relevant year began before the start of the financial year, otherwise age calculated as at start of first period of detention in the relevant year. | 3. The ACT has highly diverse suburbs with advantaged households in close proximity to disadvantaged households. It has a high proportion of the most relatively disadvantaged persons residing in areas classified by SEIFA as being less disadvantaged. In this respect, the ACT is unique and comparisons with other jurisdictions should be made with caution. | 4. SEIFA quintiles are calculated based on postcodes across the whole of Australia, and therefore some socioeconomic areas are not found in all states and territories. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S99c,"Young people aged 10–17 in detention on an average day by socioeconomic position of usual residence(a), states and territories, 2024–25 (rate)",s72-s125.xlsx,Characteristics of young people in detention,Table S99,5,socioeconomic_areas,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Address data for young people known to Youth Justice in Tasmania is affected by data quality issues. Usual residence data should be interpreted with caution. | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the SEIFA file. | 2. Age on an average day is calculated based on the age a young person is each day that they are under supervision. If a young person changes age during a period of supervision, the average daily number under supervision will reflect this. Average daily data broken down by age will not be comparable with data in Youth justice in Australia releases before 2019–20. | 3. Rates are number of young people per 10,000 relevant population. | 4. The ACT has highly diverse suburbs with advantaged households in close proximity to disadvantaged households. It has a high proportion of the most relatively disadvantaged persons residing in areas classified by SEIFA as being less disadvantaged. In this respect, the ACT is unique and comparisons with other jurisdictions should be made with caution. | 5. SEIFA quintiles are calculated based on postcodes across the whole of Australia, and therefore some socioeconomic areas are not found in all states and territories. | 6. In November 2023, the Australian Capital Territory raised the minimum age of criminal responsibility from 10 to 12. The rates for the Australian Capital Territory from 2023-24 are for young people aged 12-17. | Source: Tables S99a and S149"
S99d,"Young people aged 10–17 in detention during the year by socioeconomic position of usual residence(a), states and territories, 2024–25 (rate)",s72-s125.xlsx,Characteristics of young people in detention,Table S99,5,socioeconomic_areas,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Address data for young people known to Youth Justice in Tasmania is affected by data quality issues. Usual residence data should be interpreted with caution. | Notes | 1. Some young people excluded due to missing or invalid postcodes or because the postcode was not listed in the SEIFA file. | 2. Age calculated as at start of financial year if first period of detention in the relevant year began before the start of the financial year, otherwise age calculated as at start of first period of detention in the relevant year. | 3. Rates are number of young people per 10,000 relevant population. | 4. Rates are not published where there were fewer than five young people. | 5. The ACT has highly diverse suburbs with advantaged households in close proximity to disadvantaged households. It has a high proportion of the most relatively disadvantaged persons residing in areas classified by SEIFA as being less disadvantaged. In this respect, the ACT is unique and comparisons with other jurisdictions should be made with caution. | 6. SEIFA quintiles are calculated based on postcodes across the whole of Australia, and therefore some socioeconomic areas are not found in all states and territories. | 7. In November 2023, the Australian Capital Territory raised the minimum age of criminal responsibility from 10 to 12. The rates for the Australian Capital Territory from 2023-24 are for young people aged 12-17. | Source: Tables S99b and S149."
S100,"Young people who completed a period of detention during the year by number of periods completed and Indigenous status, Australia, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S100,7,number_of_completed_periods; first_nations; non_indigenous; not_stated,total,
S101,"Number and median length of completed periods of detention by Indigenous status, states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S101,16,indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,"Notes | 1. The duration of periods of detention separated by a transfer to another remand or detention centre were summed. | 2. Median lengths were not calculated where there were fewer than five periods. | 3. Time under supervision calculated for 2024–25, from 1 July 2024. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S102,"Average length of time young people spent in detention during the year by Indigenous status and sex, states and territories, 2020–21 to 2024–25 (days)",s72-s125.xlsx,Characteristics of young people in detention,Table S102,45,year; indigenous_status; sex,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S103a,"Receptions by legal status, states and territories, 2024–25: Number of receptions",s72-s125.xlsx,Characteristics of young people in detention,Table S103,6,section; legal_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,"1. This data should be interpreted with caution due to potential issues with recording and updating of custodial order details in Tasmania. | 2. The methodology for counting receptions  has changed. From 2024-25, overlapping supervision periods of different types (e.g., remand and sentenced) are not counted as separate receptions. Data are not comparable with Youth justice in Australial releases before 2024-25. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S103b,"Receptions by legal status, states and territories, 2024–25: Number of young people during the year",s72-s125.xlsx,Characteristics of young people in detention,Table S103,6,section; legal_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,"Notes | 1. The number of receptions for young people in unsentenced and sentenced detention may not sum to the total as young people may have been received for both types of orders at the same time. | 2. This data should be interpreted with caution due to potential issues with recording and updating of custodial order details in Tasmania. | 3. The methodology for counting receptions  has changed. From 2024-25, overlapping supervision periods of different types (e.g., remand and sentenced) are not counted as separate receptions. Data are not comparable with Youth justice in Australial releases before 2024-25. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S104a,"Releases by legal status, states and territories, 2024–25: Number of releases",s72-s125.xlsx,Characteristics of young people in detention,Table S104,6,legal_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,Note: This data should be interpreted with caution due to potential issues with recording and updating of custodial order details in Tasmania. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25.
S104b,"Releases by legal status, states and territories, 2024–25: Number of young people during the year.",s72-s125.xlsx,Characteristics of young people in detention,Table S104,6,legal_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,Notes | 1. The number of releases for young people in unsentenced and sentenced detention may not sum to the total as young people may have been released from both types of orders at the same time. | 2. This data should be interpreted with caution due to potential issues with recording and updating of custodial order details in Tasmania. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25.
S105a,"Young people received into detention during the year, number of receptions by Indigenous status, Australia, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S105,7,number_of_receptions; first_nations; non_indigenous; not_stated,total,
S105b,"Young people released from detention during the year, number of releases by Indigenous status, Australia, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S105,7,number_of_releases; first_nations; non_indigenous; not_stated,total,
S106a,"Young people received into detention during the year, number of receptions by Indigenous status, states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S106,4,indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; total,"Note: The methodology for counting receptions  has changed. From 2024-25, overlapping supervision periods of different types (e.g., remand and sentenced) are not counted as separate receptions. Data are not comparable with Youth justice in Australial releases before 2024-25. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S106b,"Young people released from detention during the year, number of releases by Indigenous status, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S106,4,indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; total,Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25.
S107a,"Receptions and releases by sex and month, Australia, 2024–25: Receptions",s72-s125.xlsx,Characteristics of young people in detention,Table S107,12,month; male; female; not_stated,total,
S107b,"Receptions and releases by sex and month, Australia, 2024–25: Releases",s72-s125.xlsx,Characteristics of young people in detention,Table S107,12,month; male; female; not_stated,total,
S108a,"Young people in detention on an average day(a) by legal status and Indigenous status, states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S108,20,legal_status; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S108b,"Young people in detention during the year by legal status and Indigenous status, states and territories, 2023–24",s72-s125.xlsx,Characteristics of young people in detention,Table S108,20,legal_status; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S109a,"Young people aged 10–17 in detention on an average day(a) by legal status and Indigenous status, states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S109,20,legal_status; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S109b,"Young people aged 10–17 in detention during the year by legal status and Indigenous status, states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S109,20,legal_status; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; aus,
S110a,"Young people aged 10–17 in detention on an average day by sex and Indigenous status, states and territories, 2024–25 (rate)",s72-s125.xlsx,Characteristics of young people in detention,Table S110,15,legal_status; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S110b,"Young people aged 10–17 in detention during the year by sex and Indigenous status, states and territories, 2024–25 (rate)",s72-s125.xlsx,Characteristics of young people in detention,Table S110,15,legal_status; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S111,"Young people in detention on an average day(a) by legal status and month, Australia, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S111,24,section; month,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Number of young people on an average day may not sum to total due to rounding. | — represents zero or rounded to zero | Note: Number of unsentenced and sentenced young people on an average day may not sum to total number of young people as young people may have changed legal status during the same day, or been on both types of orders at the same time. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S112,"Young people in detention on an average day(a) by legal status and Indigenous status, states and territories, 2020–21 to 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S112,60,indigenous_status; legal_status; year,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S113a,"Young people in unsentenced detention on an average day(a) by age and Indigenous status, states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S113,16,indigenous_status; age,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S113b,"Young people in unsentenced detention during the year by age and Indigenous status, states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S113,16,indigenous_status; age,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S114a,"Young people in unsentenced detention on an average day(a), states and territories, 2020–21 to 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S114,5,,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Number of young people on an average day may not sum to total due to rounding. | — represents zero or rounded to zero | Notes | 1. Number of unsentenced and sentenced young people on an average day may not sum to total number of young people as young people may have changed legal status during the same day, or been on both types of orders at the same time. | 2. Trend data may differ from those previously published due to data revisions. | 3. This data should be interpreted with caution due to potential issues with recording and updating of custodial order details in Tasmania. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S114b,"Young people in unsentenced detention during the year, states and territories, 2020–21 to 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S114,5,none,nsw; vic; qld; wa; sa; tas; act; nt; australia,"Notes | 1. Number of unsentenced and sentenced young people may not sum to total number of young people as some young people may have changed legal status during the year. | 2. Trend data may differ from those previously published due to data revisions. | 3. This data should be interpreted with caution due to potential issues with recording and updating of custodial order details in Tasmania. | 4. Young people from Tasmania and the Australian Capital Territory aged 18 and over in detention during the year, have been excluded due to small numbers from 2020–21 to 2024–25. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
S115,"Young people who completed a period of unsentenced detention during the year by number of periods completed and Indigenous status, Australia, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S115,7,number_of_completed_periods; first_nations; non_indigenous; not_stated,total,
S116,"Number and median length of completed periods of unsentenced detention by Indigenous status, states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S116,16,section; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,Notes | 1. The duration of periods of remand separated by a transfer to another remand or detention centre were summed. | 2. Median lengths were not calculated where there were fewer than five periods. | 3. This data should be interpreted with caution due to potential issues with recording and updating of custodial order details in Tasmania. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25.
S117,"Average length of time young people spent in unsentenced detention during the year by Indigenous status, states and territories, 2020–21 to 2024–25 (days)",s72-s125.xlsx,Characteristics of young people in detention,Table S117,20,year; indigenous_status,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S118,"Periods of remand by end reason and Indigenous status, states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S118,28,indigenous_status; detention_end_reason,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S119a,"Young people in sentenced detention on an average day(a) by age and Indigenous status, states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S119,16,indigenous_status; age,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S119b,"Young people in sentenced detention during the year by age and Indigenous status, states and territories, 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S119,16,indigenous_status; age,nsw; vic; qld; wa; sa; tas; act; nt; australia,
S120a,"Young people in sentenced detention on an average day(a), states and territories, 2020–21 to 2024–25",s72-s125.xlsx,Characteristics of young people in detention,Table S120,5,,nsw; vic; qld; wa; sa; tas; act; nt; australia,"(a) Number of young people on an average day may not sum to total due to rounding. | — represents zero or rounded to zero | Notes | 1. Number of unsentenced and sentenced young people on an average day may not sum to total number of young people as young people may have changed legal status during the same day, or been on both types of orders at the same time. | 2. Trend data may differ from those previously published due to data revisions. | 3. This data should be interpreted with caution due to potential issues with recording and updating of custodial order details in Tasmania. | Source: AIHW Youth Justice National Minimum Dataset (YJ NMDS) 2000–01 to 2024–25."
