table,title,category,jurisdiction,financial_year,value
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,WA,2020-21,4.607084170489461
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,WA,2021-22,4.546629712112539
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,WA,2022-23,4.589529484436451
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,WA,2023-24p,4.590302690130276
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,TAS,2018-19,3.834923759263802
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,TAS,2019-20,3.6082089638460566
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,TAS,2020-21,3.919574703004206
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,TAS,2021-22,4.103563342324587
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,TAS,2022-23,4.094953078330444
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,TAS,2023-24p,4.942629343861805
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,NT,2018-19,3.7551157260718706
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,NT,2019-20,3.2996890977482125
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,NT,2020-21,3.4210527152381354
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,NT,2021-22,2.9962995066769524
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,NT,2022-23,2.235797425923006
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,NT,2023-24p,1.1669284027758997
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,ACT,2018-19,3.701660238272559
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,ACT,2019-20,3.5359557495113005
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,ACT,2020-21,3.7276304227981174
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,ACT,2021-22,3.5083055525669518
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,ACT,2022-23,3.3402383278825205
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,ACT,2023-24p,3.4182468137399686
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,Aus Gov,2018-19,1.7284337813930983
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,Aus Gov,2019-20,1.910279876600155
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,Aus Gov,2020-21,1.9922364273184607
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,Aus Gov,2021-22,1.6664380612018048
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,Aus Gov,2022-23,1.5570136098067864
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,Aus Gov,2023-24p,1.4392761562860146
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,AUST Total,2018-19,3.745592964749104
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,AUST Total,2019-20,3.982393607625264
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,AUST Total,2020-21,4.36012292410645
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,AUST Total,2021-22,4.235703537510644
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,AUST Total,2022-23,4.387181249502222
Table 1.3,"Table 1.3. Incidence rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 3)",,AUST Total,2023-24p,4.297571332805048
Table 1.4,"Table 1.4. Frequency rates of long term (12 weeks or more compensation) claims by jurisdiction, 6-year to 2023-24p (Indicator 4)",,NSW,2018-19,2.256418818165538
