state_territory,data_type,indigenous_status,sex,fy_2011-12,fy_2012-13,fy_2013-14,fy_2014-15,fy_2015-16,fy_2016-17,fy_2017-18,fy_2018-19,fy_2019-20,fy_2020-21,fy_2021-22,fy_2022-23,fy_2023-24,fy_2024-25,avg_annual_change_pct__average_annual_change_per_cent_2011_12_to_2024_25
South Australia,"Clients (per 10,000 ERP)",Non-Indigenous clients,Males,72.7,75.9,77.9,74.1,74.5,73.4,69.7,69.4,65.5,62.1,60.9,68.2,65.6,59.4,-1.5
South Australia,"Clients (per 10,000 ERP)",Non-Indigenous clients,Females,98,105.9,109.8,108.2,108.8,108.9,101.5,99.2,95.5,92.4,91.7,99,94.6,89,-0.7
South Australia,"Clients (per 10,000 ERP)",Non-Indigenous clients,All clients,85.1,90.6,93.5,90.9,91.4,91,85.5,84.2,80.3,77.1,76.1,83.4,79.9,74.1,-1.1
South Australia,"Clients (per 10,000 ERP)",Rate ratio,Males,8,9,10.4,10.8,10.5,10,10.1,10.3,11,11.8,10.6,9.6,10.1,10.2,1.9
South Australia,"Clients (per 10,000 ERP)",Rate ratio,Females,9.1,10,10.9,11.4,11.1,10.8,11.3,11.1,11.7,11.8,11,10.2,11.2,11.1,1.5
South Australia,"Clients (per 10,000 ERP)",Rate ratio,All clients,8.6,9.6,10.7,11.2,10.9,10.5,10.9,10.8,11.4,11.8,10.9,10,10.8,10.7,1.7
,,,,,,,,,,,,,,,,,,
Tasmania,Clients (number),Indigenous clients,Males,405,343,415,458,468,512,418,417,423,416,450,443,514,480,1.3
Tasmania,Clients (number),Indigenous clients,Females,467,448,486,587,581,616,507,527,560,569,656,680,705,699,3.1
Tasmania,Clients (number),Indigenous clients,All clients,872,791,901,1046,1049,1128,925,944,983,985,1106,1123,1219,1179,2.3
Tasmania,Clients (number),Non-Indigenous clients,Males,2193,2035,2393,2675,3029,3028,2376,2428,2345,2408,2499,2384,2404,2251,0.2
Tasmania,Clients (number),Non-Indigenous clients,Females,2355,2221,2648,3104,3195,3200,2856,2954,2993,3029,3265,3060,2914,2810,1.4
Tasmania,Clients (number),Non-Indigenous clients,All clients,4549,4255,5041,5779,6225,6228,5232,5382,5338,5437,5764,5444,5318,5061,0.8
Tasmania,Clients (number),Not stated,Males,334,264,319,255,284,220,176,147,56,65,52,40,57,38,-15.4
Tasmania,Clients (number),Not stated,Females,393,274,353,248,301,213,175,150,67,80,55,65,78,45,-15.4
Tasmania,Clients (number),Not stated,All clients,727,539,673,503,585,432,351,297,123,145,107,105,135,83,-15.4
Tasmania,Support periods (number),Indigenous clients,Males,587,470,664,792,971,1042,814,817,864,829,955,997,1175,792,2.3
