section,category,subcategory,unit,financial_year,state,measure,value
Tourism connected industries,Tourism GVA,Other retail trade,,2023-24,WA,$m,748.9932
Tourism connected industries,Tourism GVA,Other retail trade,,2023-24,WA,%,9.23087525834053
Tourism connected industries,Tourism GVA,Other retail trade,,2023-24,Tas,$m,228.184
Tourism connected industries,Tourism GVA,Other retail trade,,2023-24,Tas,%,2.8122258519158456
Tourism connected industries,Tourism GVA,Other retail trade,,2023-24,NT,$m,114.203
Tourism connected industries,Tourism GVA,Other retail trade,,2023-24,NT,%,1.4074809319073438
Tourism connected industries,Tourism GVA,Other retail trade,,2023-24,ACT,$m,190.9237
Tourism connected industries,Tourism GVA,Other retail trade,,2023-24,ACT,%,2.3530158332022637
Tourism connected industries,Tourism GVA,Other retail trade,,2023-24,Total(a),$m,8113.9998
Tourism connected industries,Tourism GVA,Education and training,,2023-24,NSW,$m,1538.6385
Tourism connected industries,Tourism GVA,Education and training,,2023-24,NSW,%,36.31433883205898
Tourism connected industries,Tourism GVA,Education and training,,2023-24,Vic,$m,1267.5638
Tourism connected industries,Tourism GVA,Education and training,,2023-24,Vic,%,29.916540710798696
Tourism connected industries,Tourism GVA,Education and training,,2023-24,Qld,$m,725.294
Tourism connected industries,Tourism GVA,Education and training,,2023-24,Qld,%,17.118102834980004
Tourism connected industries,Tourism GVA,Education and training,,2023-24,SA,$m,183.7352
Tourism connected industries,Tourism GVA,Education and training,,2023-24,SA,%,4.336445700647763
Tourism connected industries,Tourism GVA,Education and training,,2023-24,WA,$m,305.5261
Tourism connected industries,Tourism GVA,Education and training,,2023-24,WA,%,7.210906471817476
Tourism connected industries,Tourism GVA,Education and training,,2023-24,Tas,$m,60.504
Tourism connected industries,Tourism GVA,Education and training,,2023-24,Tas,%,1.4279915371251248
Tourism connected industries,Tourism GVA,Education and training,,2023-24,NT,$m,40.3551
Tourism connected industries,Tourism GVA,Education and training,,2023-24,NT,%,0.9524451487478205
Tourism connected industries,Tourism GVA,Education and training,,2023-24,ACT,$m,115.3831
Tourism connected industries,Tourism GVA,Education and training,,2023-24,ACT,%,2.7232264036635923
Tourism connected industries,Tourism GVA,Education and training,,2023-24,Total(a),$m,4236.9999
Tourism connected industries,Tourism GVA,Total tourism connected industries,,2023-24,NSW,$m,4499.0099
Tourism connected industries,Tourism GVA,Total tourism connected industries,,2023-24,NSW,%,34.14808351001329
Tourism connected industries,Tourism GVA,Total tourism connected industries,,2023-24,Vic,$m,3289.6335
Tourism connected industries,Tourism GVA,Total tourism connected industries,,2023-24,Vic,%,24.968755786764834
Tourism connected industries,Tourism GVA,Total tourism connected industries,,2023-24,Qld,$m,2772.6492
