sex,year,age_group,unit,value
Persons,2015,35–44 years,"Victimisation rate (number per 100,000)",60.9
Persons,2015,45–54 years,"Victimisation rate (number per 100,000)",42.8
Persons,2015,55–64 years,"Victimisation rate (number per 100,000)",20.3
Persons,2015,65 years and over,"Victimisation rate (number per 100,000)",7.5
Persons,2015,Total,"Victimisation rate (number per 100,000)",92.2
Females,2016,0–9 years,"Victimisation rate (number per 100,000)",119.3
Females,2016,10–17 years,"Victimisation rate (number per 100,000)",665.2
Females,2016,18–24 years,"Victimisation rate (number per 100,000)",291.9
Females,2016,25–34 years,"Victimisation rate (number per 100,000)",149.9
Females,2016,35–44 years,"Victimisation rate (number per 100,000)",107.9
Females,2016,45–54 years,"Victimisation rate (number per 100,000)",72.5
Females,2016,55–64 years,"Victimisation rate (number per 100,000)",25.6
Females,2016,65 years and over,"Victimisation rate (number per 100,000)",12.0
Females,2016,Total,"Victimisation rate (number per 100,000)",154.7
Males,2016,0–9 years,"Victimisation rate (number per 100,000)",64.8
Males,2016,10–17 years,"Victimisation rate (number per 100,000)",112.7
Males,2016,18–24 years,"Victimisation rate (number per 100,000)",32.1
Males,2016,25–34 years,"Victimisation rate (number per 100,000)",20.5
Males,2016,35–44 years,"Victimisation rate (number per 100,000)",22.9
Males,2016,45–54 years,"Victimisation rate (number per 100,000)",23.1
Males,2016,55–64 years,"Victimisation rate (number per 100,000)",12.7
Males,2016,65 years and over,"Victimisation rate (number per 100,000)",4.3
Males,2016,Total,"Victimisation rate (number per 100,000)",34.2
Persons,2016,0–9 years,"Victimisation rate (number per 100,000)",91.6
Persons,2016,10–17 years,"Victimisation rate (number per 100,000)",381.6
Persons,2016,18–24 years,"Victimisation rate (number per 100,000)",159.3
Persons,2016,25–34 years,"Victimisation rate (number per 100,000)",85.5
Persons,2016,35–44 years,"Victimisation rate (number per 100,000)",65.7
Persons,2016,45–54 years,"Victimisation rate (number per 100,000)",48.1
Persons,2016,55–64 years,"Victimisation rate (number per 100,000)",19.4
Persons,2016,65 years and over,"Victimisation rate (number per 100,000)",8.3
Persons,2016,Total,"Victimisation rate (number per 100,000)",95.3
Females,2017,0–9 years,"Victimisation rate (number per 100,000)",125.2
Females,2017,10–17 years,"Victimisation rate (number per 100,000)",744.2
Females,2017,18–24 years,"Victimisation rate (number per 100,000)",327.8
Females,2017,25–34 years,"Victimisation rate (number per 100,000)",169.4
Females,2017,35–44 years,"Victimisation rate (number per 100,000)",116.2
Females,2017,45–54 years,"Victimisation rate (number per 100,000)",75.5
Females,2017,55–64 years,"Victimisation rate (number per 100,000)",34.0
Females,2017,65 years and over,"Victimisation rate (number per 100,000)",12.4
Females,2017,Total,"Victimisation rate (number per 100,000)",171.4
Males,2017,0–9 years,"Victimisation rate (number per 100,000)",59.4
Males,2017,10–17 years,"Victimisation rate (number per 100,000)",118.7
Males,2017,18–24 years,"Victimisation rate (number per 100,000)",35.8
Males,2017,25–34 years,"Victimisation rate (number per 100,000)",21.5
Males,2017,35–44 years,"Victimisation rate (number per 100,000)",25.7
Males,2017,45–54 years,"Victimisation rate (number per 100,000)",29.6
Males,2017,55–64 years,"Victimisation rate (number per 100,000)",20.9
Males,2017,65 years and over,"Victimisation rate (number per 100,000)",6.0
