sex,year,age_at_report,unit,value
Persons,2017,10–17 years,Proportion of total victims,31.3
Persons,2017,Under 18 years,Proportion of total victims,36.3
Persons,2017,18–24 years,Proportion of total victims,26
Persons,2017,25–34 years,Proportion of total victims,34.1
Persons,2017,35–44 years,Proportion of total victims,38.4
Persons,2017,45–54 years,Proportion of total victims,32.7
Persons,2017,55–64 years,Proportion of total victims,24
Persons,2017,65 years and over,Proportion of total victims,17.8
Persons,2017,18 years and over,Proportion of total victims,30.9
Persons,2018,0–9 years,Proportion of total victims,52.5
Persons,2018,10–17 years,Proportion of total victims,30.5
Persons,2018,Under 18 years,Proportion of total victims,35.1
Persons,2018,18–24 years,Proportion of total victims,25.7
Persons,2018,25–34 years,Proportion of total victims,35.1
Persons,2018,35–44 years,Proportion of total victims,41.1
Persons,2018,45–54 years,Proportion of total victims,35.7
Persons,2018,55–64 years,Proportion of total victims,27.8
Persons,2018,65 years and over,Proportion of total victims,13.8
Persons,2018,18 years and over,Proportion of total victims,32
Persons,2019,0–9 years,Proportion of total victims,51.1
Persons,2019,10–17 years,Proportion of total victims,29.7
Persons,2019,Under 18 years,Proportion of total victims,34.2
Persons,2019,18–24 years,Proportion of total victims,26.1
Persons,2019,25–34 years,Proportion of total victims,37.3
Persons,2019,35–44 years,Proportion of total victims,40.6
Persons,2019,45–54 years,Proportion of total victims,36.6
Persons,2019,55–64 years,Proportion of total victims,27
Persons,2019,65 years and over,Proportion of total victims,20.6
Persons,2019,18 years and over,Proportion of total victims,32.8
Persons,2020,0–9 years,Proportion of total victims,57.5
Persons,2020,10–17 years,Proportion of total victims,34.8
Persons,2020,Under 18 years,Proportion of total victims,39.1
Persons,2020,18–24 years,Proportion of total victims,29.5
Persons,2020,25–34 years,Proportion of total victims,36.2
Persons,2020,35–44 years,Proportion of total victims,43.8
Persons,2020,45–54 years,Proportion of total victims,40.6
Persons,2020,55–64 years,Proportion of total victims,30.5
Persons,2020,65 years and over,Proportion of total victims,17
Persons,2020,18 years and over,Proportion of total victims,34.9
Persons,2021,0–9 years,Proportion of total victims,58.1
Persons,2021,10–17 years,Proportion of total victims,34.4
Persons,2021,Under 18 years,Proportion of total victims,38
Persons,2021,18–24 years,Proportion of total victims,29.9
Persons,2021,25–34 years,Proportion of total victims,37.7
Persons,2021,35–44 years,Proportion of total victims,43.1
Persons,2021,45–54 years,Proportion of total victims,38.8
Persons,2021,55–64 years,Proportion of total victims,29.9
Persons,2021,65 years and over,Proportion of total victims,16.6
Persons,2021,18 years and over,Proportion of total victims,35.2
Persons,2022,0–9 years,Proportion of total victims,56.3
Persons,2022,10–17 years,Proportion of total victims,33.9
Persons,2022,Under 18 years,Proportion of total victims,37.2
Persons,2022,18–24 years,Proportion of total victims,30.3
Persons,2022,25–34 years,Proportion of total victims,39.6
Persons,2022,35–44 years,Proportion of total victims,41.8
Persons,2022,45–54 years,Proportion of total victims,38.8
Persons,2022,55–64 years,Proportion of total victims,32
Persons,2022,65 years and over,Proportion of total victims,17.7
Persons,2022,18 years and over,Proportion of total victims,35.8
Persons,2023,0–9 years,Proportion of total victims,58.3
Persons,2023,10–17 years,Proportion of total victims,35.9
Persons,2023,Under 18 years,Proportion of total victims,39.4
Persons,2023,18–24 years,Proportion of total victims,31.7
Persons,2023,25–34 years,Proportion of total victims,40.8
Persons,2023,35–44 years,Proportion of total victims,45.5
Persons,2023,45–54 years,Proportion of total victims,41
Persons,2023,55–64 years,Proportion of total victims,36.5
