sex,year,experience_of_violence,sex_of_perpetrator,relationship_with_perpetrator,police_contact,unit,value,rse,95_moe,lower_ci,upper_ci,data_flag
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not want to ask for help,Proportion,10.9,n.a.,3.0,7.9,13.9,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because workplace/on the job incident - internal reporting procedures followed,Proportion,0.8,n.a.,n.p.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because cultural/language reasons,Proportion,0.7,n.a.,n.p.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because fear of the person responsible,Proportion,21.2,n.a.,4.1,17.1,25.3,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because fear of legal processes,Proportion,7.1,n.a.,2.3,4.8,9.4,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because felt they would not be believed,Proportion,6.9,n.a.,3.0,3.9,9.9,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not think the police would be able to do anything,Proportion,10.0,n.a.,2.7,7.3,12.7,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted because did not trust the police,Proportion,3.5,n.a.,1.5,2.0,5.0,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Intimate partner,Police not contacted,Proportion,66.6,n.a.,2.8,63.8,69.4,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Intimate partner,Police contacted,Proportion,33.1,n.a.,4.6,28.5,37.7,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Other family member,Police not contacted,Proportion,76.3,n.a.,11.1,65.2,87.4,#
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Other family member,Police contacted,Proportion,22.8,n.a.,9.4,13.4,32.2,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police not contacted,Proportion,67.9,n.a.,3.1,64.8,71.0,
Females,2016,Most recent incident of physical assault in the last 10 years,By a male,Family and domestic total,Police contacted,Proportion,32.3,n.a.,4.1,28.2,36.4,
Females,2016,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police contacted,Proportion,13.4,n.a.,2.9,10.5,16.3,
