sex,period,type_of_homicide,unit,value,data_flag
Females,1992–93,Intimate partner,"Rate (Number per 100,000)",0.99,
Females,1993–94,Intimate partner,"Rate (Number per 100,000)",0.81,
Females,1994–95,Intimate partner,"Rate (Number per 100,000)",1.02,
Females,1995–96,Intimate partner,"Rate (Number per 100,000)",0.72,
Females,1996–97,Intimate partner,"Rate (Number per 100,000)",0.69,
Females,1997–98,Intimate partner,"Rate (Number per 100,000)",0.68,
Females,1998–99,Intimate partner,"Rate (Number per 100,000)",0.73,
Females,1999–2000,Intimate partner,"Rate (Number per 100,000)",0.72,
Females,2000–01,Intimate partner,"Rate (Number per 100,000)",0.86,
Females,2001–02,Intimate partner,"Rate (Number per 100,000)",1.01,
Females,2002–03,Intimate partner,"Rate (Number per 100,000)",0.76,
Females,2003–04,Intimate partner,"Rate (Number per 100,000)",0.65,
Females,2004–05,Intimate partner,"Rate (Number per 100,000)",0.61,
Females,2005–06,Intimate partner,"Rate (Number per 100,000)",0.77,
Females,2006–07,Intimate partner,"Rate (Number per 100,000)",0.51,
Females,2007–08,Intimate partner,"Rate (Number per 100,000)",0.80,
Females,2008–09,Intimate partner,"Rate (Number per 100,000)",0.59,
Females,2009–10,Intimate partner,"Rate (Number per 100,000)",0.52,
Females,2010–11,Intimate partner,"Rate (Number per 100,000)",0.43,
Females,2011–12,Intimate partner,"Rate (Number per 100,000)",0.53,
Females,2012–13,Intimate partner,"Rate (Number per 100,000)",0.58,
Females,2013–14,Intimate partner,"Rate (Number per 100,000)",0.51,
Females,2014–15,Intimate partner,"Rate (Number per 100,000)",0.46,
Females,2015–16,Intimate partner,"Rate (Number per 100,000)",0.41,
Females,2016–17,Intimate partner,"Rate (Number per 100,000)",0.43,
Females,2017–18,Intimate partner,"Rate (Number per 100,000)",0.35,
Females,2018–19,Intimate partner,"Rate (Number per 100,000)",0.34,
Females,2019–20,Intimate partner,"Rate (Number per 100,000)",0.37,
Females,2020–21,Intimate partner,"Rate (Number per 100,000)",0.27,
Females,2021–22,Intimate partner,"Rate (Number per 100,000)",0.25,
Females,2022–23,Intimate partner,"Rate (Number per 100,000)",0.34,
Females,2023–24,Intimate partner,"Rate (Number per 100,000)",0.45,
Females,2024–25,Intimate partner,"Rate (Number per 100,000)",0.29,
Males,1989–90,Domestic,"Rate (Number per 100,000)",0.59,
Males,1990–91,Domestic,"Rate (Number per 100,000)",0.48,
Males,1991–92,Domestic,"Rate (Number per 100,000)",0.42,
Males,1992–93,Domestic,"Rate (Number per 100,000)",0.58,
Males,1993–94,Domestic,"Rate (Number per 100,000)",0.71,
Males,1994–95,Domestic,"Rate (Number per 100,000)",0.72,
Males,1995–96,Domestic,"Rate (Number per 100,000)",0.57,
Males,1996–97,Domestic,"Rate (Number per 100,000)",0.55,
Males,1997–98,Domestic,"Rate (Number per 100,000)",0.62,
Males,1998–99,Domestic,"Rate (Number per 100,000)",0.45,
Males,1999–2000,Domestic,"Rate (Number per 100,000)",0.61,
Males,2000–01,Domestic,"Rate (Number per 100,000)",0.33,
Males,2001–02,Domestic,"Rate (Number per 100,000)",0.73,
Males,2002–03,Domestic,"Rate (Number per 100,000)",0.55,
Males,2003–04,Domestic,"Rate (Number per 100,000)",0.48,
Males,2004–05,Domestic,"Rate (Number per 100,000)",0.52,
Males,2005–06,Domestic,"Rate (Number per 100,000)",0.48,
Males,2006–07,Domestic,"Rate (Number per 100,000)",0.54,
Males,2007–08,Domestic,"Rate (Number per 100,000)",0.54,
Males,2008–09,Domestic,"Rate (Number per 100,000)",0.27,
Males,2009–10,Domestic,"Rate (Number per 100,000)",0.42,
Males,2010–11,Domestic,"Rate (Number per 100,000)",0.34,
Males,2011–12,Domestic,"Rate (Number per 100,000)",0.36,
Males,2012–13,Domestic,"Rate (Number per 100,000)",0.38,
Males,2013–14,Domestic,"Rate (Number per 100,000)",0.28,
Males,2014–15,Domestic,"Rate (Number per 100,000)",0.41,
Males,2015–16,Domestic,"Rate (Number per 100,000)",0.33,
Males,2016–17,Domestic,"Rate (Number per 100,000)",0.37,
