year,offence,location,unit,value
2022,Homicide and related offences,Queensland,Proportion,n.p.
2022,Homicide and related offences,South Australia,Proportion,n.p.
2022,Homicide and related offences,Northern Territory,Proportion,n.p.
2022,Kidnapping/abduction,New South Wales,Proportion,n.p.
2022,Kidnapping/abduction,Queensland,Proportion,n.p.
2022,Kidnapping/abduction,South Australia,Proportion,n.p.
2022,Kidnapping/abduction,Northern Territory,Proportion,n.p.
2022,Sexual assault,New South Wales,Proportion,41.7
2022,Sexual assault,Queensland,Proportion,39.7
2022,Sexual assault,South Australia,Proportion,47.5
2022,Sexual assault,Northern Territory,Proportion,40.9
2023,Assault,New South Wales,Proportion,65.5
2023,Assault,Queensland,Proportion,80.8
2023,Assault,South Australia,Proportion,71.1
2023,Assault,Northern Territory,Proportion,81.5
2023,Homicide and related offences,New South Wales,Proportion,n.p.
2023,Homicide and related offences,Queensland,Proportion,n.p.
2023,Homicide and related offences,South Australia,Proportion,n.p.
2023,Homicide and related offences,Northern Territory,Proportion,n.p.
2023,Kidnapping/abduction,New South Wales,Proportion,n.p.
2023,Kidnapping/abduction,Queensland,Proportion,n.p.
2023,Kidnapping/abduction,South Australia,Proportion,n.p.
2023,Kidnapping/abduction,Northern Territory,Proportion,n.p.
2023,Sexual assault,New South Wales,Proportion,47.7
2023,Sexual assault,Queensland,Proportion,43.8
2023,Sexual assault,South Australia,Proportion,45.2
2023,Sexual assault,Northern Territory,Proportion,34.1
2024,Assault,New South Wales,Proportion,67.1
2024,Assault,Queensland,Proportion,73.1
2024,Assault,South Australia,Proportion,74.4
2024,Assault,Northern Territory,Proportion,n.p.
2024,Homicide and related offences,New South Wales,Proportion,n.p.
2024,Homicide and related offences,Queensland,Proportion,n.p.
2024,Homicide and related offences,South Australia,Proportion,n.p.
2024,Homicide and related offences,Northern Territory,Proportion,n.p.
2024,Kidnapping/abduction,New South Wales,Proportion,n.p.
2024,Kidnapping/abduction,Queensland,Proportion,n.p.
2024,Kidnapping/abduction,South Australia,Proportion,n.p.
2024,Kidnapping/abduction,Northern Territory,Proportion,n.p.
