date,item,is_cpi_group_level,index_number,annual_pct_change,monthly_pct_change
2026-02,Automotive fuel,False,,-7.9,-0.1
2026-03,Automotive fuel,False,,27.2,37.6
2026-04,Automotive fuel,False,,19.4,-6.5
2026-05,Automotive fuel,False,,6,-13.1
2017-10,Beef and veal,False,,,0
2017-11,Beef and veal,False,,,0.3
2017-12,Beef and veal,False,,,-0.8
2018-01,Beef and veal,False,,,1.2
2018-02,Beef and veal,False,,,0
2018-03,Beef and veal,False,,,0.2
2018-04,Beef and veal,False,,,0.1
2018-05,Beef and veal,False,,,-1.3
2018-06,Beef and veal,False,,,-0.3
2018-07,Beef and veal,False,,,-0.3
2018-08,Beef and veal,False,,,1.8
2018-09,Beef and veal,False,,1,0.2
2018-10,Beef and veal,False,,1.8,0.8
2018-11,Beef and veal,False,,1.7,0.2
2018-12,Beef and veal,False,,2.4,-0.1
2019-01,Beef and veal,False,,2.2,1
2019-02,Beef and veal,False,,4.1,1.9
2019-03,Beef and veal,False,,4.5,0.6
2019-04,Beef and veal,False,,3.4,-0.9
2019-05,Beef and veal,False,,5.8,1
2019-06,Beef and veal,False,,7.4,1.1
2019-07,Beef and veal,False,,8.4,0.6
2019-08,Beef and veal,False,,7.7,1.1
2019-09,Beef and veal,False,,8.9,1.4
2019-10,Beef and veal,False,,10.1,1.9
2019-11,Beef and veal,False,,9.5,-0.3
2019-12,Beef and veal,False,,12,2.1
2020-01,Beef and veal,False,,12.6,1.5
2020-02,Beef and veal,False,,11.5,0.8
2020-03,Beef and veal,False,,14.5,3.3
2020-04,Beef and veal,False,,12,-3.1
2020-05,Beef and veal,False,,13.9,2.7
2020-06,Beef and veal,False,,14.2,1.3
2020-07,Beef and veal,False,,14.2,0.7
2020-08,Beef and veal,False,,13.4,0.4
2020-09,Beef and veal,False,,10.7,-1
2020-10,Beef and veal,False,,10,1.2
2020-11,Beef and veal,False,,10.9,0.4
2020-12,Beef and veal,False,,12.3,3.4
2021-01,Beef and veal,False,,12.2,1.4
