table,table_title,row_group_1,row_group_2,row_label,column,value
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2018,Aboriginal and Torres Strait Islander,691
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2018,Non-Indigenous,6969
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2018,Known prior imprisonment - Proportion (%),50.2
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2018,Unsentenced,35.3
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2018,Male imprisonment rate (e),289.8
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2018,Female imprisonment rate (e),22
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2018,Total imprisonment rate (e),153.1
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2019,Total prisoners (d) - Number,8101
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2019,Males,7525
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2019,Females,578
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2019,Aboriginal and Torres Strait Islander,840
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2019,Non-Indigenous,7248
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2019,Known prior imprisonment - Proportion (%),50.1
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2019,Unsentenced,36.7
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2019,Male imprisonment rate (e),300.6
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2019,Female imprisonment rate (e),22.2
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2019,Total imprisonment rate (e),158.5
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2020,Total prisoners (d) - Number,7149
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2020,Males,6748
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2020,Females,401
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2020,Aboriginal and Torres Strait Islander,722
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2020,Non-Indigenous,6350
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2020,Known prior imprisonment - Proportion (%),50.7
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2020,Unsentenced,34.7
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2020,Male imprisonment rate (e),265.2
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2020,Female imprisonment rate (e),15.1
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2020,Total imprisonment rate (e),137.6
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2021,Total prisoners (d) - Number,7248
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2021,Males,6837
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2021,Females,409
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2021,Aboriginal and Torres Strait Islander,768
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2021,Non-Indigenous,6318
