table,table_title,row_group_1,row_group_2,row_label,column,value
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Median age (years),,Persons,Aust.,36.6
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Sex,Males,NSW,93.1
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Sex,Males,Vic.,94.5
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Sex,Males,Qld,90.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Sex,Males,SA,91.7
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Sex,Males,WA,89.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Sex,Males,Tas.,91.7
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Sex,Males,NT,92.8
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Sex,Males,ACT,97
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Sex,Males,Aust.,91.9
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Sex,Females,NSW,6.9
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Sex,Females,Vic.,5.5
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Sex,Females,Qld,9.5
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Sex,Females,SA,8.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Sex,Females,WA,10.7
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Sex,Females,Tas.,8.5
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Sex,Females,NT,7.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Sex,Females,ACT,3.7
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Sex,Females,Aust.,8.2
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Aboriginal and Torres Strait Islander,NSW,34.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Proportion (%),Indigenous status,Aboriginal and Torres Strait Islander,Vic.,13.9
