"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Law_Enforced","Court_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust cts","Aust"
"7A.21","2020-21","Backlog","All ages","All people","All people","All areas","Civil","Coroners'","","Backlog; civil; at 30 June","","Coroners' courts","","","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","12.1","16.2","14.2","7.7","9.6","19.8","20.5","22.7","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","341","276","130","119","63","64","27","50","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","40","56","26","23","13","15","2","12","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","9","7","5","5","2","4","0","2","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","11.7","20.3","20.0","19.3","20.6","23.4","7.4","24.0","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","2.6","2.5","3.8","4.2","3.2","6.3","0","4.0","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","5914","4536","2571","2082","710","668","580","124","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","2121","1592","747","691","220","279","167","52","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Non-appeal","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","937","750","217","256","77","167","35","17","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","35.9","35.1","29.1","33.2","31.0","41.8","28.8","41.9","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","15.8","16.5","8.4","12.3","10.8","25.0","6.0","13.7","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal and non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","6255","4812","2701","2201","773","732","607","174","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","2161","1648","773","714","233","294","169","64","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal and non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","946","757","222","261","79","171","35","19","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","34.5","34.2","28.6","32.4","30.1","40.2","27.8","36.8","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal and non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","15.1","15.7","8.2","11.9","10.2","23.4","5.8","10.9","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","23","2","107","44","23","..","..","..","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","2","1","41","4","1","..","..","..","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","0","1","20","1","0","..","..","..","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","8.7","50.0","38.3","9.1","4.3","..","..","..","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","0","50.0","18.7","2.3","0","..","..","..","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","5360","6896","4403","4595","2064","..","..","..","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","958","2091","1040","1868","1024","..","..","..","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Non-appeal","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","197","721","215","699","433","..","..","..","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","17.9","30.3","23.6","40.7","49.6","..","..","..","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","3.7","10.5","4.9","15.2","21.0","..","..","..","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal and non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","5383","6898","4510","4639","2087","..","..","..","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","960","2092","1081","1872","1025","..","..","..","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal and non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","197","722","235","700","433","..","..","..","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","17.8","30.3","24.0","40.4","49.1","..","..","..","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal and non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","3.7","10.5","5.2","15.1","20.7","..","..","..","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Magistrates' (excl. children's)","","Backlog; civil; at 30 June","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","Appeal and non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","53174","21978","21595","11902","11272","2989","1209","500","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Magistrates' (excl. children's)","","Backlog; civil; at 30 June","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","Appeal and non-appeal","Cases >6 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","15692","8220","10114","4667","5926","1561","350","308","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Magistrates' (excl. children's)","","Backlog; civil; at 30 June","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","Appeal and non-appeal","Cases >12 months","Australian state and territory court authorities and departments (unpublished)","no.","1546","4798","2628","1222","1997","477","88","142","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Magistrates' (excl. children's)","","Backlog; civil; at 30 June","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","Appeal and non-appeal","Cases >6 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","29.5","37.4","46.8","39.2","52.6","52.2","28.9","61.6","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Magistrates' (excl. children's)","","Backlog; civil; at 30 June","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","2.9","21.8","12.2","10.3","17.7","16.0","7.3","28.4","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Children's","","Backlog; civil; at 30 June","","Magistrates' courts","Children's courts","Appeal and non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","4532","4385","2586","910","668","46","147","49","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Children's","","Backlog; civil; at 30 June","","Magistrates' courts","Children's courts","Appeal and non-appeal","Cases >6 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","1759","1661","1228","490","260","22","63","30","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Children's","","Backlog; civil; at 30 June","","Magistrates' courts","Children's courts","Appeal and non-appeal","Cases >12 months","Australian state and territory court authorities and departments (unpublished)","no.","259","551","490","184","88","14","16","0","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Children's","","Backlog; civil; at 30 June","","Magistrates' courts","Children's courts","Appeal and non-appeal","Cases >6 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","38.8","37.9","47.5","53.8","38.9","47.8","42.9","61.2","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Children's","","Backlog; civil; at 30 June","","Magistrates' courts","Children's courts","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","5.7","12.6","18.9","20.2","13.2","30.4","10.9","0","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","839",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","115",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","28",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","..","..","..","..","..","13.7",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","..","..","..","..","..","3.3",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","2586",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","1182",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Non-appeal","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","584",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","..","..","..","..","..","45.7",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","..","..","..","..","..","22.6",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal and non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","3425",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","1297",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal and non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","612",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","..","..","..","..","..","37.9",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Federal Court of Australia","","Backlog; civil; at 30 June","","Federal Court of Australia","","Appeal and non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","..","..","..","..","..","17.9",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Backlog; civil; at 30 June","","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","Appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","3","..","..","..","..","na",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Backlog; civil; at 30 June","","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","1","..","..","..","..","na",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Backlog; civil; at 30 June","","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","Appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","1","..","..","..","..","na",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Backlog; civil; at 30 June","","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","33.3","..","..","..","..","na",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Backlog; civil; at 30 June","","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","Appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","33.3","..","..","..","..","na",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Backlog; civil; at 30 June","","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","Non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","10364","..","..","..","..","na",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Backlog; civil; at 30 June","","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","3807","..","..","..","..","na",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Backlog; civil; at 30 June","","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","Non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","1437","..","..","..","..","na",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Backlog; civil; at 30 June","","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","36.7","..","..","..","..","na",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Family/FCFCOA (Division 1) and FCFCOA (Division 2)","","Backlog; civil; at 30 June","","WA Family court/FCFCOA (Division 1) and FCFCOA (Division 2)","Family law matters","Non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","13.9","..","..","..","..","na",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","FCFCOA (Division 2)","","Backlog; civil; at 30 June","","FCFCOA (Division 2)","Non-family law matters","Non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","na",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","FCFCOA (Division 2)","","Backlog; civil; at 30 June","","FCFCOA (Division 2)","Non-family law matters","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","na",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","FCFCOA (Division 2)","","Backlog; civil; at 30 June","","FCFCOA (Division 2)","Non-family law matters","Non-appeal","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","..","..","..","..","..","..","..","..","na",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","FCFCOA (Division 2)","","Backlog; civil; at 30 June","","FCFCOA (Division 2)","Non-family law matters","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","..","..","..","..","..","na",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","FCFCOA (Division 2)","","Backlog; civil; at 30 June","","FCFCOA (Division 2)","Non-family law matters","Non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","..","..","..","..","..","..","..","..","na",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Coroners'","","Backlog; civil; at 30 June","","Coroners' courts","","","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","3176","4602","2519","2067","2429","665","139","287","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Coroners'","","Backlog; civil; at 30 June","","Coroners' courts","","","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","786","1569","927","483","936","263","64","103","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Coroners'","","Backlog; civil; at 30 June","","Coroners' courts","","","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","354","545","373","158","194","117","44","72","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Coroners'","","Backlog; civil; at 30 June","","Coroners' courts","","","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","24.7","34.1","36.8","23.4","38.5","39.5","46.0","35.9","..",""
"7A.21","2019-20","Backlog","All ages","All people","All people","All areas","Civil","Coroners'","","Backlog; civil; at 30 June","","Coroners' courts","","","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","11.1","11.8","14.8","7.6","8.0","17.6","31.7","25.1","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","349","275","128","103","99","56","35","42","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","45","21","13","19","34","8","12","5","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","12","4","1","0","3","3","1","2","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","12.9","7.6","10.2","18.4","34.3","14.3","34.3","11.9","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","3.4","1.5","0.8","0","3.0","5.4","2.9","4.8","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","5948","4103","2575","2413","716","784","588","102","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","1925","1286","691","738","194","325","157","23","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Non-appeal","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","824","539","234","261","95","178","29","8","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","32.4","31.3","26.8","30.6","27.1","41.5","26.7","22.5","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","13.9","13.1","9.1","10.8","13.3","22.7","4.9","7.8","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal and non-appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","6297","4378","2703","2516","815","840","623","144","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","1970","1307","704","757","228","333","169","28","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal and non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","836","543","235","261","98","181","30","10","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal and non-appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","31.3","29.9","26.0","30.1","28.0","39.6","27.1","19.4","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Backlog; civil; at 30 June","","Supreme courts (excl. probate)","","Appeal and non-appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","13.3","12.4","8.7","10.4","12.0","21.5","4.8","6.9","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal","Pending case load","Derived from Australian state and territory court authorities and departments (unpublished)","no.","33","10","76","44","29","..","..","..","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","no.","3","1","25","4","5","..","..","..","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal","Cases >24 months","Australian state and territory court authorities and departments (unpublished)","no.","0","1","13","2","0","..","..","..","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal","Cases >12 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","9.1","10.0","32.9","9.1","17.2","..","..","..","..",""
"7A.21","2018-19","Backlog","All ages","All people","All people","All areas","Civil","District/county","","Backlog; civil; at 30 June","","District/county courts","","Appeal","Cases >24 months","Derived from Australian state and territory court authorities and departments (unpublished)","%","0","10.0","17.1","4.5","0","..","..","..","..",""
