financial_year,housing_type,local_government_area,is_total_row,total_households,number_of_household_members,aboriginal_households,households_with_person_with_disability,average_market_rent_of_occupied_dwellings_30_june,average_rent_changed_30_june,paying_less_than_market_rent,single_person,single_parent_with_dependent_children,couple_only,couple_with_dependent_children,group_or_mixed_composition,has_child_under_15_years,has_child_under_5_years,has_adult_65_years_or_more,younger_person_main_tenant_under_25_years,overcrowded_households,underutilised_households,under_3_years,3_to_9_years,10_or_more_years,aged_pension,disability_support_pension,job_seeker,other_government_payment,employee_cash_income_or_wages,other_cash_income,income_not_stated
2020-21,Public Housing,District Council Lower Eyre Peninsula,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,District Council of Ceduna,False,55,150,40,20,246.71698113207546,152.08490566037736,50,20,20,5,5,5,25,10,10,0,5,25,25,25,5,10,10,10,20,5,0,5
2020-21,Public Housing,District Council of Cleve,False,10,15,0,5,181.25,131.33749999999998,5,5,0,0,0,0,0,0,5,0,0,5,0,0,5,0,5,0,0,0,0,0
2020-21,Public Housing,District Council of Coober Pedy,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,District Council of Elliston,False,5,5,0,5,119,102.9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,Public Housing,District Council of Franklin Harbour,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,District Council of Loxton Waikerie,False,145,240,10,65,175.53846153846155,130.66853146853146,115,95,15,15,5,15,15,5,65,5,5,40,40,40,60,45,45,15,10,5,0,25
2020-21,Public Housing,District Council of Mount Remarkable,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,District Council of Orroroo Carrieton,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,District Council of Peterborough,False,25,35,0,20,134.95652173913044,118.19565217391305,10,15,0,0,0,0,0,0,10,0,0,10,5,5,15,0,10,0,0,0,0,5
