financial_year,housing_type,local_government_area,is_total_row,number_of_dwellings,rate_per_10_000_of_all_residential_dwellings,tenantable_dwellings,untenantable_dwellings_or_undergoing_major_redevelopment,number_of_occupied_dwellings,pct_of_tenantable_dwellings_that_are_occupied,average_market_rent_of_dwelling_30_june,1_or_2_bedrooms,3_bedrooms,4_or_more_bedrooms,separate_houses,semi_detached,flat_unit_or_apartment
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Ceduna,False,60,306.2465039878792,60,0,55,0.9166666666666666,230.67741935483872,10,45,5,55,5,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Cleve,False,0,0,0,0,0,,,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Coober Pedy,False,50,354.7916469140071,45,0,45,1,175.83333333333334,10,35,5,50,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Elliston,False,0,0,0,0,0,,,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Franklin Harbour,False,0,0,0,0,0,,,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Loxton Waikerie,False,5,7.073058962704839,5,0,5,1,231.5,0,5,0,5,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Mount Remarkable,False,0,0,0,0,0,,,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Orroroo Carrieton,False,0,0,0,0,0,,,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Peterborough,False,0,0,0,0,0,,,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Streaky Bay,False,0,0,0,0,0,,,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Tumby Bay,False,0,0,0,0,0,,,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Yankalilla,False,0,0,0,0,0,,,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Kangaroo Island Council,False,0,0,0,0,0,,,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Light Regional Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Mid Murray Council,False,5,8.649767172374162,5,0,5,1,236,0,5,0,5,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Mount Barker District Council,False,0,0,0,0,0,,,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Naracoorte Lucindale Council,False,0,0,0,0,0,,,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Northern Areas Council,False,0,0,0,0,0,,,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Out of Council Boundary,False,25,88.69182049639238,25,0,25,1,91.23076923076923,5,15,5,25,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Port Augusta City Council,False,135,203.09304054664284,130,5,125,0.9615384615384616,238.26470588235293,15,90,30,135,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Port Pirie Regional Council,False,5,8.27056792734233,5,0,5,1,226,0,5,0,5,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Regional Council of Goyder,False,0,0,0,0,0,,,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Renmark Paringa Council,False,10,19.770383593418924,10,0,10,1,217.77777777777777,0,5,0,10,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Southern Mallee District Council,False,0,0,0,0,0,,,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Tatiara District Council,False,0,0,0,0,0,,,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),The Barossa Council,False,0,0,0,0,0,,,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),The Flinders Ranges Council,False,10,125.26610840442932,10,0,10,1,168.5,0,10,5,10,0,0
