financial_year,housing_type,local_government_area,is_total_row,number_of_household_members,male,female,not_stated,birth_to_4_years,5_to_14_years,15_to_24_years,25_to_34_years,35_to_44_years,45_to_54_years,55_to_64_years,65_to_74_years,75_years_or_more
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Port Lincoln,False,235,100,130,0,15,75,30,20,30,30,15,15,10
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Prospect,False,40,20,20,0,5,5,5,0,5,10,5,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Salisbury,False,415,180,230,0,20,95,75,40,50,55,50,20,5
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Tea Tree Gully,False,125,50,70,0,5,35,15,15,15,20,10,5,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Unley,False,20,10,15,0,0,5,5,5,0,0,0,5,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of West Torrens,False,95,40,55,0,0,15,15,15,5,20,15,5,5
2019-20,State Owned and Managed Indigenous Housing (SOMIH),City of Whyalla,False,70,25,45,0,5,20,15,10,5,10,5,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Clare and Gilbert Valleys Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Coorong District Council,False,5,5,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Copper Coast Council,False,40,20,20,0,0,10,5,5,5,10,5,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Corporation of the Town of Walkerville,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council Lower Eyre Peninsula,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Ceduna,False,140,55,80,0,20,35,15,20,15,10,10,5,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Cleve,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Coober Pedy,False,130,60,70,0,10,40,25,15,10,20,10,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Elliston,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Franklin Harbour,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Loxton Waikerie,False,10,5,5,0,0,0,5,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Mount Remarkable,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Orroroo Carrieton,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Peterborough,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Streaky Bay,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Tumby Bay,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),District Council of Yankalilla,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Kangaroo Island Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Light Regional Council,False,5,5,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Mid Murray Council,False,15,5,10,0,0,5,5,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Mount Barker District Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Naracoorte Lucindale Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Northern Areas Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Out of Council Boundary,False,80,40,40,5,5,15,15,15,5,15,5,5,5
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Port Augusta City Council,False,360,155,200,5,15,100,55,35,35,50,35,25,5
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Port Pirie Regional Council,False,25,15,15,0,5,10,0,5,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Regional Council of Goyder,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Renmark Paringa Council,False,25,5,20,0,0,5,5,0,5,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Southern Mallee District Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Tatiara District Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),The Barossa Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),The Flinders Ranges Council,False,25,10,15,0,5,5,0,0,0,5,5,5,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),The Rural City of Murray Bridge,False,175,70,100,0,10,50,30,15,25,15,15,15,5
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Town of Gawler,False,20,10,10,0,0,5,5,0,0,5,5,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Wakefield Regional Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Wudinna District Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Yorke Peninsula Council,False,55,25,30,0,5,15,10,5,10,10,5,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Total - household members,True,3377,1456,1895,26,222,866,555,327,375,434,347,180,71
2019-20,State Owned and Managed Indigenous Housing (SOMIH),% Total - household members,True,1,0.43115190997927155,0.5611489487710986,0.007699141249629849,0.06573882143914717,0.25644062777613263,0.16434705359786794,0.09683150725496002,0.1110453064850459,0.12851643470535978,0.10275392360082913,0.05330174711282203,0.021024578027835358
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Adelaide Hills Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Adelaide Plains Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-21,State Owned and Managed Indigenous Housing (SOMIH),Alexandrina Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
