agency,period,executive_classification,headcount,is_total_row,source_file
Department of Human Services,2021-22,SAES2,6,False,dhs-annual-report-data-2021-22-executive-employment.csv
Department of Human Services,2022-23,EXEC0E,1,False,dhs-annual-report-data-2022-23-executive-employment.csv
Department of Human Services,2022-23,SAES1,22,False,dhs-annual-report-data-2022-23-executive-employment.csv
Department of Human Services,2022-23,SAES2,6,False,dhs-annual-report-data-2022-23-executive-employment.csv
Department of Human Services,2023-24,EXEC0E,1,False,dhs-annual-report-data-2023-24-executive-employment.csv
Department of Human Services,2023-24,SAES1,22,False,dhs-annual-report-data-2023-24-executive-employment.csv
Department of Human Services,2023-24,SAES2,6,False,dhs-annual-report-data-2023-24-executive-employment.csv
Department of Human Services,2024-25,EXEC0E,1,False,dhs-annual-report-data-2024-25-executive-employment.csv
Department of Human Services,2024-25,SAES1,27,False,dhs-annual-report-data-2024-25-executive-employment.csv
Department of Human Services,2024-25,SAES2,7,False,dhs-annual-report-data-2024-25-executive-employment.csv
Department of Primary Industries and Regions SA,2012/13,EXEC0F,1,False,pirsa-executive-employment-reporting-historical-data.csv
Department of Primary Industries and Regions SA,2012/13,SAES1,16,False,pirsa-executive-employment-reporting-historical-data.csv
Department of Primary Industries and Regions SA,2012/13,SAES2,8,False,pirsa-executive-employment-reporting-historical-data.csv
Department of Primary Industries and Regions SA,2013/14,EXEC0F,1,False,pirsa-executive-employment-reporting-historical-data.csv
Department of Primary Industries and Regions SA,2013/14,SAES1,16,False,pirsa-executive-employment-reporting-historical-data.csv
Department of Primary Industries and Regions SA,2014/15,EXEC0F,1,False,pirsa-executive-employment-reporting-historical-data.csv
Department of Primary Industries and Regions SA,2014/15,SAES1,16,False,pirsa-executive-employment-reporting-historical-data.csv
Department of Primary Industries and Regions SA,2014/15,SAES2,6,False,pirsa-executive-employment-reporting-historical-data.csv
Department of Primary Industries and Regions SA,2015/16,EXEC0F,1,False,pirsa-executive-employment-reporting-historical-data.csv
Department of Primary Industries and Regions SA,2015/16,SAES1,18,False,pirsa-executive-employment-reporting-historical-data.csv
Department of Primary Industries and Regions SA,2015/16,SAES2,2,False,pirsa-executive-employment-reporting-historical-data.csv
Department of Primary Industries and Regions SA,2016/17,EXEC0F,1,False,pirsa-executive-employment-reporting-historical-data.csv
Department of Primary Industries and Regions SA,2016/17,SAES1,17,False,pirsa-executive-employment-reporting-historical-data.csv
Department of Primary Industries and Regions SA,2016/17,SAES2,3,False,pirsa-executive-employment-reporting-historical-data.csv
Department of Primary Industries and Regions SA,2017/18,EXECOF,1,False,pirsa-executive-employment-reporting-in-2017-18.csv
Department of Primary Industries and Regions SA,2017/18,SAES1,17,False,pirsa-executive-employment-reporting-in-2017-18.csv
Department of Primary Industries and Regions SA,2017/18,SAES2,3,False,pirsa-executive-employment-reporting-in-2017-18.csv
Department of Primary Industries and Regions SA,2018/19,EXEC0F,1,False,pirsa-executive-employment-reporting-2018-19.csv
Department of Primary Industries and Regions SA,2018/19,SAES1,14,False,pirsa-executive-employment-reporting-2018-19.csv
Department of Primary Industries and Regions SA,2018/19,SAES2,3,False,pirsa-executive-employment-reporting-2018-19.csv
Department of Primary Industries and Regions SA,2019/20,EXEC0F,1,False,pirsa-executive-employment-reporting-2019-20.csv
Department of Primary Industries and Regions SA,2019/20,SAES1,14,False,pirsa-executive-employment-reporting-2019-20.csv
Department of Primary Industries and Regions SA,2019/20,SAES2,2,False,pirsa-executive-employment-reporting-2019-20.csv
