service_name,physical_address,physical_suburb,physical_state,physical_postcode,acpr_2018,care_type,residential_places,home_care_places,restorative_care_places,provider_name,organisation_type,abs_remoteness_category,mmm_2019_code,mmm_2019_category,sa2_2016_code,sa2_2016_name,sa3_2016_code,sa3_2016_name,lga_2023_name,lga_2023_code,phn_2017_code,phn_2017_name,latitude,longitude,funding_2024_25_aud
Wirraminna Care Residential Aged Care,Memorial Drive,WILLIAMSTOWN,SA,5351,"Yorke, Lower North & Barossa",Residential,35,,,Wirraminna Care Incorporated,Community Based,Inner Regional Australia,3,MM3 - Large Rural Towns,41112,Lyndoch,40501,Barossa,Barossa,40310,PHN402,Country SA,-34.669859,138.888330999999,4148605.61
Eldercare - South Park Minlaton,1 South Terrace,MINLATON,SA,5575,"Yorke, Lower North & Barossa",Residential,18,,,Eldercare Australia Ltd,Charitable,Outer Regional Australia,5,MM5 - Small Rural Towns,41127,Yorke Peninsula - North,40504,Yorke Peninsula,Yorke Peninsula,48830,PHN402,Country SA,-34.774574,137.593528999999,2142382.27
AnglicareSA Elizabeth - Dutton Court,33 Catalina Road,ELIZABETH EAST,SA,5112,Metropolitan North,Residential,75,,,Anglicare SA Ltd,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41031,Elizabeth East,40202,Playford,Playford,45680,PHN401,Adelaide,-34.7214439999999,138.675558999999,9283850.66
Morlancourt,18 Trafford Street,ANGLE PARK,SA,5010,Metropolitan West,Residential,61,,,RSL Care South Australia Incorporated,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41102,The Parks,40402,Port Adelaide - West,Port Adelaide Enfield,45890,PHN401,Adelaide,-34.8611099999999,138.557385,7356774.08
Aldinga Beach Care Community,10 PRIDHAM Boulevard,ALDINGA BEACH,SA,5173,Metropolitan South,Residential,118,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41072,Aldinga,40304,Onkaparinga,Onkaparinga,45340,PHN401,Adelaide,-35.2764299999999,138.461931999999,14327479.84
Bolton Clarke Smithfield,1 Warooka Drive,SMITHFIELD,SA,5114,Metropolitan North,Residential,74,,,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41034,Smithfield - Elizabeth North,40202,Playford,Playford,45680,PHN401,Adelaide,-34.68643,138.688051,9220268.21
Estia Health Aberfoyle Park,39 Campus Drive,ABERFOYLE PARK,SA,5159,Metropolitan South,Residential,92,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41071,Aberfoyle Park,40304,Onkaparinga,Onkaparinga,45340,PHN401,Adelaide,-35.068994,138.59521,10978489.26
Reynella Hillside Care Community,7 Railway Terrace,REYNELLA,SA,5161,Metropolitan South,Residential,89,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41086,Reynella,40304,Onkaparinga,Onkaparinga,45340,PHN401,Adelaide,-35.0869459999999,138.544736,10743977.09
Park Village,30 Shillabeer Road,ELIZABETH PARK,SA,5113,Metropolitan North,Residential,60,,,Clayton Church Homes Inc,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41031,Elizabeth East,40202,Playford,Playford,45680,PHN401,Adelaide,-34.7161869999999,138.683884,7533164
Warrina Park Residential Aged Care Service,59 George Street,PARADISE,SA,5075,Metropolitan East,Residential,52,,,Warrina Homes Inc,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41015,Paradise - Newton,40104,Campbelltown (SA),Campbelltown (SA),40910,PHN401,Adelaide,-34.868752,138.680570999999,5561047.36
Helping Hand Aged Care - Lealholme Port Pirie,15 Halliday Street,PORT PIRIE,SA,5540,Mid North,Residential,90,,,Helping Hand Aged Care Inc,Charitable,Outer Regional Australia,4,MM4 - Medium Rural Towns,41122,Port Pirie,40503,Mid North,Port Pirie,46450,PHN402,Country SA,-33.1968109999999,138.000181999999,11270646.98
Bolton Clarke Hillside,177 Longwood Road,HEATHFIELD,SA,5153,"Hills, Mallee & Southern",Residential,36,,,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41004,Aldgate - Stirling,40102,Adelaide Hills,Adelaide Hills,40120,PHN402,Country SA,-35.024948,138.720124999999,4044416.31
Eldercare Cottage Grove,150 Reynell Road,WOODCROFT,SA,5162,Metropolitan South,Residential,101,,,Eldercare Australia Ltd,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41089,Woodcroft,40304,Onkaparinga,Onkaparinga,45340,PHN401,Adelaide,-35.0937339999999,138.558634,11459235.15
Strathalbyn & District Aged Care Facility,14 Alfred Place,STRATHALBYN,SA,5255,"Hills, Mallee & Southern",Residential,92,,,Barossa Hills Fleurieu Local Health Network Incorporated,State Government,Inner Regional Australia,4,MM4 - Medium Rural Towns,41146,Strathalbyn,40701,Fleurieu - Kangaroo Island,Alexandrina,40220,PHN402,Country SA,-35.2578809999999,138.893356,10753226.01
Eldercare Goodwood,7 Victoria Street,GOODWOOD,SA,5034,Metropolitan East,Residential,100,,,Eldercare Australia Ltd,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41023,Goodwood - Millswood,40107,Unley,Unley,47980,PHN401,Adelaide,-34.953957,138.588302999999,1644271.51
Eldercare Allambi,86 Oaklands Road,GLENGOWRIE,SA,5044,Metropolitan South,Residential,225,,,Eldercare Australia Ltd,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41062,Morphettville,40302,Marion,Marion,44060,PHN401,Adelaide,-34.995932,138.531025999999,25229935.85
Eldercare The Lodge,14-22 King William Road,WAYVILLE,SA,5034,Metropolitan East,Residential,127,,,Eldercare Australia Ltd,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41023,Goodwood - Millswood,40107,Unley,Unley,47980,PHN401,Adelaide,-34.94595,138.598737999999,12718569.23
Estia Health Toorak Gardens,401 Portrush Road,TOORAK GARDENS,SA,5065,Metropolitan East,Residential,36,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41013,Toorak Gardens,40103,Burnside,Burnside,40700,PHN401,Adelaide,-34.938124,138.641837,4470878.13
Kalyra McLaren Vale Aged Care,19 Aldersey Street,MCLAREN VALE,SA,5171,Metropolitan South,Residential,39,,,James Brown Memorial Trust,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41083,McLaren Vale,40304,Onkaparinga,Onkaparinga,45340,PHN401,Adelaide,-35.2225779999999,138.544920999999,4711813.77
Eldercare Acacia Court,81 Tapleys Hill Road,HENDON,SA,5014,Metropolitan West,Residential,70,,,Eldercare Australia Ltd,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41094,Royal Park - Hendon - Albert Park,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.8729879999999,138.513301,7801866.23
Prospect Residences,156 Main North Road,PROSPECT,SA,5082,Metropolitan East,Residential,63,,,Clayton Church Homes Inc,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41021,Prospect,40106,Prospect - Walkerville,Prospect,46510,PHN401,Adelaide,-34.8854309999999,138.602348,7287484.41
Estia Health Encounter Bay,150 BAY Road,ENCOUNTER BAY,SA,5211,"Hills, Mallee & Southern",Residential,127,,,Estia Investments Pty Ltd,Private Incorporated Body,Inner Regional Australia,3,MM3 - Large Rural Towns,41148,Victor Harbor,40701,Fleurieu - Kangaroo Island,Victor Harbor,48050,PHN402,Country SA,-35.563291,138.598479999999,14907437.21
Wakefield Aged Care Service,23 Moorhouse Terrace,RIVERTON,SA,5412,"Yorke, Lower North & Barossa",Residential,17,,,Yorke and Northern Local Health Network Incorporated,State Government,Inner Regional Australia,5,MM5 - Small Rural Towns,41117,Gilbert Valley,40502,Lower North,Clare and Gilbert Valleys,41140,PHN402,Country SA,-34.1601059999999,138.744326,1994077.09
Estia Health Flagstaff Hill,40 Skyline Drive,FLAGSTAFF HILL,SA,5159,Metropolitan South,Residential,85,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41077,Flagstaff Hill,40304,Onkaparinga,Onkaparinga,45340,PHN401,Adelaide,-35.0426379999999,138.569851999999,10167308.3
Semaphore Residential Care Centre,122 Esplanade -,SEMAPHORE,SA,5019,Metropolitan West,Residential,46,,,Rosha Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41099,Largs Bay - Semaphore,40402,Port Adelaide - West,Port Adelaide Enfield,45890,PHN401,Adelaide,-34.833295,138.482789999999,4311804.56
Loxton District Nursing Home,Drabsch Street,LOXTON,SA,5333,Riverland,Residential,58,,,Riverland Mallee Coorong Local Health Network Incorporated,State Government,Outer Regional Australia,5,MM5 - Small Rural Towns,41162,Loxton,40703,Murray and Mallee,Loxton Waikerie,43790,PHN402,Country SA,-34.4538099999999,140.56048,6917543.9
Estia Health Hope Valley,1099 Grand Junction Road,HOPE VALLEY,SA,5090,Metropolitan North,Residential,101,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41052,Hope Valley - Modbury,40205,Tea Tree Gully,Tea Tree Gully,47700,PHN401,Adelaide,-34.843347,138.698983999999,12314504.22
The House of Saint Hilarion,7 Kelly Avenue,SEATON,SA,5023,Metropolitan West,Residential,120,,,The Society of St Hilarion Inc,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41095,Seaton - Grange,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.8845809999999,138.514678,13071001.42
The Churchill Retreat,470 Churchill Road,KILBURN,SA,5084,Metropolitan North,Residential,54,,,Hahndorf Holdings Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41036,Enfield - Blair Athol,40203,Port Adelaide - East,Port Adelaide Enfield,45890,PHN401,Adelaide,-34.857688,138.582523,6576685.45
Sheoak Lodge,Towers Road,MILLICENT,SA,5280,South East,Residential,60,,,Limestone Coast Local Health Network Incorporated,State Government,Outer Regional Australia,5,MM5 - Small Rural Towns,41152,Millicent,40702,Limestone Coast,Wattle Range,48340,PHN402,Country SA,-37.5977109999999,140.360031999999,6779796.03
Melaleuca Court Nursing Home,69 Main Street,MINLATON,SA,5575,"Yorke, Lower North & Barossa",Residential,35,,,Yorke and Northern Local Health Network Incorporated,State Government,Outer Regional Australia,5,MM5 - Small Rural Towns,41127,Yorke Peninsula - North,40504,Yorke Peninsula,Yorke Peninsula,48830,PHN402,Country SA,-34.7714089999999,137.595519999999,3296370.81
Calvary Brighton,580 Brighton Road,SOUTH BRIGHTON,SA,5048,Metropolitan South,Residential,76,,,Calvary Aged Care Limited,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41056,Brighton (SA),40301,Holdfast Bay,Holdfast Bay,42600,PHN401,Adelaide,-35.0281379999999,138.52447,8267442.01
Estia Health Parkside,17 Robsart Street,PARKSIDE,SA,5063,Metropolitan East,Residential,40,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41024,Unley - Parkside,40107,Unley,Unley,47980,PHN401,Adelaide,-34.9451809999999,138.619011,4552867.65
Bolton Clarke Carinya,39 Fisher Street,MYRTLE BANK,SA,5064,Metropolitan East,Residential,56,,,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41024,Unley - Parkside,40107,Unley,Unley,47980,PHN401,Adelaide,-34.957158,138.631138999999,5402935.71
Glen Osmond Grove Care Community,550 Portrush Road,GLEN OSMOND,SA,5064,Metropolitan East,Residential,84,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41012,Glenside - Beaumont,40103,Burnside,Burnside,40700,PHN401,Adelaide,-34.957166,138.644434999999,9898681.03
St Basil's at St Peters,9 Winchester Street,ST PETERS,SA,5069,Metropolitan East,Residential,32,,,St Basil's Homes for the Aged in South Australia (Vasileias) Inc,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41019,St Peters - Marden,40105,Norwood - Payneham - St Peters,Norwood Payneham and St Peters,45290,PHN401,Adelaide,-34.90473,138.628989999999,3447485.54
Warrina Crescent Residential Aged Care,25 Roopena Street,INGLE FARM,SA,5098,Metropolitan North,Residential,140,,,Warrina Homes Inc,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41040,Ingle Farm,40204,Salisbury,Salisbury,47140,PHN401,Adelaide,-34.830907,138.649776,16038074.63
AnglicareSA Grange,56 High Street,GRANGE,SA,5022,Metropolitan West,Residential,144,,,Anglicare SA Ltd,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41095,Seaton - Grange,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.9004649999999,138.495542999999,14943044.48
Helping Hand Aged Care - Doreen Bond House,34 Molesworth Street,NORTH ADELAIDE,SA,5006,Metropolitan East,Residential,78,,,Helping Hand Aged Care Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41002,North Adelaide,40101,Adelaide City,Adelaide,40070,PHN401,Adelaide,-34.9079539999999,138.587239,7544370.56
Oakden Green,75-79 Hilltop Drive,OAKDEN,SA,5086,Metropolitan North,Residential,40,,,Quality Care Homes Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41037,Northgate - Oakden - Gilles Plains,40203,Port Adelaide - East,Port Adelaide Enfield,45890,PHN401,Adelaide,-34.851792,138.638935,5065071.79
ACH Group Residential Care - Kapara,80 MOSELEY Street,GLENELG SOUTH,SA,5045,Metropolitan South,Residential,137,,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41057,Glenelg (SA),40301,Holdfast Bay,Holdfast Bay,42600,PHN401,Adelaide,-34.98962,138.514705999999,15671254.38
Resthaven Leabrook,336 Kensington Road,LEABROOK,SA,5068,Metropolitan East,Residential,106,,,Resthaven Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41013,Toorak Gardens,40103,Burnside,Burnside,40700,PHN401,Adelaide,-34.9266849999999,138.658645,10889528.94
Resthaven Mitcham,17 Hill Street,KINGSWOOD,SA,5062,Metropolitan South,Residential,118,,,Resthaven Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41069,Mitcham (SA),40303,Mitcham,Mitcham,44340,PHN401,Adelaide,-34.975163,138.617516999999,12066794.95
Resthaven Malvern,43 Marlborough Street,MALVERN,SA,5061,Metropolitan East,Residential,77,,,Resthaven Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41024,Unley - Parkside,40107,Unley,Unley,47980,PHN401,Adelaide,-34.958832,138.611498,7956049.16
Estia Health Myrtle Bank,32 Cross Road,MYRTLE BANK,SA,5064,Metropolitan East,Residential,78,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41024,Unley - Parkside,40107,Unley,Unley,47980,PHN401,Adelaide,-34.963771,138.635795,8640673.43
Eldercare Hope Valley,95-97 Awoonga Road,HOPE VALLEY,SA,5090,Metropolitan North,Residential,101,,,Eldercare Australia Ltd,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41052,Hope Valley - Modbury,40205,Tea Tree Gully,Tea Tree Gully,47700,PHN401,Adelaide,-34.844506,138.694388,11461739.02
Calvary Flora McDonald Retirement Community,206 Sir Donald Bradman Drive,COWANDILLA,SA,5033,Metropolitan West,Residential,153,,,Calvary Aged Care Limited,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41108,Richmond (SA),40403,West Torrens,West Torrens,48410,PHN401,Adelaide,-34.9314469999999,138.559361999999,18083367.88
St Louis Nursing Home,21 Foster Street,PARKSIDE,SA,5063,Metropolitan East,Residential,55,,,St Louis Nursing Home Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41024,Unley - Parkside,40107,Unley,Unley,47980,PHN401,Adelaide,-34.950443,138.619867999999,5284298.51
Serene Residential Care Services,1 Myzantha Street,LOCKLEYS,SA,5032,Metropolitan West,Residential,43,,,Blu Dawn Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41106,Lockleys,40403,West Torrens,West Torrens,48410,PHN401,Adelaide,-34.92481,138.540607999999,4730472.19
Regis Kingswood,9 Brenchley Grove,KINGSWOOD,SA,5062,Metropolitan South,Residential,100,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41069,Mitcham (SA),40303,Mitcham,Mitcham,44340,PHN401,Adelaide,-34.973666,138.610328,10418465.49
UnitingSA West Lakes Aged Care,1 Charles Street,WEST LAKES,SA,5021,Metropolitan West,Residential,108,,,UnitingSA Ltd,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41096,West Lakes,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.8795429999999,138.49494,12142708.96
Estia Health Kensington Gardens,421 The Parade,KENSINGTON GARDENS,SA,5068,Metropolitan East,Residential,79,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41011,Burnside - Wattle Park,40103,Burnside,Burnside,40700,PHN401,Adelaide,-34.919338,138.662182,8270176.21
Bene Aged Care - St Clair,2 Jelley Street,WOODVILLE,SA,5011,Metropolitan West,Residential,52,,,Italian Benevolent Foundation SA Inc,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41097,Woodville - Cheltenham,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.874105,138.545900999999,6307250.12
Wheatfields Incorporated,8 Cherry Street,FREELING,SA,5372,"Yorke, Lower North & Barossa",Residential,53,,,Wheatfields Incorporated,Community Based,Inner Regional Australia,3,MM3 - Large Rural Towns,41111,Light,40501,Barossa,Light,43650,PHN402,Country SA,-34.453839,138.813174,5462560.63
Calvary Trevu House,1 -13 Deland Avenue,GAWLER EAST,SA,5118,"Yorke, Lower North & Barossa",Residential,69,,,Calvary Aged Care Limited,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41026,Gawler - South,40201,Gawler - Two Wells,Gawler,42030,PHN402,Country SA,-34.605103,138.757287999999,8409208.08
Woodside Lodge,38 Nairne Road,WOODSIDE,SA,5244,"Hills, Mallee & Southern",Residential,102,,,Clayton Church Homes Inc,Religious,Inner Regional Australia,2,MM2 - Regional Centres,41006,Lobethal - Woodside,40102,Adelaide Hills,Adelaide Hills,40120,PHN402,Country SA,-34.9559769999999,138.877919999999,11025627.36
Estia Health Daw Park,7 Lancelot Drive,DAW PARK,SA,5041,Metropolitan South,Residential,82,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41068,Colonel Light Gardens,40303,Mitcham,Mitcham,44340,PHN401,Adelaide,-34.990867,138.585517,9914331.55
Regis Playford,1 Wilton Street,DAVOREN PARK,SA,5113,Metropolitan North,Residential,125,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41029,Davoren Park,40202,Playford,Playford,45680,PHN401,Adelaide,-34.6906609999999,138.670319,15678753.58
Olive Grove Aged Care,67 Porter Street,SALISBURY,SA,5108,Metropolitan North,Residential,70,,,Willshire Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41046,Salisbury,40204,Salisbury,Salisbury,47140,PHN401,Adelaide,-34.758183,138.655405,7848761.45
Ananda Aged Care Findon,2 Malken Way,FINDON,SA,5023,Metropolitan West,Residential,69,,,K N H Nominees Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41091,Flinders Park,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.901781,138.527594999999,8124785.52
Regis Marleston,18 Cudmore Terrace,MARLESTON,SA,5033,Metropolitan West,Residential,115,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41107,Plympton,40403,West Torrens,West Torrens,48410,PHN401,Adelaide,-34.9445849999999,138.558863,13407219.47
Estia Health Golden Grove,"The Viceroy, 27 Captain Robertson Avenue",GOLDEN GROVE,SA,5125,Metropolitan North,Residential,102,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41049,Golden Grove,40205,Tea Tree Gully,Tea Tree Gully,47700,PHN401,Adelaide,-34.7706599999999,138.730822999999,12214425.97
Everard Park Care Community,34 Norman Terrace,EVERARD PARK,SA,5035,Metropolitan East,Residential,71,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41023,Goodwood - Millswood,40107,Unley,Unley,47980,PHN401,Adelaide,-34.955848,138.575635,8034176.46
Calvary Oaklands,2 Jean Street,OAKLANDS PARK,SA,5046,Metropolitan South,Residential,88,,,Calvary Aged Care Limited,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41064,Warradale,40302,Marion,Marion,44060,PHN401,Adelaide,-35.0046669999999,138.543063999999,10405996.15
Gawler Hillside Care Community,1 Duffield Street,GAWLER EAST,SA,5118,"Yorke, Lower North & Barossa",Residential,126,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41026,Gawler - South,40201,Gawler - Two Wells,Gawler,42030,PHN402,Country SA,-34.601671,138.751426,10743996.26
Resthaven Westbourne Park,30 Sussex Terrace,WESTBOURNE PARK,SA,5041,Metropolitan South,Residential,121,,,Resthaven Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41068,Colonel Light Gardens,40303,Mitcham,Mitcham,44340,PHN401,Adelaide,-34.9724179999999,138.598462,12470284.05
Bolton Clarke Ross Robertson,19 Cornhill Road,VICTOR HARBOR,SA,5211,"Hills, Mallee & Southern",Residential,91,,,RSL Care RDNS Limited,Charitable,Inner Regional Australia,3,MM3 - Large Rural Towns,41148,Victor Harbor,40701,Fleurieu - Kangaroo Island,Victor Harbor,48050,PHN402,Country SA,-35.5495039999999,138.621791,9413820.97
Bene Aged Care - Campbelltown,565 Lower North East Road,CAMPBELLTOWN,SA,5074,Metropolitan East,Residential,39,,,Italian Benevolent Foundation SA Inc,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41015,Paradise - Newton,40104,Campbelltown (SA),Campbelltown (SA),40910,PHN401,Adelaide,-34.882764,138.660077999999,4455221.44
Bolton Clarke Walkerville,160 Walkerville Terrace,WALKERVILLE,SA,5081,Metropolitan East,Residential,153,,,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41022,Walkerville,40106,Prospect - Walkerville,Walkerville,48260,PHN401,Adelaide,-34.892425,138.622582999999,15653703.61
Barossa Village Inc,7 Atze Parade,NURIOOTPA,SA,5355,"Yorke, Lower North & Barossa",Residential,119,,,Barossa Village Inc,Community Based,Inner Regional Australia,4,MM4 - Medium Rural Towns,41114,Nuriootpa,40501,Barossa,Barossa,40310,PHN402,Country SA,-34.467356,138.979570999999,12350265.98
Boandik Kessal,101 Lake Terrace East,MOUNT GAMBIER,SA,5290,South East,Residential,73,,,Boandik Lodge Inc,Community Based,Outer Regional Australia,3,MM3 - Large Rural Towns,41173,Mount Gambier - East,40702,Limestone Coast,Mount Gambier,44620,PHN402,Country SA,-37.8426479999999,140.789830999999,8310310.13
Bupa Morphettville,29 -31 AUSTRAL Terrace,MORPHETTVILLE,SA,5043,Metropolitan South,Residential,99,,,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41062,Morphettville,40302,Marion,Marion,44060,PHN401,Adelaide,-34.9838409999999,138.541864,10578612.94
Bolton Clarke Somerton Park,7 Grainger Road,SOMERTON PARK,SA,5044,Metropolitan South,Residential,101,,,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41057,Glenelg (SA),40301,Holdfast Bay,Holdfast Bay,42600,PHN401,Adelaide,-34.995367,138.527200999999,10116833.26
North Eastern Community Nursing Home,580 Lower North East Road,CAMPBELLTOWN,SA,5074,Metropolitan East,Residential,84,,,North Eastern Community Hospital Incorporated,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41015,Paradise - Newton,40104,Campbelltown (SA),Campbelltown (SA),40910,PHN401,Adelaide,-34.8829989999999,138.662126999999,9863462.38
Resthaven Marion,10 Township Road,MARION,SA,5043,Metropolitan South,Residential,159,,,Resthaven Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41061,Mitchell Park,40302,Marion,Marion,44060,PHN401,Adelaide,-35.011136,138.555014,16769109.3
Naracoorte Health Service,101 Jenkins Terrace,NARACOORTE,SA,5271,South East,Residential,30,,,Limestone Coast Local Health Network Incorporated,State Government,Outer Regional Australia,4,MM4 - Medium Rural Towns,41154,Naracoorte,40702,Limestone Coast,Naracoorte Lucindale,45090,PHN402,Country SA,-36.961838,140.745743,3134227.89
AnglicareSA Trott Park,4 Kangaroo Thorn Road,TROTT PARK,SA,5158,Metropolitan South,Residential,120,,,Anglicare SA Ltd,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41063,Sheidow Park - Trott Park,40302,Marion,Marion,44060,PHN401,Adelaide,-35.0845959999999,138.535205999999,14310981.45
ACH Group Residential Care - Milpara,147 St Bernards Road,ROSTREVOR,SA,5073,Metropolitan East,Residential,93,,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41016,Rostrevor - Magill,40104,Campbelltown (SA),Campbelltown (SA),40910,PHN401,Adelaide,-34.897862,138.675453,10600974.2
Alwyndor Aged Care,52 Dunrobin Road,HOVE,SA,5048,Metropolitan South,Residential,134,,,City of Holdfast Bay,Local Government,Major Cities of Australia,1,MM1 - Metropolitan Areas,41056,Brighton (SA),40301,Holdfast Bay,Holdfast Bay,42600,PHN401,Adelaide,-35.0090709999999,138.528987999999,15172916.58
Warrina Vales Residential Aged Care,60 STATES ROAD,MORPHETT VALE,SA,5162,Metropolitan South,Residential,180,,,Warrina Homes Inc,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41084,Morphett Vale - East,40304,Onkaparinga,Onkaparinga,45340,PHN401,Adelaide,-35.1055709999999,138.535383999999,19901517.59
Bucklands Residential Care,333 Marion Road,NORTH PLYMPTON,SA,5037,Metropolitan West,Residential,147,,,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41107,Plympton,40403,West Torrens,West Torrens,48410,PHN401,Adelaide,-34.955773,138.555119999999,16670144.83
Renmark Nursing Home,"Ral Ral Avenue, 180-208 Ral Ral Avenue",RENMARK,SA,5341,Riverland,Residential,89,,,Riverland Mallee Coorong Local Health Network Incorporated,State Government,Outer Regional Australia,5,MM5 - Small Rural Towns,41167,Renmark,40703,Murray and Mallee,Renmark Paringa,46670,PHN402,Country SA,-34.163916,140.742002,9506224.17
Hahndorf Residential Care Services,1-A Main Street,HAHNDORF,SA,5245,"Hills, Mallee & Southern",Residential,101,,,Hahndorf Holdings Pty Ltd,Private Incorporated Body,Major Cities of Australia,2,MM2 - Regional Centres,41005,Hahndorf - Echunga,40102,Adelaide Hills,Mount Barker,44550,PHN402,Country SA,-35.0310679999999,138.806101,11881767.41
