application_category,application_type_code,application_type_desc,file_reference,project_name,applicants,location,application_received_date,legal_area,area_unit,commodities,mineral_type,mpl_purpose,prior_tenement,related_tenements,related_applications,native_title,outcome_or_status,outcome_date,resulting_tenement,longitude,latitude
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2010/00118,,Spencer Metals Pty Ltd,Port Broughton area - approx 60km SSE of Whyalla,2010-05-14T02:30:00Z,87,Square Kilometres,"Gold,Silver,Copper,Uranium,Zinc,Lead",Unspecified,,,,,,,,,137.931142,-33.5222495
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1997/00062,,Mithril Resources Limited,Mintabie Area - Approx. 30 km west of Marla,1997-01-22T01:30:00Z,1926,Square Kilometres,"Base Metals,Diamonds,Gold",Unspecified,,,,,,,,,133.08043149999997,-27.398545
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2013/00121,,Tawana Resources NL; Orogenic Exploration Pty Ltd,Flinders Island Coast area approximately 35km west-southwest of Elliston,2013-06-06T02:30:00Z,24,Square Kilometres,Diamonds,Unspecified,,,,,,,,,134.497282,-33.725674999999995
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2015/00049,,Sandy Ridge Labs Pty Ltd,Lake Meramangye area - approx 260 km west of Coober Pedy,2015-02-25T01:30:00Z,233,Square Kilometres,"Evaporites,Salt",Unspecified,,,,,,,,,131.9430145,-28.2735495
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2015/00030,,Javelin Exploration Pty Ltd,Maralinga area - approx 250km WSW of Coober Pedy,2015-02-03T01:30:00Z,460,Square Kilometres,"Gold,Nickel,Zinc,Lead,Copper,Uranium,Silver",Unspecified,,,,,,,,,132.2513615,-29.440231
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01199,,Austral Strategic Metals Pty Ltd,Martins Well area approximately 130km southeast of Leigh Creek,2026-06-15T02:30:00Z,614,Square Kilometres,"Silver,Nickel,Copper,Manganese,Cobalt,Gold",Unspecified,,,,,,,,,139.2013135,-31.5485015
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01227,,Mondorox Pty Ltd,Martins Well area approximately 130km southeast of Leigh Creek,2026-06-19T02:30:00Z,614.19,Square Kilometres,"Copper,Gold",Unspecified,,,,,,,,,139.2013135,-31.5485015
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1997/00155,,Musgrave Mining Pty Ltd,Mount Caroline area - Approx 280 km NW of Marla,1997-02-07T01:30:00Z,1120,Square Kilometres,"Base & Precious Metals, Gold",Unspecified,,,,,,,,,130.70966950000002,-26.431897
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01083,,Cerberus Resources Pty Ltd,Approx. 15KM east-southeast of Pimba,2025-10-20T01:30:00Z,82.11,Square Kilometres,"Copper,Cobalt,Gold",Unspecified,,,,,,,,,136.9013435,-31.373527
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01188,,Sandfire South Australia Pty Ltd (Tenement Holder),Mulyungarie area - Approximately 100 km northeast of Olary,2026-06-09T02:30:00Z,378,Square Kilometres,,Unspecified,,,,,,,,,140.826293,-31.473486
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01217,,Lagoon Creek Resources Pty Ltd,Mulyungarie area - Approximately 100 km northeast of Olary,2026-06-19T02:30:00Z,377.58,Square Kilometres,Uranium,Unspecified,,,,,,,,,140.826293,-31.473486
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01193,,Taragon Valley Pty Limited,Mulyungarie area - Approximately 100 km northeast of Olary,2026-06-19T02:30:00Z,377.58,Square Kilometres,"Copper,Gold,Zinc,Lead",Unspecified,,,,,,,,,140.826293,-31.473486
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01210,,Sandfire South Australia Pty Ltd (Tenement Holder),Mulyungarie area approximately 5km north of Cockburn,2026-06-18T02:30:00Z,52.32,Square Kilometres,,Unspecified,,,,,,,,,140.926299,-32.0318135
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01196,,Taragon Valley Pty Limited,Mulyungarie area approximately 5km north of Cockburn,2026-06-19T02:30:00Z,52,Square Kilometres,"Copper,Gold,Lead,Zinc",Unspecified,,,,,,,,,140.926299,-32.0318135
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01202,,Silverton Minerals Pty Ltd,Mulyungarie area approximately 5km north of Cockburn,2026-06-19T02:30:00Z,52.32,Square Kilometres,"Precious Metals,Base Metals,Uranium",Unspecified,,,,,,,,,140.926299,-32.0318135
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1997/00053,,Mithril Resources Limited,Mt Cooperina Area - approx. 360 km WNW of Marla,1997-01-22T01:30:00Z,1013,Square Kilometres,"Base & Precious Metals, Diamonds",Unspecified,,,,,,,,,130.084676,-26.4319045
