table,table_title,year,measure,age,sex,indigenous_status,remoteness,year_dollars,description1,description2,description3,description4,uncertainty,data_source,unit,jurisdiction,value
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Salaried personnel by gender (headcount),Total,,,,CAA (unpublished),no.,SA,2663
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Volunteers (headcount),Ambulance operatives,,,,Derived from CAA (unpublished),no.,SA,1050
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Volunteers (headcount),Operational / corporate support,,,,CAA (unpublished),no.,SA,166
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Volunteers (headcount),Total,,,,Derived from CAA (unpublished),no.,SA,1216
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,Males,All people,All areas,,Volunteers by gender (headcount),Total,,,,CAA (unpublished),no.,SA,433
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,Females,All people,All areas,,Volunteers by gender (headcount),Total,,,,CAA (unpublished),no.,SA,740
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,Other,All people,All areas,,Volunteers by gender (headcount),Total,,,,CAA (unpublished),no.,SA,8
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Volunteers by gender (headcount),Total,,,,CAA (unpublished),no.,SA,1181
11A.2,Ambulance service organisations' human resources,2024-25,Human resources,All ages,All people,All people,All areas,,Community first responders,,,,,CAA (unpublished),no.,SA,35
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Patient transport officers,,,CAA (unpublished),no.,SA,70
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Students and base level ambulance officers,,,CAA (unpublished),no.,SA,193
11A.2,Ambulance service organisations' human resources,2023-24,Human resources,All ages,All people,All people,All areas,,Salaried personnel (FTE),Ambulance operatives,Qualified ambulance officers,,,CAA (unpublished),no.,SA,1114
